#,GilReward,AlliedSealsReward,TomestonesReward,ContentEntry,StandardFinishTime,IdealFinishTime,Act1,Act2,Act3,Unknown0,Unknown1,Unknown2,Act1FightType,Act2FightType,Act3FightType,ArenaType1,ArenaType2,ArenaType3,Order
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3000,50,40,2883642,30,20,1,0,0,0,0,0,1,0,0,0,0,0,1
2,3000,50,40,2883643,210,150,2,3,0,0,0,0,1,1,0,0,0,0,2
3,3000,50,40,2883644,225,165,1,0,0,0,0,0,2,0,0,0,0,0,3
4,3000,50,40,2883645,210,155,4,2,0,0,0,0,1,2,0,0,0,0,4
5,3000,50,40,2883646,80,45,5,0,0,0,0,0,1,0,0,4,0,0,5
6,5000,100,80,2883647,200,145,6,8,0,0,0,0,1,1,0,1,0,0,6
7,5000,100,80,2883648,210,160,9,10,11,0,0,0,1,1,1,0,3,2,7
8,5000,100,80,2883649,225,165,14,15,0,0,0,0,1,1,0,0,2,0,8
9,5000,100,80,2883650,285,210,15,0,0,0,0,0,2,0,0,4,0,0,9
10,5000,100,80,2883651,270,190,12,0,0,0,0,0,1,0,0,0,0,0,10
11,5000,100,80,2883652,210,150,16,17,0,0,0,0,1,1,0,0,3,0,11
12,5000,100,80,2883653,270,190,18,12,0,0,0,0,1,2,0,0,0,0,12
13,5000,100,80,2883654,270,210,13,10,0,0,0,0,1,2,0,0,4,0,13
14,5000,100,80,2883655,180,150,19,20,0,0,0,0,1,1,0,2,1,0,14
15,5000,100,80,2883656,285,225,11,0,0,0,0,0,2,0,0,4,0,0,15
16,5000,100,80,2883657,270,210,7,3,0,0,0,0,1,2,0,0,4,0,16
17,5000,100,80,2883658,330,255,21,13,0,0,0,0,1,2,0,4,4,0,17
18,5000,100,80,2883659,360,260,23,24,0,0,0,0,1,1,0,0,0,0,18
19,5000,100,80,2883660,300,240,16,17,0,0,0,0,2,2,0,4,4,0,19
20,5000,100,80,2883661,360,310,7,8,9,0,0,0,2,2,2,0,4,4,20
21,5000,100,80,2883662,255,195,25,18,0,0,0,0,1,2,0,0,4,0,21
22,5000,100,80,2883663,300,240,22,14,0,0,0,0,1,2,0,0,4,0,22
23,5000,100,80,2883664,300,225,19,0,0,0,0,0,2,0,0,4,0,0,23
24,5000,100,80,2883665,405,340,26,20,21,0,0,0,1,2,2,0,0,4,24
25,10000,200,160,2883666,525,435,4,5,6,0,0,0,2,2,2,0,0,4,25
26,5000,100,80,2883668,300,240,22,23,0,0,0,0,2,2,0,0,4,0,26
27,5000,100,80,2883669,240,140,30,0,0,0,0,0,2,0,0,0,0,0,27
28,5000,100,80,2883670,360,300,29,0,0,0,0,0,2,0,0,4,0,0,28
29,5000,100,80,2883671,480,420,24,25,0,0,0,0,2,2,0,4,4,0,29
30,10000,200,160,2883672,450,390,26,27,28,0,0,0,2,2,2,4,4,4,30
31,10000,200,160,2883683,460,410,31,32,0,0,0,0,2,2,0,4,4,0,31
32,10000,200,160,2883697,460,410,33,34,0,1,1,0,3,3,0,4,4,0,32
