#,Addon,RankBRequirement,RankARequirement,RankAARequirement,RankAAARequirement,RankSRequirement,IsSpearfishing
0,3835,346,744,820,1028,1090,0
1,3836,566,1377,2805,5300,5906,0
2,3834,299,523,1169,1801,3071,0
3,3833,330,633,2244,2585,4725,0
4,3837,440,779,1099,2169,2289,0
5,3838,472,1047,1197,2618,65535,0
6,3839,472,1047,1606,4251,65535,0
7,3840,881,1417,1515,2154,65535,0
8,3841,325,691,885,979,2930,0
9,3842,645,813,1300,1767,65535,0
10,3843,20,50,61,75,65535,1
11,3844,270,329,386,437,65535,1
12,3845,900,950,1000,1036,65535,1
13,3843,25,45,70,65535,65535,1
14,3844,236,265,318,65535,65535,1
15,3845,780,879,1018,65535,65535,1
16,3843,28,40,52,65535,65535,1
17,3844,320,373,384,65535,65535,1
18,3845,900,920,928,65535,65535,1
19,3843,44,55,67,75,65535,1
20,3844,345,400,410,437,65535,1
21,3845,878,915,930,1028,65535,1
22,3843,44,55,67,75,65535,1
23,3844,345,390,410,437,65535,1
24,3845,890,915,985,1028,65535,1
25,3843,44,55,67,75,65535,1
26,3844,345,390,410,437,65535,1
27,3845,890,915,985,1028,65535,1
28,3846,383,826,2630,65535,65535,0
29,3843,44,55,67,75,65535,1
30,3844,345,390,410,437,65535,1
31,3845,890,915,985,1028,65535,1
32,3843,29,50,65,75,65535,1
33,3844,123,206,265,310,65535,1
34,3845,276,485,650,760,65535,1
35,3843,17,35,49,59,65535,1
36,3844,132,263,365,438,65535,1
37,3845,307,590,805,960,65535,1
38,3843,21,39,53,63,65535,1
39,3844,130,253,348,415,65535,1
40,3845,374,651,866,1022,65535,1
41,3843,29,49,64,75,65535,1
42,3844,187,307,398,465,65535,1
43,3845,408,678,888,1036,65535,1
44,0,0,0,0,0,0,0
