#,CompanyCraftProcess[0],CompanyCraftProcess[1],CompanyCraftProcess[2],Unknown0,Unknown1,CompanyCraftType
0,0,0,0,0,0,0
1,1,2,3,0,1,1
2,50,51,52,0,2,1
3,100,101,102,0,3,1
4,105,106,107,0,4,1
5,110,111,112,0,5,1
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
100,4,0,0,0,2,2
101,4,0,0,0,2,2
102,4,0,0,0,2,2
103,4,0,0,0,2,2
104,4,0,0,0,2,2
105,4,0,0,0,2,2
106,6,0,0,0,2,2
107,6,0,0,0,2,2
108,6,0,0,0,2,2
109,6,0,0,0,2,2
110,6,0,0,0,2,2
111,6,0,0,0,2,2
112,5,0,0,0,2,2
113,5,0,0,0,2,2
114,5,0,0,0,2,2
115,5,0,0,0,2,2
116,4,0,0,0,2,2
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
200,53,0,0,0,3,2
201,53,0,0,0,3,2
202,53,0,0,0,3,2
203,53,0,0,0,3,2
204,53,0,0,0,3,2
205,53,0,0,0,3,2
206,55,0,0,0,3,2
207,55,0,0,0,3,2
208,55,0,0,0,3,2
209,55,0,0,0,3,2
210,55,0,0,0,3,2
211,55,0,0,0,3,2
212,54,0,0,0,3,2
213,54,0,0,0,3,2
214,54,0,0,0,3,2
215,54,0,0,0,3,2
216,53,0,0,0,3,2
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
300,500,501,502,0,1,3
301,503,504,505,0,4,3
302,506,507,508,0,2,3
303,509,510,511,0,5,3
304,512,513,514,0,3,3
305,515,516,517,0,6,3
306,518,519,520,0,7,3
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,0,0,0,0,0,0
400,550,551,552,0,1,4
401,553,554,555,0,4,4
402,556,557,558,0,2,4
403,559,560,561,0,5,4
404,562,563,564,0,3,4
405,565,566,567,0,6,4
406,568,569,570,0,7,4
407,0,0,0,0,0,0
408,0,0,0,0,0,0
409,0,0,0,0,0,0
410,0,0,0,0,0,0
500,600,601,602,0,1,5
501,603,604,605,0,4,5
502,606,607,608,0,2,5
503,609,610,611,0,5,5
504,612,613,614,0,3,5
505,615,616,617,0,6,5
506,618,619,620,0,7,5
507,0,0,0,0,0,0
508,0,0,0,0,0,0
509,0,0,0,0,0,0
