#,Name,Icon,Unknown0,Priority,Unknown1,List,Unknown2
0,,0,0,0,False,False,False
1,Game QA,61532,0,0,True,False,False
2,Game Master,61524,0,0,True,False,False
3,Game Master,61532,0,0,False,False,False
4,Event Participant,61533,3940,0,False,False,False
5,Disconnected,61503,3942,0,False,False,False
6,Waiting for Friend List Approval,61501,0,1,False,True,False
7,Waiting for Linkshell Approval,61501,0,2,False,True,False
8,Waiting for Free Company Approval,61501,0,3,False,True,False
9,Not Found,61502,0,4,False,True,False
10,Offline,61504,0,5,False,True,False
11,Battle Mentor,61542,3947,6,False,True,False
12,Busy,61509,3943,7,False,True,False
13,PvP,61510,0,8,False,True,False
14,Playing Triple Triad,61539,0,9,False,True,False
15,Viewing Cutscene,61508,3951,10,False,True,False
16,Using a Chocobo Porter,61534,0,12,False,True,False
17,Away from Keyboard,61511,3952,13,False,True,False
18,Camera Mode,61546,3953,14,False,True,False
19,Looking for Repairs,61512,0,15,False,True,False
20,Looking to Repair,61513,0,16,False,True,False
21,Looking to Meld Materia,61514,0,17,False,True,True
22,Role-playing,61545,3941,18,False,True,False
23,Looking for Party,61515,3954,19,False,True,False
24,Sword for Hire,61516,0,20,False,True,False
25,Waiting for Duty Finder,61517,3950,21,False,True,False
26,Recruiting Party Members,61536,3955,22,False,True,False
27,Mentor,61540,3946,31,False,True,False
28,PvE Mentor,61542,3947,32,False,True,False
29,Trade Mentor,61543,3948,33,False,True,False
30,PvP Mentor,61544,3949,34,False,True,False
31,Returner,61547,3945,35,False,True,False
32,New Adventurer,61523,3944,36,False,True,False
33,Alliance Leader,61518,0,23,False,True,False
34,Alliance Party Leader,61519,0,24,False,True,False
35,Alliance Party Member,61520,0,25,False,True,False
36,Party Leader,61521,3956,26,False,True,False
37,Party Member,61522,3957,27,False,True,False
38,Party Leader (Cross-world),61961,3958,28,False,True,True
39,Party Member (Cross-world),61962,3959,29,False,True,True
40,Another World,61535,0,30,False,True,False
41,Sharing Duty,61506,0,0,False,False,False
42,Similar Duty,61507,0,0,False,False,False
43,In Duty,61510,0,11,False,True,False
44,Trial Adventurer,61525,0,38,False,True,False
45,Free Company,0,0,0,False,False,False
46,Grand Company,0,0,0,False,False,False
47,Online,61505,0,37,False,True,False
