#,Name,Category,Unknown0,Description,DutyType,Unknown1,Image,Unknown2,Unknown3,Unknown6,ItemLevelRequired,ItemLevelSync,RewardTomeA,RewardTomeB,RewardTomeC,Unknown5,InstanceContent,RequiredExVersion,OpenRule,RequiredLevel,SyncedFromLevel,ContentRouletteRoleBonus,SortKey,ClassJobCategory,ContentMemberType,Unknown9,QueueMaxPlayers,ContentType,Unknown12,TimeLimit,TimeLimitMax,LootModeType,Unknown15,PenaltyTimestampArrayIndex,CompletionArrayIndex,IsGoldSaucer,IsInDutyFinder,IsPvP,AppliesHighestAverageDutyItemLevel,Unknown18,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,Unknown22,Unknown23,Unknown24,IsRegistrationAllowedFromAnyDataCenter
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,-1,False,False,False,False,False,True,False,True,False,False,False,False,True,True
1,Duty Roulette: Leveling,Leveling,,"A dungeon or trial will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus EXP and gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The amount of bonus company seals awarded is determined by class/job level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.
",Duty Type: Light Party Dungeons & Trials,0,112034,0,0,0,0,0,0,100,20,0,0,0,1,16,16,1,4,142,2,0,0,1,0,90,0,2,0,0,0,False,True,False,False,True,True,True,True,False,False,False,False,True,True
2,Duty Roulette: High-level Dungeons,High-level Dungeons,,"A level 50/60/70/80/90 dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus gil and EXP will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.
",Duty Type: Level 50/60/70/80/90 Light Party Dungeons,0,112035,0,0,0,45,0,100,120,0,0,0,0,1,50,50,2,3,142,2,0,0,1,0,90,0,2,0,0,1,False,True,False,False,True,True,True,True,False,False,False,False,True,True
3,Duty Roulette: Main Scenario,Main Scenario,,"A main scenario duty will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Cutscenes cannot be skipped.
※Bonus gil and EXP will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.
",Duty Type: Full Party Dungeons,0,112036,0,0,0,42,0,350,100,50,0,0,0,1,50,50,3,6,142,2,0,0,1,0,60,120,2,0,0,2,False,True,False,False,True,True,True,True,False,False,False,False,True,True
4,Duty Roulette: Guildhests,Guildhests,,"A guildhest will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus EXP and gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The amount of bonus company seals awarded is determined by class/job level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.
※Only light party guildhests will be selected when joining this duty as a group of four. There are no role restrictions when in a light party.
※The use of phoenix down may be restricted in certain duties.
",Duty Type: Guildhests,0,112037,0,0,0,0,0,0,0,0,0,0,0,1,10,10,4,7,142,3,0,0,1,0,30,0,2,0,0,3,False,True,False,False,True,True,True,True,False,False,False,False,True,True
5,Duty Roulette: Expert,Expert,,"An expert dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.
",Duty Type: Light Party Expert Dungeons,0,112057,0,0,0,735,0,0,60,40,0,0,5,2,100,100,5,1,142,2,0,0,1,0,90,0,2,0,0,4,False,True,False,False,True,True,True,True,False,False,False,False,True,True
6,Duty Roulette: Trials,Trials,,"A trial will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.
",Duty Type: Trials,0,112056,0,0,0,90,0,0,60,15,0,0,0,1,50,50,6,5,142,3,0,0,1,0,60,0,2,0,0,5,False,True,False,False,True,True,False,True,False,False,False,False,True,True
7,Daily Challenge: Frontline,Frontline,,"The current daily Frontline battle (indicated under **Information**) will be joined. Successful completion will earn you far greater rewards.

※The daily challenge reward bonus is available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.",Duty Type: Onsal Hakair (Danshig Naadam),0,112083,1000,1500,0,0,0,0,50,20,1000,0,0,3,30,30,0,15,146,24,0,0,1,28,20,0,0,0,0,6,False,True,True,False,True,True,True,True,False,False,False,False,True,True
8,Duty Roulette: Level Cap Dungeons,Level Cap Dungeons,,"A level 100 dungeon will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※Joining this duty as a party meeting minimum size requirements will nullify any “adventurer in need” bonus.
",Duty Type: Level 100 Light Party Dungeons,0,112123,0,0,0,705,0,0,100,15,0,0,5,2,100,100,7,2,142,2,0,0,1,0,90,0,2,0,0,7,False,True,False,False,True,True,True,True,False,False,False,False,True,True
9,Duty Roulette: Mentor,Mentor,,"A mentor-oriented duty will be selected at random from among those you have unlocked. Successful completion will earn you far greater rewards.

※Only available if you have achieved battle mentor status.
※Bonus gil will be awarded to compensate for the discrepancy between character and duty levels. A further percentage will then be added based on character level.
※The standard reward for this duty roulette category and all related bonuses are available once per day. Reward eligibility resets at 12 a.m. (Earth time) each day.
※The “adventurer in need” reward applies to the role in demand when registering for this duty.
※The use of phoenix down may be restricted in certain duties.
",Duty Type: Mentor-oriented Duties,0,112144,0,0,0,745,0,0,30,10,0,0,5,2,100,100,8,10,142,1,0,0,1,0,30,120,2,0,0,8,False,True,False,False,True,True,True,True,False,False,False,False,True,True
