#,Name,Image,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown3,SortKey,Component,Subtype,Unknown1,Category
0,None,0,1,0,0,0,0,0,0,0,0
1,Glossy,194002,1,0,0,0,1,2,0,0,1
2,Squares,194003,1,0,0,0,6,2,0,0,1
3,Dots,194004,1,0,0,0,7,2,0,0,1
4,Checkerboard,194005,1,0,0,0,8,2,0,0,1
5,Grid,194006,1,0,0,0,2,2,0,0,1
6,Diagonal Lines,194007,1,0,0,0,3,2,0,0,1
7,Diagonal Slice,194008,1,0,0,0,4,2,0,0,1
8,Triangles,194009,1,0,0,0,5,2,0,0,1
9,Vellum,194010,1,0,0,0,10,2,0,0,1
10,Corner Accent,194011,1,0,0,0,9,2,0,0,1
11,Shadow,195002,1,0,0,0,1,1,0,0,1
12,Light,195003,1,0,0,0,2,1,0,0,1
13,Dots,195004,1,0,0,0,3,1,0,0,1
14,Notebook,195005,1,0,0,0,4,1,0,0,1
15,Scrapbook,195006,1,0,0,0,5,1,0,0,1
16,Arcane Sigil,195007,1,0,0,0,6,1,0,0,1
17,Vellum,195008,1,0,0,0,7,1,0,0,1
18,Paint,195009,1,0,0,0,8,1,0,0,1
19,Metal Signboard,195010,1,0,0,0,9,1,0,0,1
20,Parchment Stack,195011,1,0,0,0,10,1,0,0,1
21,Banner,197002,1,0,0,0,3,3,0,0,1
22,Welcome Back,197003,1,0,0,0,4,3,0,0,1
23,Curved Metal,197004,1,0,0,0,5,3,0,0,1
24,Tank Marker,197005,1,0,0,0,6,3,0,0,1
25,DPS Marker,197006,1,0,0,0,8,3,0,0,1
26,Healer Marker,197007,1,0,0,0,7,3,0,0,1
27,Simple,197008,1,0,0,0,1,3,0,0,1
28,Beveled,197009,1,0,0,0,2,3,0,0,1
29,Notes,197010,1,0,0,0,9,3,0,0,1
30,Scrapbook,197011,1,0,0,0,10,3,0,0,1
31,Black,198002,1,0,0,0,3,4,0,0,1
32,White,198003,1,0,0,0,2,4,0,0,1
33,Gemstone Inlay (Thick),198004,1,0,0,0,5,4,0,0,1
34,Gemstone Inlay (Thin),198005,1,0,0,0,4,4,0,0,1
35,Limsa Lominsa,198006,1,0,0,0,6,4,0,0,1
36,Gridania,198007,1,0,0,0,7,4,0,0,1
37,Ul'dah,198008,1,0,0,0,8,4,0,0,1
38,Metal,198009,1,0,0,0,1,4,0,0,1
39,Triple Triad Ex.,198010,298,0,0,0,10,4,0,0,1
40,Triple Triad,198011,298,0,0,0,9,4,0,0,1
41,Gil,199002,1,0,0,0,1,5,0,0,1
42,Quill,199003,1,0,0,0,2,5,0,0,1
43,Stickers,199004,1,0,0,0,3,5,0,0,1
44,Maps,199005,1,0,0,0,4,5,0,0,1
45,Ribbon,199006,1,0,0,0,5,5,0,0,1
46,Letters,199007,1,0,0,0,6,5,0,0,1
47,Music,199008,1,0,0,0,7,5,0,0,1
48,Bouquet,199009,1,0,0,0,8,5,0,0,1
49,Notes,199010,1,0,0,0,9,5,0,0,1
50,Stamps,199011,1,0,0,0,10,5,0,0,1
51,Gladiator,194201,156,0,0,0,2000,2,0,0,2
52,Marauder,194202,157,0,0,0,2001,2,0,0,2
