key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,byte,byte,byte,byte,byte,byte,byte,byte,sbyte
0,4,34,255,255,255,255,64,64,0
1,4,23,255,255,255,0,0,0,0
2,5,20,64,32,0,0,0,0,1
3,5,28,128,0,0,0,0,0,1
4,4,34,255,255,255,0,0,0,0
5,5,30,202,129,51,0,0,0,2
6,4,36,238,225,197,0,0,0,0
7,4,36,202,129,51,0,0,0,0
8,5,30,160,100,30,0,0,0,2
9,5,20,238,225,197,0,0,0,1
10,5,28,255,255,255,0,0,0,1
11,5,30,96,84,188,0,0,0,2
12,5,30,156,142,255,0,0,0,2
13,4,36,156,142,255,0,0,0,0
14,1,18,204,204,204,0,0,0,0
15,1,18,238,225,197,0,0,0,0
16,5,30,255,214,145,0,0,0,2
17,5,30,180,134,117,0,0,0,2
18,1,14,238,225,197,0,0,0,0
19,5,30,48,80,90,0,0,0,2
20,5,20,210,160,30,0,0,0,1
21,5,28,160,180,180,0,0,0,1
22,5,30,255,250,150,0,0,0,2
23,5,30,112,184,202,0,0,0,2
24,0,14,255,255,255,0,0,0,0
