#,Name,NameShort,NameFemale,Description,NameEnglish,Action[0],Action[1],Action[2],Action[3],Action[4],LevelMax,JobIndex,LevelUnlock[0],LevelUnlock[1],LevelUnlock[2],LevelUnlock[3],LevelUnlock[4]
0,Phantom Freelancer,Ph. Freelancer,,Reminiscences of journeys just begun and those long ended embody the freelancer's myriad supportive techniques.,Phantom Freelancer,41650,41651,46606,0,0,0,16,5,10,15,0,0
1,Phantom Knight,Ph. Knight,,"Emulate these ancient memories of a loyal, honorable knight and defend your comrades from harm.",Phantom Knight,41588,41589,41590,41591,0,6,1,1,2,3,6,0
2,Phantom Berserker,Ph. Berserker,,Savagery and unfailing courage characterize the recollections of this former berserker. These techniques entail great risk and even greater reward.,Phantom Berserker,41592,41594,0,0,0,3,5,1,2,0,0,0
3,Phantom Monk,Ph. Monk,,These memories of a monk's unflinching discipline and quiet meditation offer a path to unparalleled combat mastery.,Phantom Monk,41595,41596,41597,41598,0,6,2,1,2,3,5,0
4,Phantom Ranger,Ph. Ranger,,"Channel these memories of a proud, passionate ranger and learn to call forth the forces of nature in battle.",Phantom Ranger,41599,41600,41601,41602,0,6,6,1,2,4,6,0
5,Phantom Samurai,Ph. Samurai,,Rigorous training and a strict code of chivalry personify these recollections of an ancient samurai. Access them to fell foes in a single deadly strike.,Phantom Samurai,41603,41604,41605,41606,0,5,4,1,2,3,4,0
6,Phantom Bard,Ph. Bard,,These memories echo with the vivid imagery of a bard's lilting song. Utilize them to employ the very same ballads in battle.,Phantom Bard,41608,41609,41607,41610,0,4,11,1,2,3,4,0
7,Phantom Geomancer,Ph. Geomancer,,This geomancer's recollections brim with boundless understanding of nature's laws. Access them to employ weather-dependent techniques.,Phantom Geomancer,41611,41612,41619,41620,0,5,10,1,2,3,4,0
8,Phantom Time Mage,Ph. Time Mage,,The memories of this former time mage reveal much about the laws of time and how to manipulate them to your advantage.,Phantom Time Mage,41621,41623,41624,41622,41625,5,8,1,2,3,4,5
9,Phantom Cannoneer,Ph. Cannoneer,,A mastery of ballistics both scholarly and practical infuse this cannoneer's recollections. Emulate them to bombard foes with powerful projectiles.,Phantom Cannoneer,41626,41627,41628,41629,41630,6,14,1,2,3,4,6
10,Phantom Chemist,Ph. Chemist,,"This chemist's memories offer knowledge of ancient medicinal theory, including restorative techniques sure to turn the tide of battle in your favor.",Phantom Chemist,41631,41633,41634,41635,0,4,9,1,2,3,4,0
11,Phantom Oracle,Ph. Oracle,,"Endowed with an oracle's supernatural senses and prophetic insights, these memories promise mastery over a wealth of supportive skills.",Phantom Oracle,41636,41641,41642,41643,41644,5,13,1,2,3,4,5
12,Phantom Thief,Ph. Thief,,"These recollections of a dextrous, principled thief grant access to survival techniques that will doubtless prove useful upon the isle.",Phantom Thief,41646,41645,41647,41648,41649,6,3,1,2,3,4,5
13,Phantom Mystic Knight,Ph. Mystic Knight,,"Suffused with a mystic knight's diligence and arcane prowess, these memories are key to imbuing your weaponry with potent magicks.",Phantom Mystic Knight,46591,46590,46592,46593,0,4,7,1,2,3,4,0
14,Phantom Gladiator,Ph. Gladiator,,"This fierce, indomitable gladiator's recollections promise the mastery of myriad offensive and defensive skills.",Phantom Gladiator,46594,46595,46596,46597,0,4,15,1,2,3,4,0
15,Phantom Dancer,Ph. Dancer,,"Absorb the memories of an exalted, expressive dancer to replicate their deft footwork and bequeath yourself a range of boons.",Phantom Dancer,46598,46603,46604,46605,0,4,12,1,2,3,4,0
