#,Transient,Item,Companion,Location[0],Location[1],Location[2],Location[3],Location[4],Location[5]
0,,0,0,0,0,0,0,0,0
1,I'm kind of busy right nyao.,15168,200,148,135,141,0,0,0
2,Oh my swirls!,15169,201,152,138,145,0,0,0
3,Hold on to your butler!,15170,202,153,139,146,0,0,0
4,Summer fever...,15171,203,154,180,134,0,0,0
5,How ridiculous.,15172,204,140,148,135,0,0,0
6,Oh my swirls!,15173,205,141,152,138,0,0,0
7,Doggone it!,15174,206,145,153,139,0,0,0
8,Noko noko!,15175,207,146,154,180,0,0,0
9,Hmph...!,15176,208,134,140,148,0,0,0
10,Heart of a Warrior!,15177,209,135,141,152,0,0,0
11,I've got your back!,15178,210,138,145,153,0,0,0
12,Activating Sleep Mode...,15179,211,139,146,154,0,0,0
13,Shoot!,15180,212,180,134,140,0,0,0
14,My lord!,30803,392,397,398,399,400,401,402
15,Let us be off!,30804,391,397,398,399,400,401,402
16,Bring it on!,30805,390,612,613,614,620,621,622
17,The time has come.,30806,393,612,613,614,620,621,622
