#,UpgradeAction,BaseAction,ComboTreeLayout,Unknown3,Unknown4,Unknown5,GroupedCell
0.0,0,0,0,0,0,0,False
1.0,9,0,100,0,0,0,False
1.1,15,0,110,0,0,0,False
1.2,16,0,0,0,0,0,False
1.3,17,17,0,0,0,0,False
1.4,20,0,0,0,0,0,False
1.5,21,21,111,0,0,0,False
1.6,23,0,0,0,0,0,False
1.7,24,0,0,0,0,0,False
1.8,28,0,0,0,0,0,False
1.9,7381,0,200,0,0,0,False
2.0,53,53,1,0,0,0,True
2.1,54,54,2,0,0,0,True
2.2,56,56,3,0,0,0,True
2.3,61,0,2,0,0,0,True
2.4,62,62,1,0,0,0,True
2.5,65,0,0,0,0,0,False
2.6,66,0,3,0,0,0,True
2.7,74,0,1,0,0,0,True
2.8,25761,25761,0,2,0,0,False
2.9,36940,36940,0,1,0,0,False
3.0,31,0,100,0,0,0,False
3.1,37,0,110,0,0,0,False
3.2,38,38,0,0,0,0,False
3.3,40,0,0,0,0,0,False
3.4,41,0,200,0,0,0,False
3.5,42,0,111,0,0,0,False
3.6,43,0,0,0,0,0,False
3.7,44,44,0,0,0,0,False
3.8,45,0,112,0,0,0,False
3.9,46,0,0,0,0,0,False
3.10,48,0,0,0,0,0,False
4.0,75,0,100,0,0,0,False
4.1,78,78,110,0,0,0,False
4.2,83,0,0,0,0,0,False
4.3,84,84,111,0,0,0,False
4.4,85,0,0,0,0,0,False
4.5,87,87,120,0,0,0,False
4.6,88,88,121,0,0,0,False
4.7,90,0,0,0,0,0,False
5.0,97,97,0,0,0,0,False
5.1,98,98,0,0,0,0,False
5.2,100,100,0,0,0,0,False
5.3,101,0,0,0,0,0,False
5.4,106,106,0,0,0,0,False
5.5,107,0,0,0,0,0,False
5.6,110,110,0,0,0,0,False
5.7,112,0,0,0,0,0,False
5.8,113,113,0,0,0,0,False
5.9,36974,36974,0,0,0,0,False
6.0,119,119,0,0,0,0,False
6.1,120,0,0,0,0,0,False
6.2,121,121,0,0,0,0,False
6.3,124,0,0,0,0,0,False
6.4,125,0,0,0,0,0,False
6.5,127,119,0,0,0,0,False
6.6,132,121,0,0,0,0,False
6.7,133,133,0,0,0,0,False
6.8,135,0,0,0,0,0,False
7.0,141,0,0,0,0,0,False
7.1,142,0,0,0,0,0,False
7.2,144,144,0,0,0,0,False
7.3,147,147,0,0,0,0,False
7.4,149,0,0,0,0,0,False
7.5,152,0,0,0,0,0,False
7.6,155,0,0,0,0,0,False
7.7,156,0,0,0,0,0,False
7.8,157,0,0,0,0,0,False
7.9,7447,7447,0,0,0,0,False
7.10,25793,25793,0,0,0,0,False
8.0,100001,0,0,0,1,18,False
8.1,100363,0,0,0,2,18,False
8.2,100379,0,0,0,3,18,False
8.3,100203,0,0,0,4,18,False
8.4,100403,0,0,0,5,18,False
8.5,100323,0,0,0,6,18,False
8.6,100315,0,0,0,7,18,False
8.7,100427,0,0,0,8,18,False
8.8,19297,0,0,0,9,18,False
8.9,19012,0,0,0,10,18,False
8.10,100002,0,100,0,1,19,False
8.11,100004,0,110,0,2,19,False
8.12,100411,0,111,0,3,19,False
8.13,100443,0,120,0,4,19,False
8.14,100355,0,0,0,5,19,False
8.15,100339,0,0,0,6,19,False
8.16,100128,0,0,0,7,19,False
8.17,100227,0,0,0,8,19,False
8.18,100387,0,0,0,9,19,False
8.19,100299,0,0,0,10,19,False
8.20,100283,0,0,0,11,19,False
8.21,100435,0,0,0,12,19,False
8.22,260,0,0,0,13,19,False
8.23,19004,0,0,0,14,19,False
8.24,4631,0,0,0,1,20,False
8.25,4639,0,0,0,2,20,False
8.26,100475,0,0,0,3,20,False
8.27,100003,0,0,0,4,20,False
8.28,4574,0,0,0,5,20,False
8.29,100467,0,0,0,6,20,False
8.30,100371,0,0,0,7,20,False
8.31,100010,0,0,0,8,20,False
8.32,100395,0,0,0,0,21,False
8.33,100419,0,0,0,0,21,False
8.34,100459,0,0,0,0,21,False
8.35,100451,0,0,0,0,0,False
9.0,100015,0,0,0,1,18,False
9.1,100364,0,0,0,2,18,False
9.2,100380,0,0,0,3,18,False
9.3,100204,0,0,0,4,18,False
9.4,100404,0,0,0,5,18,False
9.5,100324,0,0,0,6,18,False
9.6,100316,0,0,0,7,18,False
9.7,100428,0,0,0,8,18,False
9.8,19298,0,0,0,9,18,False
9.9,19013,0,0,0,10,18,False
9.10,100016,0,100,0,1,19,False
9.11,100018,0,110,0,2,19,False
9.12,100412,0,111,0,3,19,False
9.13,100444,0,120,0,4,19,False
9.14,100356,0,0,0,5,19,False
9.15,100340,0,0,0,6,19,False
9.16,100129,0,0,0,7,19,False
9.17,100228,0,0,0,8,19,False
9.18,100388,0,0,0,9,19,False
9.19,100300,0,0,0,10,19,False
9.20,100284,0,0,0,11,19,False
9.21,100436,0,0,0,12,19,False
9.22,261,0,0,0,13,19,False
9.23,19005,0,0,0,14,19,False
9.24,4632,0,0,0,1,20,False
9.25,4640,0,0,0,2,20,False
9.26,100476,0,0,0,3,20,False
9.27,100017,0,0,0,4,20,False
9.28,4575,0,0,0,5,20,False
9.29,100468,0,0,0,6,20,False
9.30,100372,0,0,0,7,20,False
9.31,100023,0,0,0,8,20,False
9.32,100396,0,0,0,0,21,False
9.33,100420,0,0,0,0,21,False
9.34,100460,0,0,0,0,21,False
9.35,100452,0,0,0,0,0,False
10.0,100030,0,0,0,1,18,False
10.1,100365,0,0,0,2,18,False
10.2,100381,0,0,0,3,18,False
10.3,100205,0,0,0,4,18,False
10.4,100405,0,0,0,5,18,False
10.5,100325,0,0,0,6,18,False
10.6,100317,0,0,0,7,18,False
10.7,100429,0,0,0,8,18,False
10.8,19299,0,0,0,9,18,False
10.9,19014,0,0,0,10,18,False
10.10,100031,0,100,0,1,19,False
10.11,100034,0,110,0,2,19,False
10.12,100413,0,111,0,3,19,False
10.13,100445,0,120,0,4,19,False
10.14,100357,0,0,0,5,19,False
10.15,100341,0,0,0,6,19,False
10.16,100130,0,0,0,7,19,False
10.17,100229,0,0,0,8,19,False
10.18,100389,0,0,0,9,19,False
10.19,100301,0,0,0,10,19,False
10.20,100285,0,0,0,11,19,False
10.21,100437,0,0,0,12,19,False
10.22,262,0,0,0,13,19,False
10.23,19006,0,0,0,14,19,False
10.24,4633,0,0,0,1,20,False
10.25,4641,0,0,0,2,20,False
10.26,100477,0,0,0,3,20,False
10.27,100032,0,0,0,4,20,False
10.28,4576,0,0,0,5,20,False
10.29,100469,0,0,0,6,20,False
10.30,100373,0,0,0,7,20,False
10.31,100040,0,0,0,8,20,False
10.32,100397,0,0,0,0,21,False
10.33,100421,0,0,0,0,21,False
10.34,100461,0,0,0,0,21,False
10.35,100453,0,0,0,0,0,False
11.0,100075,0,0,0,1,18,False
11.1,100366,0,0,0,2,18,False
11.2,100382,0,0,0,3,18,False
11.3,100206,0,0,0,4,18,False
11.4,100406,0,0,0,5,18,False
11.5,100326,0,0,0,6,18,False
11.6,100318,0,0,0,7,18,False
11.7,100430,0,0,0,8,18,False
11.8,19300,0,0,0,9,18,False
11.9,19015,0,0,0,10,18,False
11.10,100076,0,100,0,1,19,False
11.11,100078,0,110,0,2,19,False
11.12,100414,0,111,0,3,19,False
11.13,100446,0,120,0,4,19,False
11.14,100358,0,0,0,5,19,False
11.15,100342,0,0,0,6,19,False
11.16,100131,0,0,0,7,19,False
11.17,100230,0,0,0,8,19,False
11.18,100390,0,0,0,9,19,False
11.19,100302,0,0,0,10,19,False
11.20,100286,0,0,0,11,19,False
11.21,100438,0,0,0,12,19,False
11.22,263,0,0,0,13,19,False
11.23,19007,0,0,0,14,19,False
11.24,4634,0,0,0,1,20,False
11.25,4642,0,0,0,2,20,False
11.26,100478,0,0,0,3,20,False
11.27,100077,0,0,0,4,20,False
11.28,4577,0,0,0,5,20,False
11.29,100470,0,0,0,6,20,False
11.30,100374,0,0,0,7,20,False
11.31,100082,0,0,0,8,20,False
11.32,100398,0,0,0,0,21,False
11.33,100422,0,0,0,0,21,False
11.34,100462,0,0,0,0,21,False
11.35,100454,0,0,0,0,0,False
12.0,100045,0,0,0,1,18,False
12.1,100367,0,0,0,2,18,False
12.2,100383,0,0,0,3,18,False
12.3,100207,0,0,0,4,18,False
12.4,100407,0,0,0,5,18,False
12.5,100327,0,0,0,6,18,False
12.6,100319,0,0,0,7,18,False
12.7,100431,0,0,0,8,18,False
12.8,19301,0,0,0,9,18,False
12.9,19016,0,0,0,10,18,False
12.10,100046,0,100,0,1,19,False
12.11,100048,0,110,0,2,19,False
12.12,100415,0,111,0,3,19,False
12.13,100447,0,120,0,4,19,False
12.14,100359,0,0,0,5,19,False
12.15,100343,0,0,0,6,19,False
12.16,100132,0,0,0,7,19,False
12.17,100231,0,0,0,8,19,False
12.18,100391,0,0,0,9,19,False
12.19,100303,0,0,0,10,19,False
12.20,100287,0,0,0,11,19,False
12.21,100439,0,0,0,12,19,False
12.22,265,0,0,0,13,19,False
12.23,19008,0,0,0,14,19,False
12.24,4635,0,0,0,1,20,False
12.25,4643,0,0,0,2,20,False
12.26,100479,0,0,0,3,20,False
12.27,100047,0,0,0,4,20,False
12.28,4578,0,0,0,5,20,False
12.29,100471,0,0,0,6,20,False
12.30,100375,0,0,0,7,20,False
12.31,100053,0,0,0,8,20,False
12.32,100399,0,0,0,0,21,False
12.33,100423,0,0,0,0,21,False
12.34,100463,0,0,0,0,21,False
12.35,100455,0,0,0,0,0,False
13.0,100060,0,0,0,1,18,False
13.1,100368,0,0,0,2,18,False
13.2,100384,0,0,0,3,18,False
13.3,100208,0,0,0,4,18,False
13.4,100408,0,0,0,5,18,False
13.5,100328,0,0,0,6,18,False
13.6,100320,0,0,0,7,18,False
13.7,100432,0,0,0,8,18,False
13.8,19302,0,0,0,9,18,False
13.9,19017,0,0,0,10,18,False
13.10,100061,0,100,0,1,19,False
13.11,100064,0,110,0,2,19,False
13.12,100416,0,111,0,3,19,False
13.13,100448,0,120,0,4,19,False
13.14,100360,0,0,0,5,19,False
13.15,100344,0,0,0,6,19,False
13.16,100133,0,0,0,7,19,False
13.17,100232,0,0,0,8,19,False
13.18,100392,0,0,0,9,19,False
13.19,100304,0,0,0,10,19,False
13.20,100288,0,0,0,11,19,False
13.21,100440,0,0,0,12,19,False
13.22,264,0,0,0,13,19,False
13.23,19009,0,0,0,14,19,False
13.24,4636,0,0,0,1,20,False
13.25,4644,0,0,0,2,20,False
13.26,100480,0,0,0,3,20,False
13.27,100062,0,0,0,4,20,False
13.28,4579,0,0,0,5,20,False
13.29,100472,0,0,0,6,20,False
13.30,100376,0,0,0,7,20,False
13.31,100070,0,0,0,8,20,False
13.32,100400,0,0,0,0,21,False
13.33,100424,0,0,0,0,21,False
13.34,100464,0,0,0,0,21,False
13.35,100456,0,0,0,0,0,False
14.0,100090,0,0,0,1,18,False
14.1,100369,0,0,0,2,18,False
14.2,100385,0,0,0,3,18,False
14.3,100209,0,0,0,4,18,False
14.4,100409,0,0,0,5,18,False
14.5,100329,0,0,0,6,18,False
14.6,100321,0,0,0,7,18,False
14.7,100433,0,0,0,8,18,False
14.8,19303,0,0,0,9,18,False
14.9,19018,0,0,0,10,18,False
14.10,100091,0,100,0,1,19,False
14.11,100093,0,110,0,2,19,False
14.12,100417,0,111,0,3,19,False
14.13,100449,0,120,0,4,19,False
14.14,100361,0,0,0,5,19,False
14.15,100345,0,0,0,6,19,False
14.16,100134,0,0,0,7,19,False
14.17,100233,0,0,0,8,19,False
14.18,100393,0,0,0,9,19,False
14.19,100305,0,0,0,10,19,False
14.20,100289,0,0,0,11,19,False
14.21,100441,0,0,0,12,19,False
14.22,266,0,0,0,13,19,False
14.23,19010,0,0,0,14,19,False
14.24,4637,0,0,0,1,20,False
14.25,19002,0,0,0,2,20,False
14.26,100481,0,0,0,3,20,False
14.27,100092,0,0,0,4,20,False
14.28,4580,0,0,0,5,20,False
14.29,100473,0,0,0,6,20,False
14.30,100377,0,0,0,7,20,False
14.31,100099,0,0,0,8,20,False
14.32,100401,0,0,0,0,21,False
14.33,100425,0,0,0,0,21,False
14.34,100465,0,0,0,0,21,False
14.35,100457,0,0,0,0,0,False
15.0,100105,0,0,0,1,18,False
15.1,100370,0,0,0,2,18,False
15.2,100386,0,0,0,3,18,False
15.3,100210,0,0,0,4,18,False
15.4,100410,0,0,0,5,18,False
15.5,100330,0,0,0,6,18,False
15.6,100322,0,0,0,7,18,False
15.7,100434,0,0,0,8,18,False
15.8,19304,0,0,0,9,18,False
15.9,19019,0,0,0,10,18,False
15.10,100106,0,100,0,1,19,False
15.11,100109,0,110,0,2,19,False
15.12,100418,0,111,0,3,19,False
15.13,100450,0,120,0,4,19,False
15.14,100362,0,0,0,5,19,False
15.15,100346,0,0,0,6,19,False
15.16,100135,0,0,0,7,19,False
15.17,100234,0,0,0,8,19,False
15.18,100394,0,0,0,9,19,False
15.19,100306,0,0,0,10,19,False
15.20,100290,0,0,0,11,19,False
15.21,100442,0,0,0,12,19,False
15.22,267,0,0,0,13,19,False
