key,0,1,2,3
#,,,,
int32,byte,byte,uint32,byte
0,1,1,721,0
1,1,1,722,0
2,2,1,283,100
3,2,1,581,99
4,2,1,598,98
5,2,1,639,97
6,2,1,735,90
7,2,1,760,89
8,2,1,761,88
9,2,1,778,87
10,3,2,2308,1
11,3,3,21,2
12,3,3,18,3
13,3,3,19,4
14,3,3,20,5
15,3,3,25,6
16,3,3,22,7
17,3,3,23,8
18,3,3,24,9
19,3,1,195,10
20,3,1,756,11
21,3,1,199,12
22,3,1,645,13
23,3,1,650,14
24,3,1,768,15
25,3,1,769,16
26,3,1,958,17
27,2,1,1018,86
28,4,4,1,100
29,4,4,2,99
30,4,4,3,98
31,4,4,4,97
32,4,1,1063,95
33,4,1,1065,96
34,0,0,0,0
