#,Message,Unknown1,Unknown2
0,,4,True
1,"You find the smoldering remains of magitek armor, no doubt left after a fierce battle.",7,False
2,"You find a pile of well-worn blades and shields, though not of imperial design.",7,False
3,"You pick up the research documents and find page after page of meticulous calculations and observational data on Dalamud. Young Cid posits that the lesser moon may very well possess the ability to harness and manipulate solar power.
Moreover, the vast stores of energy it has amassed over the millennia, should they be unleashed, would far exceed any parameters the transmission tower may have been designed to withstand.",4,True
4,This magitek reaper's fighting days are over.,7,False
5,"Due to your rough treatment, the magitek reaper has gone from merely immobile to entirely inoperational.",7,False
6,"Were you not trapped in borrowed flesh, this soldier's death may have been avoidable.
To avoid further casualties, you had best make your way to Camp Broken Glass as quickly and quietly as possible.",7,False
7,"This poor soul appears to have been slain by the tempered.
Upon closer inspection, you discover a medical kit.",7,False
8,"Whoever this once was fought until the bitter end.
Upon closer inspection, you discover a medical kit.",7,False
9,"This magitek reaper's leg has been damaged, but the weaponry should still function. You may be able to clear a path if you can find the identification key and fuel.",7,False
10,"You have inserted the identification key, but the magitek reaper cannot be activated without fuel.",7,False
11,The ceruleum gauge indicates that some fuel remains. You should be able to remove the tank and carry it to another location.,7,False
12,"Due to your rough treatment, the magitek reaper has gone from merely immobile to entirely inoperational.",7,False
13,This magitek reaper's fighting days are over.,7,False
14,"According to the gauge, some ceruleum remains. The magitek reaper itself, however, is damaged beyond repair.",7,False
15,"Had you avoided detection, this soldier may yet have been saved.",7,False
16,This magitek reaper's fighting days are over.,7,False
17,"A young imperial lies dead.
Upon closer inspection, you discover a medical kit.",7,False
18,"The unfortunate soldier was carrying a medical kit.

In this battle, you are unable to use the full extent of your powers. To reach Camp Broken Glass quickly, you should avoid combat whenever possible.
If you are discovered, your foes will give chase. The magitek units are especially powerful, and your chances of defeating them in your current state are slim at best.
You may use medical kits to restore depleted HP. While you can only carry a limited number, more can be found by inspecting fallen soldiers or wrecked magitek.",7,False
19,"This magitek reaper's fighting days are over.
However, you find a vial of fortis in the cockpit!",7,False
20,"This magitek reaper's fighting days are over.
However, you find a medical kit in the cockpit!",7,False
21,"This magitek reaper's fighting days are over.
However, you find a medical kit in the cockpit!",7,False
