#,EventParameters[0].Gesture,EventParameters[0].LipSync,EventParameters[0].Facial,EventParameters[0].Shape,EventParameters[0].Turn,EventParameters[0].WidgetType,EventParameters[0].IsAutoShake,EventParameters[1].Gesture,EventParameters[1].LipSync,EventParameters[1].Facial,EventParameters[1].Shape,EventParameters[1].Turn,EventParameters[1].WidgetType,EventParameters[1].IsAutoShake,EventParameters[2].Gesture,EventParameters[2].LipSync,EventParameters[2].Facial,EventParameters[2].Shape,EventParameters[2].Turn,EventParameters[2].WidgetType,EventParameters[2].IsAutoShake,EventParameters[3].Gesture,EventParameters[3].LipSync,EventParameters[3].Facial,EventParameters[3].Shape,EventParameters[3].Turn,EventParameters[3].WidgetType,EventParameters[3].IsAutoShake,EventParameters[4].Gesture,EventParameters[4].LipSync,EventParameters[4].Facial,EventParameters[4].Shape,EventParameters[4].Turn,EventParameters[4].WidgetType,EventParameters[4].IsAutoShake,EventParameters[5].Gesture,EventParameters[5].LipSync,EventParameters[5].Facial,EventParameters[5].Shape,EventParameters[5].Turn,EventParameters[5].WidgetType,EventParameters[5].IsAutoShake,EventParameters[6].Gesture,EventParameters[6].LipSync,EventParameters[6].Facial,EventParameters[6].Shape,EventParameters[6].Turn,EventParameters[6].WidgetType,EventParameters[6].IsAutoShake,EventParameters[7].Gesture,EventParameters[7].LipSync,EventParameters[7].Facial,EventParameters[7].Shape,EventParameters[7].Turn,EventParameters[7].WidgetType,EventParameters[7].IsAutoShake,Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7]
0,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,,,,,,,,
1,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,,,,,,,,
2,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,,,,,,,,
3,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,False,,,,,,,,
4,0,1,0,0,2,0,False,0,1,0,0,2,3,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,君！　収穫を手伝ってくれないか！急がないと大切な果実をオポオポに取られてしまうよ！,"収穫を手伝いますか？

**※このF.A.T.E.の推奨レベルはUNKNOWNです。**",,,頼んだよ！,,そうかい。じゃあ、ほかの人に頼むよ。,
5,0,1,0,0,2,0,False,0,1,0,0,2,2,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,果実を持ってきてくれたのかい？,,,,ありがとう！,,おや、違うのかい。,
6,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,果実を集めて持ってきてくれ！,,,,,,,
7,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,3,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,Vile poachers! They seek to hide their trophies so that they might return and collect them once we have gone.,"We must stop them at any cost! Please, good lady. Lend us your blade!","Assist in recovering the poached hides?

**※The recommended level for this FATE is UNKNOWN.**",,"Good luck, and may the Matron bless you!",,Very well. We shall see to this task on our own.,
8,0,1,0,0,2,0,False,0,1,0,0,2,2,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,Were you able to recover any of the poached hides?,,,,"You have my thanks, adventurer, but there may still be more poachers in the area.",,The area is still crawling with poachers. See if you cannot find them before they escape!,
9,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,0,1,0,0,2,0,False,"Hurry, adventurer! We must recover the hides before the poachers can hide them!",,,,,,,
