#,IndividualWeatherData[0].Quest,IndividualWeatherData[0].Unknown0,IndividualWeatherData[0].Weather,IndividualWeatherData[0].Unknown1,IndividualWeatherData[1].Quest,IndividualWeatherData[1].Unknown0,IndividualWeatherData[1].Weather,IndividualWeatherData[1].Unknown1,IndividualWeatherData[2].Quest,IndividualWeatherData[2].Unknown0,IndividualWeatherData[2].Weather,IndividualWeatherData[2].Unknown1,IndividualWeatherData[3].Quest,IndividualWeatherData[3].Unknown0,IndividualWeatherData[3].Weather,IndividualWeatherData[3].Unknown1,IndividualWeatherData[4].Quest,IndividualWeatherData[4].Unknown0,IndividualWeatherData[4].Weather,IndividualWeatherData[4].Unknown1,IndividualWeatherData[5].Quest,IndividualWeatherData[5].Unknown0,IndividualWeatherData[5].Weather,IndividualWeatherData[5].Unknown1,IndividualWeatherData[6].Quest,IndividualWeatherData[6].Unknown0,IndividualWeatherData[6].Weather,IndividualWeatherData[6].Unknown1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,118,1,68836,5,0,3,69179,0,118,2,69190,11,0,3,69313,3,137,3,69314,3,0,3,0,0,0,0
2,0,0,118,1,69190,11,0,3,69313,3,137,3,69314,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,118,1,69157,3,0,3,69179,0,118,2,69190,11,0,3,69313,3,137,3,69314,3,0,3,0,0,0,0
4,0,0,129,1,68846,4,118,3,68856,3,0,3,69179,0,118,2,69190,11,0,3,69313,3,137,3,69314,3,0,3
5,0,0,118,1,68876,3,0,3,69179,0,118,2,69190,11,0,3,69313,3,137,3,69314,3,0,3,0,0,0,0
6,0,0,118,1,69190,11,0,3,69313,3,137,3,69314,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,3,69325,0,7,2,69327,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,3,69945,2,150,3,70000,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,3,69945,2,150,3,70000,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,3,69975,1,150,3,70000,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,187,1,70495,255,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,3,70455,255,188,3,70478,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,3,70459,2,188,3,70478,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
