#,Name,Description,Icon,Action,UnlockLink,Unknown0,Recast,UIPriority,Unknown2,Unknown1
0,,,0,0,0,0,0,0,False,False
1,Auto-attack,Automatically attack your current target at a set interval determined by your weapon.,101,0,0,1,0,7,False,False
2,Jump,Make a spring from the ground or other base by flexion and sudden muscular extension of the legs.,102,0,0,1,0,11,False,False
3,Limit Break,"Spend energy stored in your party's limit gauge to execute a powerful battle technique. The technique executed is determined by the **role** of the party member who initiates it.
Tank: Increase party defense (area of effect: 50y).
Melee: Single-target attack.
Ranged: Attack to all targets in a straight line (range: 30y).
Caster: Area of effect attack (8y/10y/15y).
Healer: HP restoration. Raise at level 3 (area of effect: 50y).
※If target is not weakened at the time of Raise, the target will be restored in a non-weakened state. If target is weakened at the time of Raise, the weakness counter will reset.",103,0,0,1,0,4,False,False
4,Sprint,"Increases movement speed.
**Duration: **10s (20s when not in combat)
※Unavailable in PvP.",104,3,0,1,56,1,False,False
5,Desynthesis,Break down an item into one or more of its original materials.,120,0,95,2,0,51,False,True
6,Repair,Use dark matter to mend damaged equipment.,106,0,0,2,0,31,False,True
7,Teleport,Reduce your body to aether and instantly teleport to any aetheryte to which you have previously attuned. Requires a gil fee paid upon arrival at your destination.,111,5,4,1,0,2,False,True
8,Return,Instantly return to your current home point.,112,6,1,1,57,3,False,True
9,Mount Roulette,Summon a mount at random.,118,0,0,1,0,21,False,False
10,Minion Roulette,Summon a minion at random.,117,0,0,1,0,23,False,False
11,,,0,0,0,0,0,0,False,False
12,Materia Melding,Affix materia onto weapons and armor.,107,0,11,2,0,33,False,True
13,Advanced Materia Melding,"Affix materia onto weapons and armor. Can also affix materia to items with no slots remaining, but success is not guaranteed.",108,0,12,2,0,34,False,True
14,Materia Extraction,"Extract the aether from an item with a complete spiritbond, and then recrystallize the resulting residue into a concentrated substance known as “materia.”",109,0,13,2,0,32,False,True
15,Dye,Use dye to color gear.,110,0,14,2,0,41,False,True
16,Target Forward,Toggle forward through nearby enemies.,113,0,0,3,0,12,False,True
17,Target Back,Toggle back through nearby enemies.,114,0,0,3,0,13,False,True
18,Set Down,Put down the object you are carrying.,19612,0,0,1,0,0,False,False
19,Decipher,Remove a timeworn map from its glass prison and unlock its mysteries.,115,1694,25,1,0,61,False,False
20,Dig,Locate a buried treasure coffer within a 30-yalm radius and extract it from the ground.,116,1695,25,1,67,62,False,False
21,Aetherial Reduction,Break down an item to its aetherial components.,121,0,256,2,0,52,False,True
22,Cast Glamour,"Use a glamour prism to cast an optical illusion upon a piece of equipment, thus altering its appearance.",119,0,15,2,0,42,False,True
23,Dismount,Dismount your current mount.,19628,0,0,1,0,0,False,False
24,Flying Mount Roulette,Summon a random flying mount.,122,0,0,1,0,0,False,False
25,Glamour Plate,Create a set of multiple glamours to apply at once.,125,0,15,2,0,43,False,True
26,Duty Action I,Execute a duty-specific action.,123,0,0,1,0,1,True,False
27,Duty Action II,Execute a duty-specific action.,124,0,0,1,0,2,True,False
28,Put Away,Stow personal effects.,19688,0,0,1,0,0,False,False
29,Sort Pet Hotbar,Change the order of hotbar-assigned actions.,19692,0,0,1,0,0,False,True
30,Sort Pet Hotbar,Change the order of hotbar-assigned actions.,19692,0,0,1,0,0,False,True
31,Phantom Action I,Execute a phantom action.,126,0,537,1,0,3,True,False
32,Phantom Action II,Execute a phantom action.,127,0,537,1,0,4,True,False
33,Phantom Action III,Execute a phantom action.,128,0,537,1,0,5,True,False
34,Phantom Action IV,Execute a phantom action.,129,0,537,1,0,6,True,False
35,Phantom Action V,Execute a phantom action.,130,0,537,1,0,7,True,False
36,Attack Target,Selects target marked as target to attack. Cycles through targets numbered from lowest to highest when multiple targets are marked.,133,0,0,3,0,14,False,True
37,Bind Target,Selects target marked as target to bind. Cycles through targets numbered from lowest to highest when multiple targets are marked.,134,0,0,3,0,15,False,True
38,Ignore Target,Selects target marked as target to ignore. Cycles through targets numbered from lowest to highest when multiple targets are marked.,135,0,0,3,0,16,False,True
39,Square Target,Selects target marked with a square.,136,0,0,3,0,17,False,True
40,Circle Target,Selects target marked with a circle.,137,0,0,3,0,18,False,True
41,Plus Target,Selects target marked with a plus.,138,0,0,3,0,19,False,True
42,Triangle Target,Selects target marked with a triangle.,139,0,0,3,0,20,False,True
43,Next Board,View the next Strategy Board.,140,0,0,3,0,71,False,True
44,Previous Board,View the previous Strategy Board.,141,0,0,3,0,72,False,True
