#,Name,Icon,Quest,AcceptTalk,FailTalk,FestivalId,FestivalPhase,Unknown2
262144,,0,0,0,0,0,0,False
262145,,0,0,0,0,0,0,False
262151,Purchase Items,0,0,0,0,0,0,True
262152,,0,0,0,0,0,0,False
262153,,0,0,0,0,0,0,False
262154,,0,0,0,0,0,0,False
262155,,0,0,0,0,0,0,False
262156,,0,0,0,0,0,0,False
262157,,0,0,0,0,0,0,True
262158,Purchase Items,0,0,0,0,0,0,True
262159,,0,0,0,0,0,0,False
262160,,0,0,0,0,0,0,False
262161,,0,0,0,0,0,0,False
262162,,0,0,0,0,0,0,False
262163,,0,0,0,0,0,0,False
262164,Purchase Items,0,0,0,0,0,0,True
262165,,0,0,0,0,0,0,False
262166,,0,0,0,0,0,0,False
262167,,0,0,0,0,0,0,False
262168,,0,0,0,0,0,0,False
262169,,0,0,0,0,0,0,False
262170,,0,0,0,0,0,0,True
262171,,0,0,0,0,0,0,True
262172,,0,0,0,0,0,0,True
262173,,0,0,0,0,0,0,True
262174,,0,0,0,0,0,0,True
262175,,0,0,0,0,0,0,True
262176,,0,0,0,0,0,0,True
262177,,0,0,0,0,0,0,True
262178,,0,0,0,0,0,0,False
262179,,0,0,0,0,0,0,False
262180,Purchase Items,0,0,0,0,0,0,True
262181,Purchase Items,0,0,0,0,0,0,True
262182,,0,0,0,0,0,0,True
262183,,0,0,0,0,0,0,False
262184,,0,0,0,0,0,0,False
262185,,0,0,0,0,0,0,True
262186,,0,0,0,0,0,0,False
262187,,0,0,0,0,0,0,False
262188,,0,0,0,0,0,0,False
262189,,0,0,0,0,0,0,False
262190,,0,0,0,0,0,0,True
262191,Purchase Items,0,0,0,0,0,0,True
262192,,0,0,0,0,0,0,True
262193,,0,0,0,0,0,0,False
262194,,0,0,0,0,0,0,False
262195,,0,0,0,0,0,0,False
262196,,0,0,0,0,0,0,False
262197,,0,0,0,0,0,0,True
262198,,0,0,0,0,0,0,False
262199,,0,0,0,0,0,0,False
262200,,0,0,0,0,0,0,True
262201,Purchase Items,0,0,0,0,0,0,True
262202,,0,0,0,0,0,0,True
262203,,0,0,0,0,0,0,False
262204,,0,0,0,0,0,0,False
262205,,0,0,0,0,0,0,False
262206,,0,0,0,0,0,0,False
262207,,0,0,0,0,0,0,True
262208,,0,0,0,0,0,0,True
262209,Purchase Weapons,0,0,0,0,0,0,True
262210,,0,0,0,0,0,0,True
262211,,0,0,0,0,0,0,True
262212,Purchase Battle Accessories,0,0,0,0,0,0,True
262213,Purchase Battle Gear,0,0,0,0,0,0,True
262214,Purchase Field Gear,0,0,0,0,0,0,True
262215,Purchase Weapons,0,0,0,0,0,0,True
262216,Purchase Tools,0,0,0,0,0,0,True
262217,Purchase Weapons,0,0,0,0,0,0,True
262218,Purchase Battle Gear,0,0,0,0,0,0,True
262219,Purchase Field Gear,0,0,0,0,0,0,True
262221,Purchase Tools,0,0,0,0,0,0,True
262222,Purchase Weapons,0,0,0,0,0,0,True
262223,Purchase Battle Gear,0,0,0,0,0,0,True
262224,Purchase Field Gear,0,0,0,0,0,0,True
262225,Purchase Tools,0,0,0,0,0,0,True
262226,Purchase Weapons,0,0,0,0,0,0,True
262227,Purchase Battle Gear,0,0,0,0,0,0,True
262228,Purchase Field Gear,0,0,0,0,0,0,True
262229,Purchase Tools,0,0,0,0,0,0,True
262230,Purchase Weapons,0,0,0,0,0,0,True
262231,Purchase Battle Gear,0,0,0,0,0,0,True
262232,Purchase Field Gear,0,0,0,0,0,0,True
262233,Purchase Tools,0,0,0,0,0,0,True
262234,Purchase Weapons,0,0,0,0,0,0,True
262235,Purchase Battle Gear,0,0,0,0,0,0,True
262236,Purchase Field Gear,0,0,0,0,0,0,True
262237,Purchase Tools,0,0,0,0,0,0,True
262238,Purchase Weapons,0,0,0,0,0,0,True
262239,Purchase Battle Gear,0,0,0,0,0,0,True
262240,Purchase Field Gear,0,0,0,0,0,0,True
262241,Purchase Tools,0,0,0,0,0,0,True
262242,Purchase Weapons,0,0,0,0,0,0,True
262243,Purchase Battle Gear,0,0,0,0,0,0,True
262244,Purchase Field Gear,0,0,0,0,0,0,True
262245,Purchase Tools,0,0,0,0,0,0,True
262246,Purchase Weapons,0,0,0,0,0,0,True
