key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,Gladiator{Item},Pugilist{Item},Marauder{Item},Lancer{Item},Archer{Item},Conjurer{Item},Thaumaturge{Item},Arcanist(SMN){Item},Arcanist(SCH){Item},Shield{Item},Rogue{Item},,,,,
int32,byte,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,uint32,uint32,uint32,uint32,uint32
0,1,1675,1746,1816,1885,1955,2052,2140,2213,2214,2306,7888,0,0,0,0,0
1,2,6257,6258,6259,6260,6261,6262,6263,6264,6265,6266,9250,0,0,0,0,0
2,3,7824,7825,7826,7827,7828,7829,7830,7831,7832,7833,9251,0,0,0,0,0
3,4,7834,7835,7836,7837,7838,7839,7840,7841,7842,7843,9252,0,0,0,0,0
4,5,7863,7864,7865,7866,7867,7868,7869,7870,7871,7872,9253,0,0,0,0,0
5,6,8649,8650,8651,8652,8653,8654,8655,8656,8657,8658,9254,0,0,0,0,0
6,7,9491,9492,9493,9494,9495,9496,9497,9498,9499,9500,9501,0,0,0,0,0
7,8,10054,10055,10056,10057,10058,10059,10060,10061,10062,10063,10064,0,0,0,0,0
