#,Objective,Unknown0,Unknown1,Unknown2,EObj,Unknown3,Unknown4,Type,Unknown5,Range,Unknown6
0,,,,,0,0,0,0,0,0,-1
1,,,,,0,0,0,0,0,0,0
2,,,,,0,0,0,0,0,0,0
3,,,,,0,0,0,0,0,0,0
4,,,,,0,0,0,0,0,0,0
5,,,,,0,0,0,0,0,0,0
6,,,,,0,0,0,0,0,0,0
7,,,,,0,0,0,0,0,0,0
8,,,,,0,0,0,0,0,0,0
9,,,,,0,0,0,0,0,0,0
10,,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"House Haillenarte has a vested interest in the bounty these isles have to offer. As such, your task this day is to assess the region's natural resources.","Go forth and gather what you may! Provide us with a thorough evaluation, and your diligence shall be duly rewarded. ",0,0,0,6,0,0,-1
11,,"Operation Command here.
We have received your preliminary report.",The initial results are certainly promising! Pray continue your survey and inform us of your progress.,,0,0,0,6,0,0,-1
12,,"Operation Command here.
We have received your interim report.","Fascinating, but inconclusive. One last round of samples should allow for a more definitive assessment!",,0,0,0,6,0,0,-1
13,Gather over-aspected fire crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007594,0,8,9,0,0,-1
14,Gather over-aspected water crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007597,0,8,9,0,0,-1
15,Gather over-aspected earth crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007595,0,8,9,0,0,-1
16,Gather over-aspected ice crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007596,0,8,9,0,0,-1
17,Gather over-aspected wind crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007598,0,8,9,0,0,-1
18,Gather over-aspected lightning crystals,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day is to gather crystals that exhibit excessive elemental properties. Proceed to the delineated area, and secure the shards we seek.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007593,0,8,9,0,0,-1
19,Gather over-aspected fire crystals,"Operation Command here.
We have received your preliminary report.",More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007594,1,10,9,0,0,-1
20,Gather over-aspected water crystals,"Operation Command here.
We have received your preliminary report.",More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007597,1,10,9,0,0,-1
21,Gather over-aspected earth crystals,"Operation Command here.
We have received your preliminary report.",More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007595,1,10,9,0,0,-1
22,Gather over-aspected ice crystals,"Operation Command here.
We have received your preliminary report.",More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007596,1,10,9,0,0,-1
23,Gather over-aspected wind crystals,"Operation Command here.
We have received your preliminary report.",More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007598,1,10,9,0,0,-1
24,Gather over-aspected lightning crystals,"Operation Command here.
We have received your preliminary report.",More crystals are needed. Pray continue on to the next designated area.,"This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",2007593,1,10,9,0,0,-1
25,Deliver gathered goods to the pilot at the *Bounty*,"Operation Command here.
We have received your interim report.",Gather your last haul of goods and deliver what you have to the *Bounty*.,I promise you House Haillenarte will not be miserly with its gratitude!,0,0,0,2,0,0,-1
26,"Use a scent trap to ambush silvershells, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,5,-1
27,"Use a scent trap to ambush welkinixes, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,5,-1
28,"Use a scent trap to ambush jewel wasps, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,5,-1
29,"Use a scent trap to ambush rainbow gastornis, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,5,-1
30,"Use a scent trap to ambush lunantishees, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,5,-1
31,"Use a scent trap to ambush ant hawks, and obtain cloud dweller organs",This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,"Your task this day will be to secure specimens for our House Haillenarte naturalists. Set a trap to lure the creatures in question, then slay them as cleanly as possible.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,5,-1
32,"Use a scent trap to ambush diplocauluses, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,3,-1
33,"Use a scent trap to ambush proceratosaurs, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,3,-1
34,"Use a scent trap to ambush coelophysis, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,3,-1
35,"Use a scent trap to ambush zeuglodons, and obtain cloud dweller bones","Operation Command here.
We have received your preliminary report.","A new target has been chosen. As before, you are to lure the creatures to your location and effect a clean kill.","This operation's degree of success will also be gauged by the extent of your explorations. Have at it, adventurers.",0,0,0,4,0,3,-1
36,Deliver gathered goods to the pilot at the *Bounty*,"Operation Command here.
We have received your interim report.",Gather your last haul of goods and deliver what you have to the *Bounty*.,I promise you House Haillenarte will not be miserly with its gratitude!,0,0,0,2,0,0,-1
37,Slay silvershells,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.,,0,0,0,1,8,0,-1
38,Slay speckled hakulaqs,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.,,0,0,0,1,5,0,-1
39,Slay cloud crawlers,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.,,0,0,0,1,6,0,-1
40,Slay sabertooth tigers,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.,,0,0,0,1,6,0,-1
41,Slay ageless sankchinnis,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.,,0,0,0,1,8,0,-1
42,Slay sun sordes,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.,,0,0,0,1,8,0,-1
43,Slay ant hawks,This is Operation Command─we see your ship has arrived safely. Welcome to the Diadem!,Your task this day will be to secure an egg for our House Haillenarte naturalists. Reconnoiter the area whilst keeping a lookout for rodents with a taste for unhatched offspring.,,0,0,0,1,6,0,-1
44,Slay yolk mice,The rodents have shown their whiskers.,"Make haste to where the yolk mice are swarming, and eradicate them!",,0,0,0,7,8,0,-1
45,Slay yolk mice,The rodents have shown their whiskers.,"Make haste to where the yolk mice are swarming, and eradicate them!",,0,0,0,7,8,0,-1
46,Slay yolk mice,The rodents have shown their whiskers.,"Make haste to where the yolk mice are swarming, and eradicate them!",,0,0,0,7,8,0,-1
