key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name{Rank},
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,"",0,"",0,0,0,0,0,"",""
1,"Storm Private Third Class",0,"Storm Privates Third Class",0,0,0,0,0,"private",""
2,"Storm Private Second Class",0,"Storm Privates Second Class",0,0,0,0,0,"private",""
3,"Storm Private First Class",0,"Storm Privates First Class",0,0,0,0,0,"private",""
4,"Storm Corporal",0,"Storm Corporals",0,0,0,0,0,"corporal",""
5,"Storm Sergeant Third Class",0,"Storm Sergeants Third Class",0,0,0,0,0,"sergeant",""
6,"Storm Sergeant Second Class",0,"Storm Sergeants Second Class",0,0,0,0,0,"sergeant",""
7,"Storm Sergeant First Class",0,"Storm Sergeants First Class",0,0,0,0,0,"sergeant",""
8,"Chief Storm Sergeant",0,"Chief Storm Sergeants",0,0,0,0,0,"sergeant",""
9,"Second Storm Lieutenant",0,"Second Storm Lieutenants",0,0,0,0,0,"lieutenant",""
10,"First Storm Lieutenant",0,"First Storm Lieutenants",0,0,0,0,0,"lieutenant",""
11,"Storm Captain",0,"Storm Captains",0,0,0,0,0,"captain",""
12,"Second Storm Commander",0,"Second Storm Commanders",0,0,0,0,0,"commander",""
13,"First Storm Commander",0,"First Storm Commanders",0,0,0,0,0,"commander",""
14,"High Storm Commander",0,"High Storm Commanders",0,0,0,0,0,"commander",""
15,"Rear Storm Marshal",0,"Rear Storm Marshals",0,0,0,0,0,"rear marshal",""
16,"Vice Storm Marshal",0,"Vice Storm Marshals",0,0,0,0,0,"vice marshal",""
17,"Storm Marshal",0,"Storm Marshals",0,0,0,0,0,"marshal",""
18,"Grand Storm Marshal",0,"Grand Storm Marshals",0,0,0,0,0,"grand marshal",""
19,"Storm Champion",0,"Storm Champions",0,0,0,0,0,"champion",""
