key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,byte,int32,bit&01,byte,byte,int32,byte,byte,byte,byte,bit&01,bit&01,bit&01,bit&01,bit&02,bit&02,bit&02,bit&02,byte,byte,byte,byte,byte,byte,byte,byte,int32,int32,int32,int32,byte,byte,byte
0,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,False,2,0,2,3,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
2,3,1,1,1,False,2,0,3,3,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
3,6,2,1,1,False,2,0,4,3,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
4,1,1,1,1,False,2,0,2,0,1,2,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
5,3,1,1,1,False,2,0,3,0,1,2,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
6,7,2,1,1,False,2,0,4,0,1,2,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
7,1,1,1,2,False,2,0,2,2,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
8,3,1,1,2,False,2,0,3,2,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
9,6,2,1,2,False,2,0,4,2,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
10,2,1,1,1,False,2,0,2,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
11,3,1,1,1,False,2,0,3,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
12,4,2,1,1,False,2,0,4,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
13,5,3,1,1,False,2,0,5,0,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
14,8,4,1,1,False,2,0,10,0,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
15,15,5,1,1,True,15,0,15,0,2,2,0,True,False,False,False,False,False,False,False,10,0,0,0,4,0,0,0,2,0,0,0,0,0,0
