#,Unknown0,ClassPlural,VoiceLine,ClassSingular
0,,,0,
1,Alphinaud,Academician,8202017,Academician
2,Alisaie,Red Mage,8202034,Red Mage
3,Thancred,Gunbreaker,8202048,Gunbreaker
4,Minfilia,Oracle of Light,8202074,Oracle of Light
5,Urianger,Astrologian,8202081,Astrologian
6,Y'shtola,Sorceress,8202112,Sorceress
7,Ryne,Oracle of Light,8202074,Oracle of Light
8,Lyna,Guard Captain,8202143,Guard Captain
9,Crystal Exarch,All-rounder,8202121,All-Rounder
10,G'raha Tia,All-rounder,8202346,All-Rounder
11,Alphinaud,Sage,8203013,Sage
12,Estinien,Dragoon,8203064,Dragoon
13,Urianger,Lithomancer,8202092,Lithomancer
14,Venat,All-rounder,8203122,All-Rounder
15,Emet-Selch,The Third Seat,8203219,The Third Seat
16,Hythlodaeus,Soulseer,8203239,Soulseer
17,Eager Marauder,Marauder,0,Marauder
18,Eager Lancer,Lancer,0,Lancer
19,Eager Thaumaturge,Thaumaturge,0,Thaumaturge
20,Eager Conjurer,Conjurer,0,Conjurer
21,Scion Marauder,Marauder,0,Marauder
22,Scion Lancer,Lancer,0,Lancer
23,Scion Thaumaturge,Thaumaturge,0,Thaumaturge
24,Scion Conjurer,Conjurer,0,Conjurer
25,Storm Marauder,Marauder,0,Marauder
26,Serpent Lancer,Lancer,0,Lancer
27,Flame Thaumaturge,Thaumaturge,0,Thaumaturge
28,Serpent Conjurer,Conjurer,0,Conjurer
29,Varshahn,Satrap,8203440,Satrap
30,Ysayle,Oracle of Frost,0,Oracle of Frost
31,Temple Knight,Knight,0,Temple Knight
32,Temple Banneret,Banneret,0,Temple Banneret
33,Temple Chirurgeon,Chirurgeon,0,Temple Chirurgeon
34,Haurchefant,Chivalric Knight,0,Chivalric Knight
35,Pero Roggo,Poroggo,0,Poroggo
36,Aymeric,Lord Commander,0,Lord Commander
37,House Fortemps Knight,Knight,0,Knight
38,House Fortemps Banneret,Banneret,0,Banneret
39,House Fortemps Archer,Archer,0,Archer
40,Thancred,Archon,0,Archon
41,Zero,Memoriate,8203467,Memoriate
42,Y'shtola,Archon,0,Archon
43,Carvallain,Marauder,0,Marauder
44,Lyse,Pugilist,0,Pugilist
45,Gosetsu,Samurai,0,Samurai
46,Hien,Samurai,0,Samurai
47,Mol Youth,Shaman,0,Shaman
48,Yugiri,Ninja,0,Ninja
49,Doman Liberator,Samurai,0,Samurai
50,Doman Shaman,Shaman,0,Fushi
51,Resistance Fighter,Gladiator,0,Gladiator
52,Resistance Pikedancer,Pikedancer,0,Pikedancer
53,Arenvald,Gladiator,0,Gladiator
54,Lyse,Pugilist,0,Pugilist
55,Raubahn,Champion Gladiator,0,Champion Gladiator
56,J'moldva,Lancer,0,Lancer
57,Wuk Lamat,Intrepid,8205048,Intrepid
58,Zoraal Ja,Viper,8205115,Viper
59,Koana,Innovator,8205098,Innovator
60,Krile,Pictomancer,8205029,Pictomancer
61,Sphene,Zoemancer,8206020,Zoemancer
