#,Unknown0,Unknown1,Unknown2,Unknown3
0.0,0,0,1,1
721881.0,5729,52254,1,1
721881.1,5730,52254,1,1
721881.2,5731,52254,1,1
721881.3,5732,52254,1,1
721881.4,5733,52254,1,1
721881.5,5734,52254,1,1
721881.6,5735,52254,1,1
721881.7,5736,52254,1,1
721881.8,5737,52254,1,1
721881.9,5738,52254,1,1
721881.10,5739,52254,1,1
721881.11,5740,52254,1,1
721881.12,5741,52254,1,1
721881.13,5742,52254,1,1
721881.14,5743,52254,1,1
721881.15,5744,52254,1,1
721881.16,5745,52254,1,1
721881.17,5746,52254,1,1
721881.18,5747,52254,1,1
721881.19,5748,52254,1,1
721881.20,5749,52254,1,1
721881.21,5750,52254,1,1
721881.22,5751,52254,1,1
721881.23,5752,52254,1,1
721881.24,5753,52254,1,1
721881.25,5754,52254,1,1
721881.26,5755,52254,1,1
721881.27,5756,52254,1,1
721881.28,5757,52254,1,1
721881.29,5758,52254,1,1
721881.30,5759,52254,1,1
721881.31,5760,52254,1,1
721881.32,5761,52254,1,1
721881.33,5762,52254,1,1
721881.34,5763,52254,1,1
721881.35,5764,52254,1,1
721881.36,5765,52254,1,1
721881.37,5766,52254,1,1
721881.38,5767,52254,1,1
721881.39,5768,52254,1,1
721881.40,5769,52254,1,1
721881.41,5770,52254,1,1
721881.42,5771,52254,1,1
721881.43,5772,52254,1,1
721881.44,5773,52254,1,1
721881.45,5774,52254,1,1
721881.46,5775,52254,1,1
721881.47,5776,52254,1,1
721881.48,5777,52254,1,1
721881.49,5778,52254,1,1
721881.50,5779,52254,1,1
721881.51,5780,52254,1,1
721881.52,5781,52254,1,1
721881.53,5782,52254,1,1
721881.54,5783,52254,1,1
721881.55,5784,52254,1,1
721881.56,5785,52254,1,1
721881.57,5786,52254,1,1
721881.58,5787,52254,1,1
721881.59,5788,52254,1,1
721881.60,5789,52254,1,1
721881.61,5790,52254,1,1
721881.62,5791,52254,1,1
721881.63,5792,52254,1,1
721881.64,5793,52254,1,1
721881.65,5794,52254,1,1
721881.66,5795,52254,1,1
721881.67,5796,52254,1,1
721881.68,5797,52254,1,1
721881.69,5798,52254,1,1
721881.70,5799,52254,1,1
721881.71,5800,52254,1,1
721881.72,5801,52254,1,1
721881.73,5802,52254,1,1
721881.74,5803,52254,1,1
721881.75,5804,52254,1,1
721881.76,5805,52254,1,1
721881.77,5806,52254,1,1
721881.78,5807,52254,1,1
721881.79,5808,52254,1,1
721881.80,5809,52254,1,1
721881.81,5810,52254,1,1
721881.82,5811,52254,1,1
721881.83,5812,52254,1,1
721881.84,5813,52254,1,1
721881.85,30116,52255,1,1
721881.86,30117,52255,1,1
721881.87,30118,52255,1,1
721881.88,30119,52255,1,1
721881.89,30120,52255,1,1
721881.90,30121,52255,1,1
721881.91,30122,52255,1,1
721881.92,30123,52255,1,1
721881.93,30124,52255,1,1
721881.94,48163,52256,1,1
721881.95,48164,52256,1,1
721881.96,48165,52256,1,1
721881.97,48166,52256,1,1
721881.98,48167,52256,1,1
721881.99,48168,52256,1,1
721881.100,48169,52256,1,1
721881.101,48170,52256,1,1
721881.102,48171,52256,1,1
721881.103,48172,52256,1,1
721881.104,48227,52256,1,1
