#,TemporaryAction,Unknown1,Unknown2,RequiredItem[0],RequiredItem[1],RequiredItem[2],RequiredItemQuantity[0],RequiredItemQuantity[1],RequiredItemQuantity[2],Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,WKSMissionText,Unknown14,Unknown15,Unknown16,Unknown17,MissionType
0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2000000,0,0,0,0,0,0,0,0,0,0,4,23,115,0,1,0,5,8
9,0,2000000,540,0,0,0,0,0,0,0,0,0,5,24,117,0,4,0,0,7
10,0,2000000,0,53,0,0,2,0,0,0,0,0,6,25,114,0,3,0,0,8
11,0,2000000,1000,0,0,0,0,0,0,0,426,0,7,26,121,0,4,0,0,1
12,0,2000000,0,0,0,0,0,0,0,2,0,0,8,23,113,0,2,2,0,8
13,0,2000000,2000,0,0,0,0,0,0,0,0,0,9,24,119,0,4,0,0,6
14,0,2000000,1570,0,0,0,0,0,0,0,0,0,10,26,117,0,4,0,0,7
15,0,2000000,0,69,70,0,1,1,0,0,0,0,11,23,114,0,3,0,0,8
16,0,2000000,1000,0,0,0,0,0,0,0,427,0,12,25,121,0,4,0,0,1
17,0,2000000,0,0,0,0,0,0,0,2,0,0,13,26,116,0,2,2,0,9
18,0,2000000,20000,0,0,0,0,0,0,0,0,0,14,23,119,0,4,0,0,6
19,0,2000000,200,0,0,0,0,0,0,0,428,0,15,25,122,0,4,0,0,1
20,0,2000000,0,0,0,0,0,0,0,4,0,0,16,24,113,0,2,2,0,8
21,0,2000000,0,95,0,0,3,0,0,0,0,0,17,27,114,0,3,0,0,8
22,41278,2000000,3000,0,0,0,0,0,0,0,429,0,18,23,121,0,4,0,0,1
23,0,2000000,0,0,0,0,0,0,0,3,0,0,19,27,116,0,2,2,0,9
24,0,2000000,3690,0,0,0,0,0,0,0,0,0,20,24,120,0,4,0,0,7
25,41278,2000000,2400,0,0,0,0,0,0,0,430,0,21,28,122,0,4,0,0,1
26,0,2000000,0,0,0,0,0,0,0,4,0,0,22,25,113,0,2,2,0,8
27,0,2000000,0,0,0,0,0,0,0,0,0,0,23,26,115,0,1,0,13,8
28,0,2000000,35000,0,0,0,0,0,0,0,0,0,24,28,119,0,4,0,0,6
29,0,2000000,0,135,0,0,1,0,0,0,0,0,25,24,114,0,3,0,0,8
30,0,2000000,1500,0,0,0,0,0,0,0,431,0,26,25,118,0,4,0,0,1
31,0,2000000,0,0,0,0,0,0,0,0,0,0,27,27,115,0,1,0,18,8
32,41278,2000000,5500,0,0,0,0,0,0,0,432,0,28,28,121,0,4,0,0,1
33,41278,2000000,5000,0,0,0,0,0,0,0,433,0,29,27,122,0,4,0,0,1
34,0,2000000,7730,0,0,0,0,0,0,0,0,0,30,23,117,0,4,0,0,7
35,0,2000000,30000,0,0,0,0,0,0,0,0,0,31,26,119,0,4,0,0,6
36,0,2000000,1500,0,0,0,0,0,0,0,482,0,32,31,118,0,4,0,0,1
37,0,2000000,0,0,0,0,0,0,0,0,0,0,33,29,115,0,1,0,18,8
38,0,2000000,0,222,0,0,1,0,0,0,0,0,34,28,114,0,3,0,0,8
39,0,2000000,4660,0,0,0,0,0,0,0,0,0,35,27,120,0,4,0,0,7
40,0,2000000,0,0,0,0,0,0,0,4,0,0,36,28,116,0,2,2,0,9
41,0,2000000,0,198,0,0,1,0,0,0,0,0,37,26,114,0,3,0,0,8
42,0,2000000,4510,0,0,0,0,0,0,0,0,0,38,25,120,0,4,0,0,7
43,0,2000000,0,0,0,0,0,0,0,5,0,0,39,23,113,0,2,2,0,8
44,41278,2000000,7900,0,0,0,0,0,0,0,434,0,40,27,121,0,4,0,0,1
45,41278,2000000,11700,0,0,0,0,0,0,0,435,0,41,24,121,0,4,0,0,1
46,0,2000000,2250,0,0,0,0,0,0,0,436,0,42,29,118,0,4,0,0,1
