#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
1.0,464,0,0,0,150,50,30
1.1,570,0,0,0,150,50,70
1.2,686,0,0,0,150,30,50
1.3,730,0,0,0,150,50,50
1.4,770,0,0,0,150,70,50
1.5,917,0,0,0,150,50,30
1.6,1143,0,0,0,150,30,70
1.7,1287,0,0,0,150,70,70
1.8,1550,0,0,0,150,30,30
1.9,1586,0,0,0,150,50,30
1.10,1615,0,0,0,150,70,30
1.11,1963,0,0,0,150,50,50
1.12,2117,0,0,0,150,50,70
1.13,2413,0,16,0,150,20,20
1.14,2460,0,16,0,150,40,40
1.15,2503,0,16,0,150,60,60
1.16,2550,1,120,4,150,80,80
1.17,2866,0,0,0,150,50,50
1.18,3017,0,21,0,150,80,20
1.19,3064,0,21,0,150,60,40
1.20,3113,0,21,0,150,40,60
1.21,3162,1,100,4,150,20,80
1.22,3470,1,140,6,150,80,80
1.23,3907,0,0,0,150,30,25
1.24,3982,0,0,0,150,70,25
1.25,4058,0,0,0,150,60,50
1.26,4093,0,0,0,150,50,50
1.27,4130,0,0,0,150,40,50
1.28,4203,0,0,0,150,20,75
1.29,4241,0,0,0,150,50,75
1.30,4278,0,0,0,150,80,75
1.31,4370,1,100,5,150,30,50
1.32,4670,1,100,5,150,50,50
1.33,4958,1,400,20,150,70,50
2.0,516,0,0,0,80,60,20
2.1,590,0,0,0,80,50,30
2.2,630,0,0,0,80,40,40
2.3,740,0,0,0,80,20,60
2.4,780,0,0,0,80,40,70
2.5,820,0,0,0,80,60,80
2.6,969,0,0,0,80,80,50
2.7,1197,0,0,0,80,40,20
2.8,1270,0,0,0,80,60,20
2.9,1345,0,0,0,80,80,20
2.10,1420,0,0,0,80,80,40
2.11,1490,0,0,0,80,80,60
2.12,1564,0,0,0,80,80,80
2.13,1637,0,0,0,80,60,80
2.14,1719,0,0,0,80,40,80
2.15,1830,0,0,0,80,30,50
2.16,1938,0,0,0,80,70,50
2.17,2016,0,0,0,80,50,50
2.18,2163,0,0,0,80,50,30
2.19,2323,0,0,0,80,50,70
2.20,2470,0,0,0,80,30,50
2.21,2514,0,0,0,80,50,60
2.22,2559,0,0,0,80,70,70
2.23,2605,1,60,3,80,30,70
2.24,2751,1,100,5,80,50,50
2.25,2912,0,0,0,80,30,30
2.26,3066,0,0,0,80,80,80
2.27,3117,0,0,0,80,60,70
2.28,3167,0,0,0,80,40,60
2.29,3219,1,60,3,80,90,50
2.30,3366,1,300,15,80,50,50
2.31,3825,0,0,0,80,25,50
2.32,3967,0,0,0,80,50,40
2.33,4037,0,0,0,80,75,30
2.34,4115,0,0,0,80,80,50
2.35,4190,0,0,0,80,85,70
2.36,4267,0,0,0,80,70,70
2.37,4343,0,0,0,80,55,50
2.38,4420,0,0,0,80,30,30
2.39,4440,0,0,0,80,40,40
2.40,4460,0,0,0,80,50,50
2.41,4720,0,0,0,80,70,70
2.42,4740,0,0,0,80,60,70
2.43,4760,0,0,0,80,50,70
2.44,4780,0,0,0,80,40,70
2.45,4800,0,0,0,80,30,70
2.46,5017,1,400,20,80,80,40
2.47,5550,0,0,0,80,50,50
2.48,5570,0,0,0,80,55,55
2.49,5590,0,0,0,80,60,60
3.0,487,0,0,0,150,40,30
3.1,637,0,0,0,150,60,30
3.2,786,0,0,0,150,30,50
3.3,861,0,0,0,150,50,70
3.4,933,0,0,0,150,70,50
3.5,1087,2,160,0,150,40,40
3.6,1377,2,160,0,150,60,60
3.7,1677,0,0,0,150,30,70
3.8,1753,0,0,0,150,70,70
3.9,1827,2,100,0,150,50,50
3.10,1987,0,0,0,150,30,30
3.11,2060,0,0,0,150,50,20
3.12,2137,0,0,0,150,70,30
3.13,2283,0,0,0,150,70,80
3.14,2433,0,0,0,150,50,60
3.15,2587,1,200,6,150,30,80
3.16,2887,0,19,0,150,50,20
3.17,2960,0,19,0,150,80,50
3.18,3033,0,19,0,150,50,80
3.19,3107,0,0,0,150,20,50
3.20,3180,1,200,5,150,50,50
3.21,3477,0,24,0,150,50,80
3.22,3557,0,24,0,150,80,50
3.23,3640,0,24,0,150,50,20
3.24,3713,0,0,0,150,20,50
3.25,3790,1,200,5,150,50,50
3.26,4087,0,0,0,150,30,70
3.27,4160,0,0,0,150,50,50
3.28,4233,0,0,0,150,70,70
3.29,4380,0,0,0,150,70,30
3.30,4457,0,0,0,150,50,50
3.31,4530,0,0,0,150,30,30
3.32,4607,0,0,0,150,50,20
3.33,4683,1,200,6,150,50,70
3.34,5000,2,400,0,150,50,50
4.0,541,0,0,0,80,40,30
4.1,619,0,0,0,80,50,30
4.2,690,1,60,3,80,60,30
4.3,846,0,0,0,80,30,50
4.4,918,0,0,0,80,50,70
4.5,990,0,0,0,80,70,50
4.6,1141,2,80,0,80,40,40
4.7,1289,2,80,0,80,50,50
4.8,1437,0,10,0,80,60,60
4.9,1507,0,10,0,80,70,70
4.10,1583,0,0,0,80,80,80
4.11,1740,0,0,0,80,30,70
4.12,1813,0,0,0,80,70,70
4.13,1883,1,60,3,80,50,50
4.14,2043,0,0,0,80,30,30
4.15,2113,0,0,0,80,70,30
4.16,2187,2,80,0,80,50,50
4.17,2340,0,23,0,80,80,80
4.18,2410,0,23,0,80,80,60
4.19,2450,0,23,0,80,80,40
4.20,2490,0,23,0,80,80,20
4.21,2527,0,23,0,80,60,20
4.22,2567,0,23,0,80,40,20
4.23,2603,0,23,0,80,20,20
4.24,2643,1,200,8,80,50,50
4.25,2943,0,31,0,80,20,20
4.26,3017,0,31,0,80,20,40
4.27,3053,0,31,0,80,20,60
4.28,3090,0,31,0,80,20,80
4.29,3130,0,31,0,80,40,80
4.30,3163,0,31,0,80,60,80
4.31,3200,0,31,0,80,80,80
4.32,3237,1,200,8,80,50,50
4.33,3530,0,39,0,80,20,20
4.34,3610,0,39,0,80,30,30
4.35,3650,0,39,0,80,40,40
4.36,3687,0,39,0,80,50,50
4.37,3727,0,39,0,80,60,60
4.38,3767,0,39,0,80,70,70
4.39,3807,0,39,0,80,80,80
4.40,3847,2,80,0,80,80,50
4.41,4000,2,80,0,80,50,50
4.42,4150,0,0,0,80,30,70
4.43,4173,0,0,0,80,40,70
4.44,4193,0,0,0,80,50,70
4.45,4213,0,0,0,80,60,70
4.46,4247,0,0,0,80,70,80
4.47,4287,0,0,0,80,80,80
4.48,4363,0,0,0,80,50,50
4.49,4440,0,0,0,80,60,30
4.50,4513,0,0,0,80,50,30
4.51,4590,0,0,0,80,40,30
4.52,4663,0,0,0,80,30,30
4.53,4743,1,200,6,80,50,70
4.54,5067,1,300,15,80,50,50
5.0,241,0,0,0,150,50,50
5.1,613,0,4,0,150,20,80
5.2,801,0,4,0,150,40,80
5.3,894,0,4,0,150,60,80
5.4,988,0,4,0,150,80,80
5.5,1370,1,100,5,150,70,30
5.6,1746,1,100,5,150,30,70
5.7,2124,1,100,5,150,70,70
5.8,2506,1,100,5,150,30,30
5.9,2886,2,205,0,150,70,70
5.10,3262,2,204,0,150,30,70
5.11,3636,2,200,0,150,30,30
5.12,4210,1,200,10,150,50,50
5.13,4582,0,0,0,150,50,30
5.14,4686,0,0,0,150,70,50
5.15,4783,0,0,0,150,50,70
5.16,4822,0,0,0,150,30,50
5.17,4910,0,19,0,150,20,50
5.18,4961,0,19,0,150,30,30
5.19,4997,0,19,0,150,30,70
5.20,5158,0,22,0,150,80,50
5.21,5201,0,22,0,150,70,70
5.22,5292,0,22,0,150,70,30
5.23,5534,2,221,0,150,50,50
6.0,241,0,0,0,150,50,50
6.1,613,0,4,0,150,20,80
6.2,801,0,4,0,150,40,80
6.3,894,0,4,0,150,60,80
