#,Name,Icon,Category,Order,ClassJob,Unknown0
0,,0,0,0,0,False
1,Primary Arms,60102,0,0,0,False
2,Primary Tools,60113,0,0,0,False
3,Primary Tools,60120,0,0,0,False
4,Armor,60126,0,0,0,False
5,Accessories,60135,0,0,0,False
6,Medicines,60136,0,0,0,False
7,Materials,60137,0,0,0,False
8,Other,60159,0,0,0,False
9,Pugilist's Arms,60101,1,6,2,False
10,Gladiator's Arms,60102,1,0,1,False
11,Marauder's Arms,60103,1,1,3,False
12,Archer's Arms,60105,1,10,5,False
13,Lancer's Arms,60104,1,4,4,False
14,Thaumaturge's Arms,60108,1,13,7,False
15,Conjurer's Arms,60107,1,17,6,False
16,Arcanist's Arms,60109,1,14,26,False
17,Shields,60110,2,0,0,False
18,Dancer's Arms,60111,0,0,0,False
19,Carpenter's Tools,60112,1,21,8,False
20,Blacksmith's Tools,60113,1,22,9,False
21,Armorer's Tools,60114,1,23,10,False
22,Goldsmith's Tools,60115,1,24,11,False
23,Leatherworker's Tools,60116,1,25,12,False
24,Weaver's Tools,60117,1,26,13,False
25,Alchemist's Tools,60118,1,27,14,False
26,Culinarian's Tools,60119,1,28,15,False
27,Miner's Tools,60120,1,29,16,False
28,Botanist's Tools,60121,1,30,17,False
29,Fisher's Tools,60122,1,31,18,False
30,Fishing Tackle,60123,1,32,18,False
31,Head,60124,2,1,0,False
32,Undershirts,60125,0,0,0,False
33,Body,60126,2,2,0,False
34,Undergarments,60127,0,0,0,False
35,Legs,60128,2,4,0,False
36,Hands,60129,2,3,0,False
37,Feet,60130,2,5,0,False
38,Waist,60131,0,0,0,False
39,Necklaces,60132,2,7,0,False
40,Earrings,60133,2,6,0,False
41,Bracelets,60134,2,8,0,False
42,Rings,60135,2,9,0,False
43,Medicine,60136,3,0,0,False
44,Ingredients,60137,3,1,0,False
45,Meals,60146,3,2,0,False
46,Seafood,60138,3,3,0,False
47,Stone,60139,3,4,0,False
48,Metal,60140,3,5,0,False
49,Lumber,60141,3,6,0,False
50,Cloth,60142,3,7,0,False
51,Leather,60143,3,8,0,False
52,Bone,60144,3,9,0,False
53,Reagents,60145,3,10,0,False
54,Dyes,60147,3,11,0,False
55,Weapon Parts,60148,3,12,0,False
56,Furnishings,60164,4,3,0,False
57,Materia,60150,3,13,0,False
58,Crystals,60151,3,14,0,False
59,Catalysts,60152,3,15,0,False
60,Miscellany,60153,3,16,0,False
61,Soul Crystals,60157,0,0,0,False
62,Arrows,60153,0,0,0,False
63,Quest Items,60158,0,0,0,False
64,Other,60159,0,0,0,False
65,Exterior Fixtures,60160,4,0,0,False
66,Interior Fixtures,60161,4,1,0,False
67,Outdoor Furnishings,60168,4,2,0,False
68,Chairs and Beds,60165,4,4,0,False
69,Tables,60162,4,5,0,False
70,Tabletop,60163,4,6,0,False
71,Wall-mounted,60166,4,7,0,False
72,Rugs,60167,4,8,0,False
73,Rogue's Arms,60106,1,8,29,False
74,Seasonal Miscellany,60154,3,17,0,False
75,Minions,60155,3,19,0,True
76,Dark Knight's Arms,60170,1,2,32,False
77,Machinist's Arms,60172,1,11,31,False
78,Astrologian's Arms,60171,1,19,33,False
79,Airship/Submersible Components,60169,3,20,0,False
80,Orchestrion Components,60173,3,21,0,True
81,Gardening Items,60174,4,9,0,False
82,Paintings,60175,4,10,0,False
83,Samurai's Arms,60177,1,7,34,False
84,Red Mage's Arms,60176,1,15,35,False
85,Scholar's Arms,60178,1,18,28,False
86,Gunbreaker's Arms,60181,1,3,37,False
87,Dancer's Arms,60182,1,12,38,False
88,Reaper's Arms,60183,1,5,39,False
89,Sage's Arms,60184,1,20,40,False
90,Registrable Miscellany,60185,3,18,0,True
91,Viper's Arms,60187,1,9,41,False
92,Pictomancer's Arms,60188,1,16,42,False
93,,0,0,0,0,False
94,,0,0,0,0,False
95,,0,0,0,0,False
96,,0,0,0,0,False
97,,0,0,0,0,False
98,,0,0,0,0,False
99,,0,0,0,0,False
100,,0,0,0,0,False
