#,Name,Description,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52
0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Directive: Destroy Corrupted Crystals,"A mass of enormous corrupted crystals has been detected near the Scream Puff. Pilot a vacuum suit, destroy the crystals, and gather the remnants for processing and repurposing.",Destroy large corrupted crystals.,,,Destroy small corrupted crystals and submit the remnants to the field scanners.,,,"The mech op directive “Destroy Corrupted Crystals” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",4259842,4259843,4259844,4259845,4259846,368,11502159,10921203,11482845,10921201,11482848,11759496,6,7,8,0,7,8,1,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300,2,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Directive: Clear Toxic Lunar Spongoi,"A bed of toxic spongoi has sprouted near the Mush-room. Needless to say, the proliferation of these spongoi and their spores would greatly impede the exploration initiative. Pilot a warp loader and clear out the red spongoi.",Clear out the toxic spongoi.,,,"Clear away smaller spongoi using flamethrowers, and submit their ashes to nearby field scanners.",,,"The mech op directive “Clear Toxic Lunar Spongoi” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",4259862,4259863,4259864,4259865,4259866,378,11508987,11170532,11508985,11170531,11508986,11759498,9,10,11,0,7,8,5,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305,2,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
6,Directive: Mine Phainite,"The Saltpeter Shore is rich in phainite, a resource highly valued by the initiative. Pilot a vacuum suit, harness the necessary energy, and extract this volcanic glass from pits of quicksand.","Mine phainite from quicksand pits.
Ten units of ionic energy must be harnessed for extraction.",,,"Drill for shallow reserves of phainite, and submit samples to nearby field scanners.",,,"The mech op directive “Mine Phainite” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",4259924,4259925,4259926,4259927,4259928,404,11925434,11841658,11925435,11841657,11925436,11911477,12,13,14,0,7,8,6,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343,3,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
7,Directive: Shatter Glass Clusters,"Fluctuations in the Chillmark's ground temperature have enabled the proliferation of remarkably high-purity glass clusters─a vital asset for crafting lenses and machinery. Pilot the warp loader, shatter the clusters, and collect the larger fragments that remain.",Shatter glass clusters.,,,"Salvage glass fragments, and submit them to nearby field scanners.",,,"The mech op directive “Shatter Glass Clusters” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",4259929,4259930,4259931,4259932,4259933,405,11925453,11842477,11925454,11842314,11925455,11911495,15,16,17,0,7,8,7,11939524,354,11939478,11939479,11939480,11939484,11939485,344,345,346,347,348,3,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
8,Directive: Dissipate Distortions,"A large-scale fluctuation has manifested spherical distortions in the vicinity of the Long-lost Carrot. Left unchecked, the effects on the region could be disastrous. Pilot the repurposed warmachina provided by our Garlean associate, and dissipate these anomalies directly.","Dissipate the gravitational distortions.
Nova grenades are effective against the larger gravity spheres.",Dissipate the massive gravity sphere.,,Dissipate the subterranean gravity spheres.,Dissipate the massive gravity sphere.,,"The mech op directive “Dissipate Distortions” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",4259847,4259848,4259849,4259850,4259851,424,12171402,12115206,12171403,12115207,12171404,12216648,3,2,4,0,7,8,2,12201566,377,12201637,12201638,12201639,12201640,12201641,365,366,367,368,369,4,60493,60492,20172,20171,60809,63889,1420,1422,0,600,5
9,Directive: Collect Floatstone,"A gravitational anomaly at Cape Geras has caused the floatstones in the area to break free of the ground and hover in midair. These energized rocks are an invaluable resource for specialized study, and current conditions offer the opportunity to gather them in mass quantities.",Collect floatstones.,,,"Collect small floatstones, and submit them to nearby field scanners.",,,"The mech op directive “Collect Floatstone” has been issued.
Pilot candidates, please apply for deployment via your exotablets.","Mechs will be deployed shortly. Supporting personnel, please report to the directive's designated location.",4259852,4259853,4259854,4259855,4259856,423,12171427,12115218,12171428,12115219,12171429,12216801,18,19,0,20,7,8,3,12201585,380,12201642,12201646,12201647,12201648,12201649,370,371,372,373,374,4,60493,60492,20173,20171,60809,63889,1420,1422,0,600,5
