key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
#,,HyurMidlanderMaleScale,HyurMidlanderFemaleScale,HyurHighlanderMaleScale,HyurHighlanderFemaleScale,ElezenMaleScale,ElezenFemaleScale,LalaMaleScale,LalaFemaleScale,MiqoMaleScale,MiqoFemaleScale,RoeMaleScale,RoeFemaleScale,AuRaMaleScale,AuRaFemaleScale,HrothgarMaleScale,HrothgarFemaleScale,VieraMaleScale,VieraFemaleScale,HyurMidlanderMaleCameraHeight,HyurMidlanderFemaleCameraHeight,HyurHighlanderMaleCameraHeight,HyurHighlanderFemaleCameraHeight,ElezenMaleCameraHeight,ElezenFemaleCameraHeight,LalaMaleCameraHeight,LalaFemaleCameraHeight,MiqoMaleCameraHeight,MiqoFemaleCameraHeight,RoeMaleCameraHeight,RoeFemaleCameraHeight,AuRaMaleCameraHeight,AuRaFemaleCameraHeight,HrothgarMaleCameraHeight,VieraMaleCameraHeight,VieraFemaleCameraHeight,,,,,,,
int32,bit&01,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,False,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,False,100,90,100,90,105,100,60,60,90,85,110,110,110,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,False,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,False,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,False,60,50,60,50,63,56,25,25,54,47,66,62,64,46,61,56,60,60,100,100,100,80,80,100,100,80,80,100,100,80,80,80,80,80,80,100,100,80,100,100,100,100
9,False,80,72,80,72,84,80,50,50,72,68,88,88,86,66,81,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,False,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,False,145,130,145,130,150,145,87,87,130,123,160,160,156,119,148,145,145,155,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,False,100,90,100,90,105,100,60,60,90,85,110,110,110,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,False,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,False,50,45,50,45,52,50,30,30,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16,False,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,False,50,45,50,45,52,50,30,30,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,False,100,90,100,90,210,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,False,70,63,70,68,74,70,38,38,63,60,75,75,75,57,69,70,70,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,False,103,92,113,98,118,104,55,55,98,86,146,114,125,83,132,104,103,102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,False,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,False,100,90,100,90,125,98,60,60,90,85,130,105,120,82,120,98,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,False,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
25,False,80,80,80,80,80,80,80,80,80,80,85,85,80,80,78,80,80,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
26,False,60,55,60,55,67,65,40,40,57,50,75,68,70,50,69,65,60,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
27,False,75,75,75,75,75,75,65,65,75,75,83,80,75,75,77,75,75,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
29,False,80,78,80,78,85,80,50,50,75,70,100,90,98,68,92,80,80,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30,False,100,90,100,90,100,98,55,55,90,85,110,100,100,82,102,98,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,False,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
32,False,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
33,False,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
34,False,100,90,100,90,110,105,60,60,90,85,120,110,115,82,111,105,100,107,100,100,100,80,80,100,100,80,80,100,100,80,80,100,80,80,80,100,100,80,100,100,100,100
35,False,25,22,25,22,26,25,15,15,22,21,28,28,27,20,25,25,25,26,100,100,100,80,80,100,100,80,80,100,100,90,90,100,90,80,90,100,100,80,100,100,100,100
36,False,100,95,100,95,113,110,60,60,97,90,120,120,120,87,111,110,100,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
37,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
38,False,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
39,False,110,105,117,105,124,121,66,66,107,99,132,132,132,96,122,121,110,124,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,False,50,45,50,45,52,50,30,30,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
41,False,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
42,False,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
43,False,105,90,105,90,125,105,53,53,100,80,135,110,125,80,125,105,105,102,100,100,100,100,100,100,100,100,100,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100
44,False,100,90,100,90,104,100,60,60,90,84,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
45,False,70,63,70,63,74,70,42,42,63,60,77,77,76,57,71,70,70,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
46,False,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
47,False,35,32,35,32,37,35,21,21,32,30,39,39,38,29,36,35,35,37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
48,False,75,68,75,68,79,75,45,45,68,64,83,83,81,62,76,75,75,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
49,False,40,36,40,36,42,40,24,24,36,34,44,44,44,33,41,40,40,43,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
50,False,100,90,100,90,115,110,60,60,90,85,130,110,117,90,120,110,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
51,False,250,225,250,225,263,250,190,190,225,212,350,300,270,205,326,250,250,268,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
52,False,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
53,False,80,72,80,72,84,80,50,50,72,68,88,88,86,66,81,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
54,False,160,144,160,144,168,160,96,96,144,136,176,176,173,131,162,160,160,171,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
55,False,110,99,110,99,123,110,73,73,99,94,134,121,127,90,124,110,110,112,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
56,False,80,72,80,72,84,80,48,48,72,68,88,88,86,66,81,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
57,False,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
58,False,100,90,100,90,105,100,60,60,90,85,125,110,108,82,115,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
59,True,105,85,105,85,119,100,60,60,95,80,140,105,115,77,129,100,105,101,100,100,100,100,100,100,100,100,100,125,125,100,100,100,100,100,100,100,100,100,100,100,100,100
60,False,80,80,80,80,80,80,80,80,80,80,85,80,80,80,80,80,80,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
61,False,120,108,120,108,126,120,72,72,108,102,150,132,130,98,138,120,120,129,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
62,False,50,45,50,45,52,50,36,36,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
63,False,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
64,False,95,86,95,86,105,95,62,62,85,80,116,104,110,77,107,95,95,102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
