0,"You do understand this is dummy text, right?","Of course","Er..."
1,"Collect the magitek photocell?","Yes","No"
2,"Leave \x02(\x15\xff\x10InstanceContent\xe9J\x13\x03?","Yes","No"
3,"Leave \x02(\x15\xff\x10InstanceContent\xe9J\x13\x03?","Yes","No"
4,"Destroy the cultist rosary?","Yes","No"
5,"Affix the magitek photocells to the terminal?","Yes","No"
6,"Leave \x02(\x15\xff\x10InstanceContent\xe9J\x13\x03?","Yes","No"
7,"Leave \x02(\x15\xff\x10InstanceContent\xe9J\x13\x03 with your party?\x02\x10\x01\x03\xe2\x80\xbbDo not forget to collect your reward if applicable.\x02\x10\x01\x03\xe2\x80\xbbRefer to the Timers tab for information on how long you must wait to return to this area.","Yes","No"
8,"Leave duty?","Yes","No"
9,"Open the sealed door with a tiny key?","Yes","No"
10,"Activate the crane?","Yes","No"
11,"Proceed with the detonation?","Yes","No"
12,"You find a switch. Press it?","Yes","No"
13,"Pick up the key?","Yes","No"
14,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5A\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
15,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5B\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
16,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5C\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
17,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5D\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
18,"Use a tiny key to unlock the door?","Yes","No"
19,"Unlock the Ivy Door?","Yes","No"
20,"Unlock the Carnation Door?","Yes","No"
21,"Unlock the Lily Door?","Yes","No"
22,"Unlock the Rose Door?","Yes","No"
23,"Extinguish the flame?","Yes","No"
24,"Destroy the crystal ball?","Yes","No"
25,"Extinguish the void lamp?","Yes","No"
26,"Pull the lever and open the gate?","Yes","No"
27,"(\xe4\xbb\xae)\xe6\x80\xaa\xe6\xa8\xb9\xe3\x81\xae\xe6\xa0\xb9\xe3\x81\xab\xe8\xa7\xa6\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
28,"(\xe4\xbb\xae)\xe6\x80\xaa\xe6\xa8\xb9\xe3\x81\xae\xe5\xae\x9f\xe3\x81\xab\xe8\xa7\xa6\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
29,"Use the cultist rosary?","Yes","No"
30,"Use the magitek transporter?","Yes","No"
31,"Read from the bloody parchment?","Yes","No"
32,"Pull the lift lever?","Yes","No"
33,"Pull the lift lever?","Yes","No"
34,"Activate the blasting device?","Yes","No"
35,"Add 12 onzes of firesand to the powder chamber?","Yes","No"
36,"Utilize the shortcut?","Yes","No"
37,"Unlock the Runstop Headgate?","Yes","No"
38,"Use \x021\x11\xff\nEventItem\x03\xe8\x02\x02\x02\x03?","Yes","No"
39,"You find a switch. Press it?","Yes","No"
40,"Enter the aetherial flow?","Yes","No"
41,"Enter the aetherial flow?","Yes","No"
42,"Trigger the trap?","Yes","No"
43,"Pull the lever and open the gate?","Yes","No"
44,"Unlock the door to the captain's quarters?","Yes","No"
45,"Unlock Waverider Gate?","Yes","No"
46,"Unlock the door to the Hole?","Yes","No"
47,"Tip the Scales of Judgment?","Yes","No"
48,"Jump into the quicksand?","Yes","No"
49,"Use the imperial identification key to deactivate the lock?","Yes","No"
50,"Jump into the disposal chute?","Yes","No"
51,"Proceed to the next area?","Yes","No"
52,"Use the imperial identification key?","Yes","No"
53,"Use the incendiary #37?","Yes","No"
54,"Activate the Echelon?\x02\x10\x01\x03\xe2\x80\xbbAll party members will join you.","Yes","No"
55,"Open the Porta Decumana entryway?\x02\x10\x01\x03\xe2\x80\xbbAll party members will join you.","Yes","No"
56,"Summon the lift?","Yes","No"
57,"Activate the lift?","Yes","No"
58,"Strap into the magitek armor?","Yes","No"
59,"Use the lantern oil?","Yes","No"
60,"Use the teleporter?","Yes","No"
61,"Proceed to the next area?","Yes","No"
62,"Enter the Sneakway?","Yes","No"
63,"Unlock the Swiftmake Checkgate?","Yes","No"
64,"Entrust yourself to the crystal ball's light?","Yes","No"
65,"Entrust yourself to the crystal ball's light?","Yes","No"
66,"Unlock the Lily Door?","Yes","No"
67,"Unlock the Rose Door?","Yes","No"
68,"Open the sealed door with a tiny key?","Yes","No"
69,"Proceed to the second stage?","Yes","No"
70,"Proceed to the third stage?","Yes","No"
71,"Place the stone tablet into the depression?","Yes","No"
72,"Unlock the gate to the main storage vault?","Yes","No"
73,"Pull the drainage pump lever?","Yes","No"
74,"Place the sun sphere into the depression in the door?","Yes","No"
75,"Operate the valve?","Yes","No"
76,"Open the door?","Yes","No"
77,"Place the moon sphere into the depression in the door?","Yes","No"
78,"Place the sun sphere into the depression in the pedestal?","Yes","No"
79,"Place the moon sphere into the depression in the pedestal?","Yes","No"
80,"Place the star sphere into the depression in the pedestal?","Yes","No"
81,"Open the door to Silence?","Yes","No"
82,"Open the door to Oblivion?","Yes","No"
83,"Proceed to the next area?","Yes","No"
84,"Leave the chapel?","Yes","No"
85,,,
86,"Use the imperial identification key to deactivate the barrier?","Yes","No"
87,"Leave duty?","Yes","No"
88,"(\xe4\xbb\xae)\xe6\x9c\xac\xe6\xa3\x9a\xe3\x81\xab\xe9\xad\x94\xe9\x81\x93\xe6\x9b\xb8\xe3\x82\x92\xe6\x8c\xbf\xe3\x81\x97\xe8\xbe\xbc\xe3\x81\xbf\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
89,"Place a thunder egg on the altar?","Yes","No"
90,"Use the steel lever to repair the gate winch?","Yes","No"
91,"Unlock the barracks door?","Yes","No"
92,"Unlock the door to the lord commander's seat?","Yes","No"
93,"Activate the terminal?","Yes","No"
