0,,,405,0,0,False
1,"Away","Order pet to leave the battlefield.",530,0,0,False
2,"Heel","Order pet to follow behind you.",529,0,0,False
3,"Place","Order pet to move to a specified location.",527,0,0,False
4,"Stay","Order pet to remain where it is.",528,0,0,False
5,"Guard","Order pet to refrain from attacking until you attack or are attacked.",531,0,0,False
6,"Steady","Order pet to refrain from attacking until ordered to do so.",532,0,0,False
7,"Sic","Order pet to attack.",525,0,0,False
8,"Obey","Order pet to attack, but refrain from using certain actions until ordered to do so.",526,0,0,False
9,"Gust","Deals wind damage with a potency of 90.",561,637,1,False
10,"Backdraft","Deals wind damage with a potency of 80.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 15-yalm knockback\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",563,638,1,True
11,"Downburst","Deals wind damage with a potency of 80 to target and all enemies nearby it.\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",562,639,1,True
12,"Shining Emerald","Extends duration of damage over time effects already cast by master by 15s.\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",564,640,1,True
13,"Gouge","Deals earth damage with a potency of 70.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Increased enmity",551,633,2,False
14,"Shining Topaz","Deals earth damage with a potency of 70 to all nearby enemies.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Increased enmity\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",552,634,2,True
15,"Curl","Decreases damage suffered by pet by 20%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 20s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",553,635,2,True
16,"Storm","Deals earth damage with a potency of 60.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Stun  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 2s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",554,636,2,True
17,"Wind Blade","Deals wind damage with a potency of 100.",2711,792,5,False
18,"Shockwave","Deals wind damage with a potency of 90.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 15-yalm knockback\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2713,793,5,True
19,"Aerial Slash","Deals wind damage with a potency of 90 to target and all enemies nearby it.\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2712,794,5,True
20,"Contagion","Extends duration of damage over time effects already cast by master by 15s.\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2714,795,5,True
21,"Aerial Blast","Deals wind damage with a potency of 250 to target and all enemies nearby it.\x02\x10\x01\x03Executed when master uses \x02\x13\x06\xfe\xff\xff{\x1a\x03Enkindle\x02\x13\x02\xec\x03.",2715,796,5,True
22,"Rock Buster","Deals earth damage with a potency of 85.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Increased enmity",2701,787,4,False
23,"Mountain Buster","Deals earth damage with a potency of 70 to all nearby enemies.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Increased enmity\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2702,788,4,True
24,"Earthen Ward","Decreases damage suffered by pet by 20%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 20s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2703,789,4,True
25,"Landslide","Deals earth damage with a potency of 70.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Stun  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 2s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2704,790,4,True
26,"Earthen Fury","Deals earth damage with a potency of 200 to all nearby targets.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Razed Earth  \x02\x13\x05\xfa\xff\xccx03Potency:\x02\x13\x02\xec\x03 20 \x02\x13\x05\xfa\xff\xccx03\x02\x10\x01\x03Duration:\x02\x13\x02\xec\x03 15s\x02\x10\x01\x03Executed when master uses \x02\x13\x06\xfe\xff\xff{\x1a\x03Enkindle\x02\x13\x02\xec\x03",2705,791,4,True
27,"Crimson Cyclone","Deals fire damage with a potency of 110.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Stun  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 2s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2721,797,3,True
28,"Burning Strike","Deals fire damage with a potency of 120.",2722,798,3,False
29,"Radiant Shield","Delivers an attack with a potency of 50 every time physical damage is suffered.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 20s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2723,799,3,True
30,"Flaming Crush","Deals fire damage with a potency of 110 to all nearby enemies.\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2724,800,3,True
31,"Inferno","Deals fire damage with a potency of 200 to all enemies in a cone before it.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Fire damage over time  \x02\x13\x05\xfa\xff\xccx03Potency:\x02\x13\x02\xec\x03 20\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 15s\x02\x10\x01\x03Executed when master uses \x02\x13\x06\xfe\xff\xff{\x1a\x03Enkindle\x02\x13\x02\xec\x03.",2725,801,3,True
32,"Embrace","Restore target\'s HP.  \x02\x13\x05\xfa\xff\xccx03Cure Potency:\x02\x13\x02\xec\x03 300",2826,802,6,False
33,"Whispering Dawn","Gradually restores own HP and the HP of all nearby party members.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Cure Potency:\x02\x13\x02\xec\x03 100  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 21s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2827,803,6,False
34,"Fey Covenant","Increases magic defense of self and nearby party members by 20%.  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 20s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2828,804,6,True
35,"Fey Illumination","Increases spell-based HP restoration of self and nearby party members by 20%.  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 20s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2829,805,6,True
36,"Embrace","Restore target\'s HP.  \x02\x13\x05\xfa\xff\xccx03Cure Potency:\x02\x13\x02\xec\x03 300",2836,806,7,False
37,"Silent Dusk","Silences target.  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 1s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2837,807,7,True
38,"Fey Caress","Removes a single detrimental effect from all nearby party members.\x02\x10\x01\x03Some effects cannot be removed.\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2811,810,7,True
39,"Fey Wind","Increases attack speed of self and nearby party members by 3%.  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 30s\x02\x10\x01\x03When \x02\x13\x06\xfe\xff\xff{\x1a\x03Obey\x02\x13\x02\xec\x03 is active, will only execute upon command.",2812,811,7,True
40,"Offensive Mode","Command autoturret to focus on offensive maneuvers.",405,0,8,False
41,"Defensive Mode","Command autoturret to focus on supportive maneuvers.",405,0,8,False
