0,"Kommandomen\xc3\xbc 1","Komm1","komm1"
1,"Kommandomen\xc3\xbc 2","Komm2","komm2"
2,"Kommandomen\xc3\xbc 3","Komm3","komm3"
3,"Kommandomen\xc3\xbc 4","Komm4","komm4"
4,"Kommandomen\xc3\xbc 5","Komm5","komm5"
5,"Kommandomen\xc3\xbc 6","Komm6","komm6"
6,"Kommandomen\xc3\xbc 7","Komm7","komm7"
7,"Kommandomen\xc3\xbc 8","Komm8","komm8"
8,"Kommandomen\xc3\xbc 9","Komm9","komm9"
9,"Kommandomen\xc3\xbc 10","Komm10","komm10"
10,"Helfer-Kommandomen\xc3\xbc","familiar","famil"
11,"Kreuz-Kommandomen\xc3\xbc","kreuzmen\xc3\xbc","kreuz"
12,"Fortschrittsbalken","fort","balk"
13,"Details zum Ziel","Ziel","ziel"
14,"Details zum Fokusziel","Fokus","fokus"
15,"Gruppenliste","gruppe","gr"
16,"Gegnerliste","gegner","geg"
17,"Charakterparameter","Char","char"
18,"Anfragen","anfragen","frag"
19,"Minikarte","karte","mini"
20,"Hauptmen\xc3\xbc","Haupt","haupt"
21,"Server-Info","Server","server"
22,"Gil","Gil","gil"
23,"Inventarschema","inventar","inv"
24,"Aufgabenliste","aufgaben","aufg"
25,"Details zum Gegenstand","gegenstand","gegen"
26,"Details zum Kommando","kommando","komm"
27,"Limitrausch-Balken","limitrausch","limit"
28,"Routinebalken","routine","rou"
29,"Status-Effekte","Status","buff"
30,"Allianzliste 1","Allianz 1","all1"
31,"Allianzliste 2","Allianz 2","all2"
32,"\xe7\x9b\xae\xe7\x9a\x84\xe3\x83\xaa\xe3\x82\xb9\xe3\x83\x88","DutyList","dlist"
33,"\xe3\x82\xb3\xe3\x83\xb3\xe3\x83\x86\xe3\x83\xb3\xe3\x83\x84\xe6\x83\x85\xe5\xa0\xb1","ContentsInfo","cinfo"
34,"Kombo-Men\xc3\xbc","Kombo","kombo"
35,"Sekund\xc3\xa4rziel-Liste","sekund\xc3\xa4r","sek"
36,"<nil>",,
37,"Tutorialtexte","tutor","tut"
38,,,
39,,,
40,,,
