0,"harnachement en cuir","harnachements en cuir","Harnachement en cuir",0,0,0,1,0,0,0,0,0,0,0,0,0
1,"harnachement du Maelstrom","harnachements du Maelstrom","Harnachement du Maelstrom",0,0,0,1,0,0,65538,65541,65538,49049,49053,49051,1
2,"demi-barde du Maelstrom","demi-bardes du Maelstrom","Demi-barde du Maelstrom",0,0,0,1,1,0,65542,65542,65542,49001,49002,49003,1
3,"barde du Maelstrom","bardes du Maelstrom","Barde du Maelstrom",0,0,0,1,1,0,131078,131078,131078,49004,49005,49006,1
4,"barde lourde du Maelstrom","bardes lourde du Maelstrom","Barde lourde du Maelstrom",0,0,0,1,1,0,196614,196614,196614,49007,49008,49009,1
5,"harnachement de l'Ordre des deux vip\xc3\xa8res","harnachements de l'Ordre des deux vip\xc3\xa8res","Harnachement de l'Ordre des deux vip\xc3\xa8res",0,0,0,1,0,0,65538,131077,65538,49049,49056,49051,2
6,"demi-barde de l'Ordre des deux vip\xc3\xa8res","demi-bardes de l'Ordre des deux vip\xc3\xa8res","Demi-barde de l'Ordre des deux vip\xc3\xa8res",0,0,0,1,1,0,65543,65543,65543,49010,49011,49012,2
7,"barde de l'Ordre des deux vip\xc3\xa8res","bardes de l'Ordre des deux vip\xc3\xa8res","Barde de l'Ordre des deux vip\xc3\xa8res",0,0,0,1,1,0,131079,131079,131079,49013,49014,49015,2
8,"barde lourde de l'Ordre des deux vip\xc3\xa8res","bardes lourde de l'Ordre des deux vip\xc3\xa8res","Barde lourde de l'Ordre des deux vip\xc3\xa8res",0,0,0,1,1,0,196615,196615,196615,49016,49017,49018,2
9,"harnachement des Immortels","harnachements des Immortels","Harnachement des Immortels",0,0,0,1,0,0,65538,196613,65538,49049,49059,49051,3
10,"demi-barde des Immortels","demi-bardes des Immortels","Demi-barde des Immortels",0,0,0,1,1,0,65544,65544,65544,49019,49020,49021,3
11,"barde des Immortels","bardes des Immortels","Barde des Immortels",0,0,0,1,1,0,131080,131080,131080,49022,49023,49024,3
12,"barde lourde des Immortels","bardes lourde des Immortels","Barde lourde des Immortels",0,0,0,1,1,0,196616,196616,196616,49025,49026,49027,3
13,"barde de paladin","bardes de paladin","Barde de paladin",0,0,0,1,1,0,65546,65546,65546,49028,49029,49030,0
14,"barde de chevalier dragon","bardes de chevalier dragon","Barde de chevalier dragon",0,0,0,1,1,0,65547,65547,65547,49031,49032,49033,0
15,"barde de mage blanc","bardes de mage blanc","Barde de mage blanc",0,0,0,1,1,0,65549,65549,65549,49034,49035,49036,0
16,"barde de Sleipnir","bardes de Sleipnir","Barde de Sleipnir",0,0,0,1,1,0,65550,65550,65550,49037,49038,49039,0
17,"barde de b\xc3\xa9h\xc3\xa9moth","bardes de b\xc3\xa9h\xc3\xa9moth","Barde de b\xc3\xa9h\xc3\xa9moth",0,0,0,1,1,0,65551,65551,65551,49040,49041,49042,0
18,"chanfrein d'aviateur","chanfreins d'aviateur","Chanfrein d'aviateur",0,0,0,1,0,0,65555,0,0,49043,0,0,0
19,"barde de mage noir","bardes de mage noir","Barde de mage noir",0,0,0,1,1,0,65548,65548,65548,49046,49047,49048,0
20,"chanfrein du roi chocobo","chanfreins du roi chocobo","Chanfrein du roi chocobo",0,0,0,1,0,0,65553,0,0,49061,0,0,0
21,"barde de la f\xc3\xaate des \xc3\xa9toiles","bardes de la f\xc3\xaate des \xc3\xa9toiles","Barde de la f\xc3\xaate des \xc3\xa9toiles",0,0,0,1,1,0,65540,65540,65540,49064,49065,49066,0
22,"barde de L\xc3\xa9viathan","bardes de L\xc3\xa9viathan","Barde de L\xc3\xa9viathan",0,0,0,1,1,0,65556,65556,65556,49067,49068,49069,0
23,"barde de la Lumi\xc3\xa8re","bardes de la Lumi\xc3\xa8re","Barde de la Lumi\xc3\xa8re",0,0,0,1,1,0,65557,65557,65557,49070,49071,49072,0
24,"chanfrein ovo\xc3\xafde","chanfreins ovo\xc3\xafde","Chanfrein ovo\xc3\xafde",0,0,0,1,0,0,65558,0,0,49073,0,0,0
25,"barde de Ramuh","bardes de Ramuh","Barde de Ramuh",0,0,0,1,1,0,65560,65560,65560,49076,49077,49078,0
26,"chanfrein \xc3\xa0 panache","chanfreins \xc3\xa0 panache","Chanfrein \xc3\xa0 panache",0,0,0,1,0,0,65559,0,0,49079,0,0,0
27,"barde d'effroi","bardes d'effroi","Barde d'effroi",0,0,0,1,1,0,65561,65561,65561,49082,49083,49084,0
28,"barde de Shiva","bardes de Shiva","Barde de Shiva",0,0,0,1,1,0,65562,65562,65562,49085,49086,49087,0
29,"barde de flambeur","bardes de flambeur","Barde de flambeur",0,0,0,1,1,0,65565,65565,65565,49091,49092,49093,0
30,"barde de soupirant","bardes de soupirant","Barde de soupirant",0,0,0,1,1,0,65566,65566,65566,49088,49089,49090,0
31,"demi-barde ishgardaise","demi-bardes ishgardaises","Demi-barde ishgardaise",0,0,0,1,1,0,65567,65567,65567,49094,49095,49096,0
32,"barde ishgardaise","bardes ishgardaises","Barde ishgardaise",0,0,0,1,1,0,131103,131103,131103,49097,49098,49099,0
33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"barde de Bismarck","bardes de Bismarck","Barde de Bismarck",0,0,0,1,1,0,65568,65568,65568,49103,49104,49105,0
35,"barde de Ravana","bardes de Ravana","Barde de Ravana",0,0,0,1,1,0,65569,65569,65569,49106,49107,49108,0
36,"barde noble","bardes nobles","Barde noble",0,0,0,1,1,0,65570,65570,65570,49109,49110,49111,0
37,"barde orthodoxe","bardes orthodoxes","Barde orthodoxe",0,0,0,1,1,0,131106,131106,131106,49112,49113,49114,0
38,"barde des Hautes terres","bardes des Hautes terres","Barde des Hautes terres",0,0,0,1,1,0,65571,65571,65571,49115,49116,49117,0
39,"barde de la rose sauvage","bardes de la rose sauvage","Barde de la rose sauvage",0,0,0,1,1,0,65573,65573,65573,49118,49119,49120,0
