0,"Pas d'objet","Touchez un coffre pour obtenir un objet\x02\x1d\x01\x03!",70101
1,"Choco-potion","Restaure 10% de l'\xc3\xa9nergie.",70102
2,"Potion de fr\xc3\xa9n\xc3\xa9sie","Emp\xc3\xaache l'\xc3\xa9nergie de baisser pendant 10 secondes.",70104
3,"Sandales de course","Votre chocobo sprinte \xc3\xa0 vitesse maximale.",70105
4,"Choco-\xc3\xa9ther","Permet de r\xc3\xa9utiliser une aptitude d\xc3\xa9j\xc3\xa0 utilis\xc3\xa9e.",70108
5,"Eau de Bacchus","Inflige F\xc3\xa9brilit\xc3\xa9 au chocobo situ\xc3\xa9 devant le v\xc3\xb4tre dans le classement.",70107
6,"Graviballe","Inflige Pesanteur au chocobo situ\xc3\xa9 devant le v\xc3\xb4tre dans le classement.",70109
7,"Couronne de ronces","Cr\xc3\xa9e un champ de force autour du chocobo. Tout adversaire qui y p\xc3\xa9n\xc3\xa8tre perd de l'\xc3\xa9nergie.",70103
8,"Nectar d'h\xc3\xa9ro\xc3\xafsme","Certaines caract\xc3\xa9ristiques de votre chocobo sont renforc\xc3\xa9es pendant 15 secondes, et toutes les alt\xc3\xa9rations d'\xc3\xa9tat deviennent ineffectives.",70106
9,"Choco-m\xc3\xa9t\xc3\xa9ores","Une pluie de m\xc3\xa9t\xc3\xa9ores s'abat sur tous les chocobos situ\xc3\xa9s devant le v\xc3\xb4tre dans le classement.",70110
10,,,0
