0,,0,0,False
1,"Produzent",61531,0,False
2,"Game Master",61524,0,False
3,"Game Master",61532,0,False
4,"Game Master",61533,0,False
5,"Nicht verbunden",61503,0,False
6,"Anfrage gesendet (Freundesliste)",61501,1,True
7,"Anfrage gesendet (Kontaktkreis)",61501,2,True
8,"Anfrage gesendet (Freie Gesellschaft)",61501,3,True
9,"Nicht gefunden",61502,4,True
10,"Offline",61504,5,True
11,"Besch\xc3\xa4ftigt",61509,6,True
12,"PvP",61510,7,True
13,"Spielt Triple Triad",61539,8,True
14,"Sieht Videosequenz",61508,9,True
15,"Auf Linien-Chocobo",61534,11,True
16,"Abwesend",61511,12,True
17,"Sucht Reparateur",61512,13,True
18,"\xc3\x9cbernimmt Reparatur",61513,14,True
19,"\xc3\x9cbernimmt Materia-Einsetzen",61514,15,True
20,"Sucht Gruppe",61515,16,True
21,"Sucht S\xc3\xb6ldner",61516,17,True
22,"In Inhaltssuche",61517,18,True
23,"In Gruppensuche",61536,19,True
24,"Neuling",61523,26,True
25,"Allianzanf\xc3\xbchrer",61518,20,True
26,"Allianz-Gruppenanf\xc3\xbchrer",61519,21,True
27,"Allianz-Gruppenmitglied",61520,22,True
28,"Gruppenanf\xc3\xbchrer",61521,23,True
29,"In Gruppe",61522,24,True
30,"In anderer Welt",61535,25,True
31,"Im selben Inhalt",61506,0,False
32,"In \xc3\xa4hnlichem Inhalt",61507,0,False
33,"Im Kampf",61510,10,True
34,"Probezeit",61525,28,True
35,"Freie Gesellschaft",0,0,False
36,"Staatliche Gesellschaft",0,0,False
37,"Online",61505,27,True
