0,,,0,0,0,0,0,0,0,0,0,0
1,"Feeling Lucky","Complete 3 dungeons via the Duty Roulette.",3,15,1000,84300,0,57,1,1,5,3
2,"Dungeon Master","Complete 5 dungeons.",5,10,2000,56200,0,57,1,2,5,3
3,"You're the Hest Around I","Complete 3 guildhests.",3,5,1000,28100,0,71,2,1,5,3
4,"You're the Hest Around II","Complete 10 guildhests.",10,10,2000,56200,0,71,2,2,5,3
5,,,0,0,0,0,0,0,0,0,0,0
6,,,0,0,0,0,0,0,0,0,0,0
7,"A Wolf in Your Belly","Participate in 10 matches at the Wolves' Den.",10,0,10,0,0,130,3,1,0,4
8,"Thrown to the Wolves","Triumph in 3 matches at the Wolves' Den.",3,0,15,0,0,130,3,2,0,4
9,"Fated to Wander","Receive the highest rating possible in FATEs in 5 different regions.",5,15,1000,84300,0,0,4,1,5,3
10,"Embrace Your Fate","Successfully complete 10 unique FATEs.",10,15,2000,84300,0,0,4,2,5,3
11,"Just Leve It to Me","Complete 5 levequests with different leve plates.",5,15,1000,84300,0,0,5,1,5,3
12,"Making Like a Tree","Complete 20 levequests.",20,15,2000,84300,0,0,5,2,5,3
13,"Give 'Em What They Want","Complete 10 supply and provisioning missions.",10,0,1000,0,0,89,6,1,0,6
14,"Give 'Em What They Want (HQ)","Submit 5 HQ items in supply and provisioning missions.",5,0,1000,0,0,89,6,2,0,6
15,"X Marks the Spot","Gather 3 timeworn maps.",3,0,1000,0,0,149,7,1,0,3
16,"Find Your Treasure and Have It Too","Open 5 treasure coffers and obtain their contents while treasure hunting.",5,0,2000,0,0,149,7,2,0,3
17,"Bosom Buddies I","Defeat 20 enemies of comparable level to your own with your companion.",20,5,1000,0,0,96,8,1,7,3
18,"Bosom Buddies II","Defeat 100 enemies of comparable level to your own with your companion.",100,10,2000,0,0,96,8,2,7,3
19,"Beast of a Time I","Complete 5 beast tribe daily quests.",5,0,1000,0,0,152,9,1,0,3
20,"Beast of a Time II","Complete 15 beast tribe daily quests.",15,0,2000,0,0,152,9,2,0,3
21,"Up for a Challenge I","Complete 5 unique challenges.",5,0,4000,0,0,0,10,1,0,3
22,"Up for a Challenge II","Complete 10 unique challenges.",10,0,4000,0,0,0,10,2,0,3
23,"Up for a Challenge III","Complete 15 unique challenges.",15,0,5000,0,20,0,10,3,0,3
24,"Up for a Challenge IV","Complete 20 unique challenges.",20,0,5000,0,30,0,10,4,0,3
25,"Exercising the Right","Vote 5 times in player commendation.",5,10,1000,56200,0,160,11,1,5,3
26,"The Gathering Storm","Successfully gather items of comparable level to your own 100 times.",100,5,1000,0,0,0,12,1,5,3
27,"The Gathering Storm (HQ)","Successfully gather high-quality items of comparable level to your own 30 times.",30,5,2000,0,0,0,12,2,5,3
28,"Hooked on the Reeling","Catch 30 fish.",30,5,1000,0,0,0,12,3,5,3
29,"Hooked on the Reeling (HQ)","Catch 10 high-quality fish.",10,5,2000,0,0,0,12,4,5,3
30,"Crafting Up a Storm","Craft 30 items.",30,10,1000,0,0,0,13,1,5,3
31,"Crafting Up a Storm (HQ)","Craft 20 high-quality items.",20,10,2000,0,0,0,13,2,5,3
32,"Meld Your Heart","Successfully affix 5 materia.",5,10,2000,0,0,98,13,3,5,3
33,"Venture Capital","Have a retainer complete 10 ventures.",10,0,1000,0,0,168,14,1,0,3
34,"Venture Bothers","Have a retainer complete 15 exploration ventures.",15,0,4000,0,0,169,14,2,0,3
35,"Line Up","Participate in 7 Frontline campaigns.",7,0,10,0,0,176,3,3,0,4
36,"In the Line of Fire","Lead your company to victory in 3 Frontline campaigns.",3,0,15,0,0,176,3,4,0,4
