0,,,,,0,0,0,0,0,0
1,"Serpent Private Third Class","Serpent Privates Third Class","private",,0,0,0,0,0,0
2,"Serpent Private Second Class","Serpent Privates Second Class","private",,0,0,0,0,0,0
3,"Serpent Private First Class","Serpent Privates First Class","private",,0,0,0,0,0,0
4,"Serpent Corporal","Serpent Corporals","corporal",,0,0,0,0,0,0
5,"Serpent Sergeant Third Class","Serpent Sergeants Third Class","sergeant",,0,0,0,0,0,0
6,"Serpent Sergeant Second Class","Serpent Sergeants Second Class","sergeant",,0,0,0,0,0,0
7,"Serpent Sergeant First Class","Serpent Sergeants First Class","sergeant",,0,0,0,0,0,0
8,"Chief Serpent Sergeant","Chief Serpent Sergeants","sergeant",,0,0,0,0,0,0
9,"Second Serpent Lieutenant","Second Serpent Lieutenants","lieutenant",,0,0,0,0,0,0
10,"First Serpent Lieutenant","First Serpent Lieutenants","lieutenant",,0,0,0,0,0,0
11,"Serpent Captain","Serpent Captains","captain",,0,0,0,0,0,0
12,"Second Serpent Commander","Second Serpent Commanders","commander",,0,0,0,0,0,0
13,"First Serpent Commander","First Serpent Commanders","commander",,0,0,0,0,0,0
14,"High Serpent Commander","High Serpent Commanders","commander",,0,0,0,0,0,0
15,"Rear Serpent Marshal","Rear Serpent Marshals","rear marshal",,0,0,0,0,0,0
16,"Vice Serpent Marshal","Vice Serpent Marshals","vice marshal",,0,0,0,0,0,0
17,"Serpent Marshal","Serpent Marshals","marshal",,0,0,0,0,0,0
18,"Grand Serpent Marshal","Grand Serpent Marshals","grand marshal",,0,0,0,0,0,0
19,"Serpent Champion","Serpent Champions","champion",,0,0,0,0,0,0
