0,,,0,0,0,0,0,0,0,0
1,"Wiesl\xc3\xa4nder","Wiesl\xc3\xa4nder",0,0,1,0,-1,1,-2,1
2,"Hochl\xc3\xa4nder","Hochl\xc3\xa4nder",0,0,3,2,0,-2,0,-3
3,"Erlschatten","Erlschatten",0,0,-1,-2,3,2,-3,1
4,"Dunkelal","Dunkelal",0,0,0,-1,0,3,0,-2
5,"Halmling","Halmling",0,0,-2,-2,2,1,0,1
6,"Sandling","Sandling",0,0,-3,-3,0,1,2,3
7,"Goldtatze","Goldtatze",0,0,1,0,2,-2,-1,0
8,"Mondstreuner","Mondstreuner",0,0,-2,-3,1,-1,3,2
9,"Seewolf","Seewolf",0,0,2,3,-2,-3,1,-1
10,"Lohengarde","Lohengarde",0,0,0,1,-3,0,2,0
11,"Raen","Raen",0,0,-3,-2,1,0,2,2
12,"Xaela","Xaela",0,0,3,1,0,0,-3,-1
