0,,,,,0,0,0,0,0,0
1,"Legion\xc3\xa4r 3. Klasse","Legion\xc3\xa4re 3. Klasse","Legion\xc3\xa4r","Legion\xc3\xa4r 3. Klasse",4,2,0,1,0,0
2,"Legion\xc3\xa4r 2. Klasse","Legion\xc3\xa4re 2. Klasse","Legion\xc3\xa4r","Legion\xc3\xa4r 2. Klasse",4,2,0,1,0,0
3,"Legion\xc3\xa4r 1. Klasse","Legion\xc3\xa4re 1. Klasse","Legion\xc3\xa4r","Legion\xc3\xa4r 1. Klasse",4,2,0,1,0,0
4,"Ph\xc3\xb6nixlegion\xc3\xa4r","Ph\xc3\xb6nixlegion\xc3\xa4re","Ph\xc3\xb6nixlegion\xc3\xa4r","Ph\xc3\xb6nixlegion\xc3\xa4r",4,2,0,1,0,0
5,"Legionsgefreiter 3. Klasse","Legionsgefreite 3. Klasse","Legionsgefreiter","Legionsgefreiter 3. Klasse",8,2,0,1,0,0
6,"Legionsgefreiter 2. Klasse","Legionsgefreite 2. Klasse","Legionsgefreiter","Legionsgefreiter 2. Klasse",8,2,0,1,0,0
7,"Legionsgefreiter 1. Klasse","Legionsgefreite 1. Klasse","Legionsgefreiter","Legionsgefreiter 1. Klasse",8,2,0,1,0,0
8,"Ph\xc3\xb6nixgefreiter","Ph\xc3\xb6nixgefreite","Ph\xc3\xb6nixgefreiter","Ph\xc3\xb6nixgefreiter",8,2,0,1,0,0
9,"Zweiter Legionsf\xc3\xa4hnrich","Zweite Legionsf\xc3\xa4hnriche","Legionsf\xc3\xa4hnrich","Zweiter Legionsf\xc3\xa4hnrich",4,2,0,1,0,0
10,"Erster Legionsf\xc3\xa4hnrich","Erste Legionsf\xc3\xa4hnriche","Legionsf\xc3\xa4hnrich","Erster Legionsf\xc3\xa4hnrich",4,2,0,1,0,0
11,"Ph\xc3\xb6nixf\xc3\xa4hnrich","Ph\xc3\xb6nixf\xc3\xa4hnriche","Ph\xc3\xb6nixf\xc3\xa4hnrich","Ph\xc3\xb6nixf\xc3\xa4hnrich",4,2,0,1,0,0
12,"Zweiter Legionshauptmann","Zweite Legionshauptm\xc3\xa4nner","Legionshauptmann","Zweiter Legionshauptmann",4,2,0,1,0,0
13,"Erster Legionshauptmann","Erste Legionshauptm\xc3\xa4nner","Legionshauptmann","Erster Legionshauptmann",4,2,0,1,0,0
14,"Ph\xc3\xb6nixhauptmann","Ph\xc3\xb6nixhauptm\xc3\xa4nner","Ph\xc3\xb6nixhauptmann","Ph\xc3\xb6nixhauptmann",4,2,0,1,0,0
15,"Major der Legion","Majore der Legion","Major","Major der Legion",4,2,0,1,0,0
16,"Oberst der Legion","Obersts der Legion","Oberst","Oberst der Legion",4,1,0,1,0,0
17,"Generalmajor der Legion","Generalmajore der Legion","Generalmajor","Generalmajor der Legion",4,2,0,1,0,0
18,"General der Legion","Gener\xc3\xa4le der Legion","General","General der Legion",4,2,0,1,0,0
19,"Ph\xc3\xb6nixgeneral","Ph\xc3\xb6nixgener\xc3\xa4le","Ph\xc3\xb6nixgeneral","Ph\xc3\xb6nixgeneral",4,2,0,1,0,0
