0,,,0,0,0,0,0,0,0,0
1,"Hyurois","Hyuroise",0,0,1,0,-1,1,-2,1
2,"Hyurgoth","Hyurgothe",0,0,3,2,0,-2,0,-3
3,"Sylvestre","Sylvestre",0,0,-1,-2,3,2,-3,1
4,"Cr\xc3\xa9pusculaire","Cr\xc3\xa9pusculaire",0,0,0,-1,0,3,0,-2
5,"Peuple des Plaines","Peuple des Plaines",0,0,-2,-2,2,1,0,1
6,"Peuple des Dunes","Peuple des Dunes",0,0,-3,-3,0,1,2,3
7,"Tribu du Soleil","Tribu du Soleil",0,0,1,0,2,-2,-1,0
8,"Tribu de la Lune","Tribu de la Lune",0,0,-2,-3,1,-1,3,2
9,"Clan de la Mer","Clan de la Mer",0,0,2,3,-2,-3,1,-1
10,"Clan du Feu","Clan du Feu",0,0,0,1,-3,0,2,0
11,"Raen","Raen",0,0,-3,-2,1,0,2,2
12,"Xaela","Xaela",0,0,3,1,0,0,-3,-1
