0,"dummy","Ja, frag nicht lange.","Was?! Warte!"
1,"Photozelle nehmen?","Ja","Nein"
2,"\x02)\x03\xeb9\x03 verlassen?","Ja","Nein"
3,"\x02)\x03\xeb9\x03 verlassen?","Ja","Nein"
4,"Das Kleinod des Ketzers zerst\xc3\xb6ren?","Ja","Nein"
5,"Photozellen einsetzen?","Ja","Nein"
6,"\x02)\x03\xeb9\x03 wirklich verlassen?","Ja","Nein"
7,"\x02)\x03\xeb9\x03 wirklich zusammen mit deiner Gruppe verlassen? Der Spielinhalt wird f\xc3\xbcr alle Gruppenmitglieder beendet. Pr\xc3\xbcft, ob ihr eine Verg\xc3\xbctung erhaltet. Unter \xe2\x80\x9eTimer\xe2\x80\x9c siehst du, wie lange du vor dem n\xc3\xa4chsten Versuch noch warten musst.","Ja","Nein"
8,"Zur\xc3\xbcckkehren?","Ja","Nein"
9,"Die T\xc3\xbcr mit dem kleinen Schl\xc3\xbcssel \xc3\xb6ffnen?","Ja","Nein"
10,"Die Winde aktivieren?","Ja","Nein"
11,"Die Sprengung durchf\xc3\xbchren?","Ja","Nein"
12,"Da ist ein Schalter. Dr\xc3\xbccken?","Ja","Nein"
13,"Den Schl\xc3\xbcssel mitnehmen?","Ja","Nein"
14,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5A\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
15,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5B\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
16,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5C\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
17,"\xe5\xb0\x82\xe7\x94\xa8\xe9\x8d\xb5D\xe3\x82\x92\xe5\x8f\x96\xe5\xbe\x97\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
