0,,,,,0,0,0,0,0,0
1,"Dritte Novizin","Dritte Novizinnen","Novizin","Dritte Novizin",3,1,0,1,1,0
2,"Zweite Novizin","Zweite Novizinnen","Novizin","Zweite Novizin",3,1,0,1,1,0
3,"Erste Novizin","Erste Novizinnen","Novizin","Erste Novizin",3,1,0,1,1,0
4,"Erleuchtete Novizin","Erleuchtete Novizinnen","Novizin","Erleuchtete Novizin",3,1,0,1,1,0
5,"Dritte Schlangenj\xc3\xbcngerin","Dritte Schlangenj\xc3\xbcngerinnen","Schlangenj\xc3\xbcngerin","Dritte Schlangenj\xc3\xbcngerin",3,1,0,1,1,0
6,"Zweite Schlangenj\xc3\xbcngerin","Zweite Schlangenj\xc3\xbcngerinnen","Schlangenj\xc3\xbcngerin","Zweite Schlangenj\xc3\xbcngerin",3,1,0,1,1,0
7,"Erste Schlangenj\xc3\xbcngerin","Erste Schlangenj\xc3\xbcngerinnen","Schlangenj\xc3\xbcngerin","Erste Schlangenj\xc3\xbcngerin",3,1,0,1,1,0
8,"Erleuchtete Schlangenj\xc3\xbcngerin","Erleuchtete Schlangenj\xc3\xbcngerinnen","Schlangenj\xc3\xbcngerin","Erleuchtete Schlangenj\xc3\xbcngerin",3,1,0,1,1,0
9,"Zweite Schlangenpriesterin","Zweite Schlangenpriesterinnen","Schlangenpriesterin","Zweite Schlangenpriesterin",3,1,0,1,1,0
10,"Erste Schlangenpriesterin","Erste Schlangenpriesterinnen","Schlangenpriesterin","Erste Schlangenpriesterin",3,1,0,1,1,0
11,"Erleuchtete Schlangenpriesterin","Erleuchtete Schlangenpriesterinnen","Schlangenpriesterin","Erleuchtete Schlangenpriesterin",3,1,0,1,1,0
12,"Zweite Priorin","Zweite Priorinnen","Priorin","Zweite Priorin",3,1,0,1,1,0
13,"Erste Priorin","Erste Priorinnen","Priorin","Erste Priorin",3,1,0,1,1,0
14,"Erleuchtete Priorin","Erleuchtete Priorinnen","Priorin","Erleuchtete Priorin",3,1,0,1,1,0
15,"Ein\xc3\xa4ugige Seherin","Ein\xc3\xa4ugige Seherinnen","Seherin","Ein\xc3\xa4ugige Seherin",3,1,0,1,1,0
16,"Zwei\xc3\xa4ugige Seherin","Zwei\xc3\xa4ugige Seherinnen","Seherin","Zwei\xc3\xa4ugige Seherin",3,1,0,1,1,0
17,"Drei\xc3\xa4ugige Seherin","Drei\xc3\xa4ugige Seherinnen","Seherin","Drei\xc3\xa4ugige Seherin",3,1,0,1,1,0
18,"Auge der Schlange","Augen der Schlange","Auge der Schlange","Auge der Schlange",3,1,0,1,2,0
19,"Saatseherin","Saatseherinnen","Saatseherin","Saatseherin",3,1,0,1,1,0
