0,,,,,0,0,0,0,0,0
1,"Dritter Novize","Dritte Novizen","Novize","Dritter Novize",6,1,0,1,1,0
2,"Zweiter Novize","Zweite Novizen","Novize","Zweiter Novize",6,1,0,1,1,0
3,"Erster Novize","Erste Novizen","Novize","Erster Novize",6,1,0,1,1,0
4,"Erleuchteter Novize","Erleuchtete Novizen","Novize","Erleuchteter Novize",6,1,0,1,1,0
5,"Dritter Schlangenj\xc3\xbcnger","Dritte Schlangenj\xc3\xbcnger","Schlangenj\xc3\xbcnger","Dritter Schlangenj\xc3\xbcnger",4,2,0,1,1,0
6,"Zweiter Schlangenj\xc3\xbcnger","Zweite Schlangenj\xc3\xbcnger","Schlangenj\xc3\xbcnger","Zweiter Schlangenj\xc3\xbcnger",4,2,0,1,1,0
7,"Erster Schlangenj\xc3\xbcnger","Erste Schlangenj\xc3\xbcnger","Schlangenj\xc3\xbcnger","Erster Schlangenj\xc3\xbcnger",4,2,0,1,1,0
8,"Erleuchteter Schlangenj\xc3\xbcnger","Erleuchtete Schlangenj\xc3\xbcnger","Schlangenj\xc3\xbcnger","Erleuchteter Schlangenj\xc3\xbcnger",4,2,0,1,1,0
9,"Zweiter Schlangenpriester","Zweite Schlangenpriester","Schlangenpriester","Zweiter Schlangenpriester",4,2,0,1,1,0
10,"Erster Schlangenpriester","Erste Schlangenpriester","Schlangenpriester","Erster Schlangenpriester",4,2,0,1,1,0
11,"Erleuchteter Schlangenpriester","Erleuchtete Schlangenpriester","Schlangenpriester","Erleuchteter Schlangenpriester",4,2,0,1,1,0
12,"Zweiter Prior","Zweite Prioren","Prior","Zweiter Prior",4,1,0,1,1,0
13,"Erster Prior","Erste Prioren","Prior","Erster Prior",4,1,0,1,1,0
14,"Erleuchteter Prior","Erleuchtete Prioren","Prior","Erleuchteter Prior",4,1,0,1,1,0
15,"Ein\xc3\xa4ugiger Seher","Ein\xc3\xa4ugige Seher","Seher","Ein\xc3\xa4ugiger Seher",4,2,0,1,1,0
16,"Zwei\xc3\xa4ugiger Seher","Zwei\xc3\xa4ugige Seher","Seher","Zwei\xc3\xa4ugiger Seher",4,2,0,1,1,0
17,"Drei\xc3\xa4ugiger Seher","Drei\xc3\xa4ugige Seher","Seher","Drei\xc3\xa4ugiger Seher",4,2,0,1,1,0
18,"Auge der Schlange","Augen der Schlange","Auge der Schlange","Auge der Schlange",4,1,0,1,2,0
19,"Saatseher","Saatseher","Saatseher","Saatseher",4,2,0,1,1,0
