0,,0,0,False
1,"Producteur",61531,0,False
2,"Ma\xc3\xaetre de jeu",61524,0,False
3,"Ma\xc3\xaetre de jeu",61532,0,False
4,"Ma\xc3\xaetre de jeu",61533,0,False
5,"D\xc3\xa9connect\xc3\xa9(e)",61503,0,False
6,"En attente de r\xc3\xa9ponse (requ\xc3\xaate d'ami)",61501,1,True
7,"En attente de r\xc3\xa9ponse (linkshell)",61501,2,True
8,"En attente de r\xc3\xa9ponse (compagnie libre)",61501,3,True
9,"Pas trouv\xc3\xa9(e)",61502,4,True
10,"Hors ligne",61504,5,True
11,"Occup\xc3\xa9(e)",61509,6,True
12,"JcJ",61510,7,True
13,"Triple Triade",61539,8,True
14,"Cin\xc3\xa9matique",61508,9,True
15,"\xc3\x80 dos de chocobo de relais",61534,11,True
16,"Absent(e)",61511,12,True
17,"Cherche un r\xc3\xa9parateur",61512,13,True
18,"Cherche \xc3\xa0 r\xc3\xa9parer",61513,14,True
19,"Sertisseur(se) de mat\xc3\xa9rias",61514,15,True
20,"Cherche une \xc3\xa9quipe",61515,16,True
21,"Mercenaire",61516,17,True
22,"Enregistr\xc3\xa9(e) dans l'outil de mission",61517,18,True
23,"Recrute des \xc3\xa9quipiers",61536,19,True
24,"Nouvel(le) aventurier(\xc3\xa8re)",61523,26,True
25,"Chef d'alliance",61518,20,True
26,"Chef d'\xc3\xa9quipe d'une alliance",61519,21,True
27,"Membre d'une alliance",61520,22,True
28,"Chef d'\xc3\xa9quipe",61521,23,True
29,"Membre d'une \xc3\xa9quipe",61522,24,True
30,"En mission (inter-Mondes)",61535,25,True
31,"En mission commune",61506,0,False
32,"En mission identique (autre groupe)",61507,0,False
33,"En mission",61510,10,True
34,"Aventurier \xc3\xa0 l'essai",61525,28,True
35,"Compagnie libre",0,0,False
36,"Grande compagnie",0,0,False
37,"En ligne",61505,27,True
