0,,,,,0,0,0,0,0,0
1,"Storm Private Third Class","Storm Privates Third Class","private",,0,0,0,0,0,0
2,"Storm Private Second Class","Storm Privates Second Class","private",,0,0,0,0,0,0
3,"Storm Private First Class","Storm Privates First Class","private",,0,0,0,0,0,0
4,"Storm Corporal","Storm Corporals","corporal",,0,0,0,0,0,0
5,"Storm Sergeant Third Class","Storm Sergeants Third Class","sergeant",,0,0,0,0,0,0
6,"Storm Sergeant Second Class","Storm Sergeants Second Class","sergeant",,0,0,0,0,0,0
7,"Storm Sergeant First Class","Storm Sergeants First Class","sergeant",,0,0,0,0,0,0
8,"Chief Storm Sergeant","Chief Storm Sergeants","sergeant",,0,0,0,0,0,0
9,"Second Storm Lieutenant","Second Storm Lieutenants","lieutenant",,0,0,0,0,0,0
10,"First Storm Lieutenant","First Storm Lieutenants","lieutenant",,0,0,0,0,0,0
11,"Storm Captain","Storm Captains","captain",,0,0,0,0,0,0
12,"Second Storm Commander","Second Storm Commanders","commander",,0,0,0,0,0,0
13,"First Storm Commander","First Storm Commanders","commander",,0,0,0,0,0,0
14,"High Storm Commander","High Storm Commanders","commander",,0,0,0,0,0,0
15,"Rear Storm Marshal","Rear Storm Marshals","rear marshal",,0,0,0,0,0,0
16,"Vice Storm Marshal","Vice Storm Marshals","vice marshal",,0,0,0,0,0,0
17,"Storm Marshal","Storm Marshals","marshal",,0,0,0,0,0,0
18,"Grand Storm Marshal","Grand Storm Marshals","grand marshal",,0,0,0,0,0,0
19,"Storm Champion","Storm Champions","champion",,0,0,0,0,0,0
