0,"Kein Extra","Du hast kein Extra. Ber\xc3\xbchre eine Schatztruhe, um eins aufzunehmen.",70101
1,"Chocobo-Trank","Du erh\xc3\xa4ltst bis zu 10 % deiner Puste zur\xc3\xbcck.",70102
2,"Halt-die-Luft-an","F\xc3\xbcr 10 Sekunden verbraucht dein Chocobo keine Puste.",70104
3,"Schwing-die-Hufe","Dein Chocobo legt einen kurzen, aber schnellen Sprint ein.",70105
4,"Chocobo-\xc3\x84ther","Eine bereits eingesetzte F\xc3\xa4higkeit kann noch einmal benutzt werden.",70108
5,"Bacchus-Wasser","Belegt den Chocobo vor dir mit dem Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c.",70107
6,"Fu\xc3\x9ffessel","Belegt den Chocobo vor dir mit dem Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c.",70109
7,"Dornengestr\xc3\xbcpp","Erzeugt um dich herum ein Dornengestr\xc3\xbcpp, das Gegnern die Puste nimmt.",70103
8,"Regenbogensaft","F\xc3\xbcr 15 Sekunden verbessern sich alle Attribute deines Chocobos. Au\xc3\x9ferdem werden negative Statuseffekte entfernt.",70106
9,"Chocobo-Meteor","L\xc3\xa4sst auf den Chocobo vor dir einen Chocobo-Meteor niedergehen.",70110
10,,,0
