0,,,0,0,0,1,0,0
1,,,0,0,0,0,0,0
2,"Ruinenrenner","Ruinenrenner",4,2,0,1,0,0
3,"Antilopenkuh","Antilopenk\xc3\xbche",3,2,0,1,1,0
4,"Antilopenbock","Antilopenb\xc3\xb6cke",4,2,0,1,0,0
5,"Opo-Opo","Opo-Opos",4,1,0,1,0,0
6,"Lori","Loris",4,1,0,1,0,0
7,"D\xc3\xa4monenschnake","D\xc3\xa4monenschnaken",3,1,0,1,1,0
8,"D\xc3\xa4monenfliege","D\xc3\xa4monenfliegen",3,1,0,1,1,0
9,"Schattenmilbe","Schattenmilben",3,1,0,1,1,0
10,"Schaudermilbe","Schaudermilben",3,1,0,1,1,0
11,"Terrormilbe","Terrormilben",3,1,0,1,1,0
12,"Kapgeier","Kapgeier",4,2,0,1,0,0
13,"Baumkronen-Bussard","Baumkronen-Bussarde",4,2,0,1,0,0
14,"Wildschweinchen","Wildschweinchen",4,1,0,1,2,0
15,"Wildschwein","Wildschweine",4,2,0,1,2,0
16,"wild[a] Keiler","wild[a] Keiler",4,2,0,1,0,0
17,"Brandballon","Brandballons",4,1,0,1,0,0
18,"Zombie","Zombies",4,1,0,1,0,0
19,"Zombie-Zauberer","Zombie-Zauberer",4,2,0,1,0,0
20,"verhext[a] Gerippe","verhext[a] Gerippe",4,2,0,1,2,0
21,"Gauner-Imp","Gauner-Imps",4,1,0,1,0,0
22,"R\xc3\xb6sling","R\xc3\xb6slinge",4,2,0,1,0,0
23,"D\xc3\xa4monenfliegenfalle","D\xc3\xa4monenfliegenfallen",3,1,0,1,1,0
24,"Baumschrat","Baumschrate",4,2,0,1,0,0
25,"Dryade","Dryaden",3,1,0,1,1,0
26,"Karpfenkr\xc3\xb6te","Karpfenkr\xc3\xb6ten",3,1,0,1,1,0
27,"N\xc3\xb6ck","N\xc3\xb6cken",1,1,0,1,0,0
28,"Coeurl-Jungtier","Coeurl-Jungtiere",4,2,0,1,2,0
29,"Dullahan","Dullahan",3,1,0,1,0,0
30,"Lehmgolem","Lehmgolems",4,1,0,1,0,0
31,"Gedankenschinder","Gedankenschinder",4,2,0,1,0,0
32,"Mikrochu","Mikrochus",4,1,0,1,2,0
33,"Ochu","Ochus",4,1,0,1,2,0
34,"Adaman-Taimai","Adaman-Taimai",3,1,0,1,0,0
35,"Tomberry","Tomberrys",3,1,0,1,0,0
36,"R\xc3\xbcsselk\xc3\xa4fer","R\xc3\xbcsselk\xc3\xa4fer",4,2,0,1,0,0
37,"Baumh\xc3\xb6rnchen","Baumh\xc3\xb6rnchen",4,1,0,1,2,0
38,"schwarz[a] Fledermaus","schwarz[a] Flederm\xc3\xa4use",3,2,0,1,1,0
