2048,"Ins Wespennest stechen","-",,24
2049,"Briaxio ausschalten","-",,24
2050,"Bombige Goblins","-",,24
2051,"T\xc3\xb6dliches Rankenspiel","-",,24
2052,"Gefahr aus dem Nichts","-",,24
2053,"Kampf gegen Schatten","-",,24
2054,"Miss Bombastic","-",,24
2055,"Unzertrennlich","-",,24
2056,"Reliquienstreit","-",,24
2057,"Grab der Lohe (normal)","-",,24
2058,"Der Nabel (normal)","-",,24
2059,"Das Tosende Auge (normal)","-",,24
2060,"G\xc3\xb6tterd\xc3\xa4mmerung - Ifrit","-",,24
2061,"G\xc3\xb6tterd\xc3\xa4mmerung - Titan","-",,24
2062,"G\xc3\xb6tterd\xc3\xa4mmerung - Garuda","-",,24
2063,"Kap Westwind","-",,24
2064,"Bahamuts Verschlungene Schatten","-",,24
2065,"Wolfsh\xc3\xb6hle (PvP)","-",,24
2066,"Zenit der G\xc3\xb6tter - Ifrit","-",,24
2067,"Zenit der G\xc3\xb6tter - Titan","-",,24
2068,"Zenit der G\xc3\xb6tter - Garuda","-",,24
2069,"K\xc3\xb6nigliche Konfrontation (schwer)","-",,24
2070,"Heldenlied von Ultima","-",,24
2071,"Kristallturm","-",,24
2072,"Bahamut 1 - Begegnung","-",,24
2073,"Labyrinth der Alten","-",,24
2074,"Entziffern","-",,24
2075,"Schwere Version","-",,24
2076,"Zufallsinhalt","-",,24
2077,"Bahamut 2 - Vorsto\xc3\x9f","-",,24
2078,"Pharos Sirius","-",,24
2079,"K\xc3\xb6nigliche Konfrontation (extrem)","-",,24
2080,"G\xc3\xb6tterd\xc3\xa4mmerung - Leviathan","-",,24
2081,"Zenit der G\xc3\xb6tter - Leviathan","-",,24
2082,"Kampf gegen die Chim\xc3\xa4ra","-",,24
2083,"Kampf gegen die Hydra","-",,24
2084,"Duell auf der gro\xc3\x9fen Br\xc3\xbccke","-",,24
2085,"PvP","-",,24
2086,"Auftrag der Wilden St\xc3\xa4mme","-",,24
2087,"Nebenauftrag der Wilden St\xc3\xa4mme","-",,24
2088,"Hauptauftrag der Wilden St\xc3\xa4mme","-",,24
2089,"Szenario-Nebenauftr\xc3\xa4ge","-",,24
2090,"Schatzsuche","-",,24
2091,"Chroniken der neuen \xc3\x84ra","-",,24
2092,"Saisonales Ereignis","-",,24
2093,"Historisches Amdapor","-",,24
2094,"Ephemeriden","-",,24
2095,"Sph\xc3\xa4rentafeln","-",,24
2096,"Hohe Jagd","-",,24
2097,"Hochwild","-",,24
2098,"G\xc3\xb6tterd\xc3\xa4mmerung - Ramuh","-",,24
2099,"Zenit der G\xc3\xb6tter - Ramuh","-",,24
2100,"Syrcus-Turm","-",,24
2101,"Bahamut 2 - Epischer Vorsto\xc3\x9f","-",,24
2102,"Carteneauer Front","-",,24
2103,"Schiffbrecher-Insel","-",,24
2104,"Front (PvP)","-",,24
2105,"Niedrige Stufe","-",,24
2106,"Experte","-",,24
2107,"Hohe Stufe","-",,24
2108,"Verschlungene Schatten - Finale","-",,24
2109,"G\xc3\xb6tterd\xc3\xa4mmerung - Shiva","-",,24
2110,"Zenit der G\xc3\xb6tter - Shiva","-",,24
2111,"Schneekleid","-",,24
2112,"Drachenhals-Kolosseum","-",,24
2113,"Lieferauftrag","-",,24
2114,"Jenseits Urths Quelle","-",,24
2115,"Die Welt der Dunkelheit","-",,24
2116,"Die \xc3\x84u\xc3\x9feren Ruinen","-",,24
2117,"(Sicherung)","-",,24
2118,"(Vernichtung)","-",,24
2119,"H\xc3\xbcter des Sees","-",,24
2120,"Revanche in den Ruinen","-",,24
