0,"leather saddle","leather saddles","Leather Saddle",0,0,0,1,0,0,0,0,0,0,0,0,0
1,"Lominsan saddle","Lominsan saddles","Lominsan Saddle",0,0,0,1,0,0,65538,65541,65538,49049,49053,49051,1
2,"set of Lominsan half barding","sets of Lominsan half barding","Lominsan Half Barding",0,0,0,1,0,0,65542,65542,65542,49001,49002,49003,1
3,"set of Lominsan barding","sets of Lominsan barding","Lominsan Barding",0,0,0,1,0,0,131078,131078,131078,49004,49005,49006,1
4,"set of Lominsan crested barding","sets of Lominsan crested barding","Lominsan Crested Barding",0,0,0,1,0,0,196614,196614,196614,49007,49008,49009,1
5,"Gridanian saddle","Gridanian saddles","Gridanian Saddle",0,0,0,1,0,0,65538,131077,65538,49049,49056,49051,2
6,"set of Gridanian half barding","sets of Gridanian half barding","Gridanian Half Barding",0,0,0,1,0,0,65543,65543,65543,49010,49011,49012,2
7,"set of Gridanian barding","sets of Gridanian barding","Gridanian Barding",0,0,0,1,0,0,131079,131079,131079,49013,49014,49015,2
8,"set of Gridanian crested barding","sets of Gridanian crested barding","Gridanian Crested Barding",0,0,0,1,0,0,196615,196615,196615,49016,49017,49018,2
9,"Ul'dahn saddle","Ul'dahn saddles","Ul'dahn Saddle",0,0,1,1,0,0,65538,196613,65538,49049,49059,49051,3
10,"set of Ul'dahn half barding","sets of Ul'dahn half barding","Ul'dahn Half Barding",0,0,0,1,0,0,65544,65544,65544,49019,49020,49021,3
11,"set of Ul'dahn barding","sets of Ul'dahn barding","Ul'dahn Barding",0,0,0,1,0,0,131080,131080,131080,49022,49023,49024,3
12,"set of Ul'dahn crested barding","sets of Ul'dahn crested barding","Ul'dahn Crested Barding",0,0,0,1,0,0,196616,196616,196616,49025,49026,49027,3
13,"set of paladin barding","sets of paladin barding","Paladin Barding",0,0,0,1,0,0,65546,65546,65546,49028,49029,49030,0
14,"set of dragoon barding","sets of dragoon barding","Dragoon Barding",0,0,0,1,0,0,65547,65547,65547,49031,49032,49033,0
15,"set of white mage barding","sets of white mage barding","White Mage Barding",0,0,0,1,0,0,65549,65549,65549,49034,49035,49036,0
16,"set of Sleipnir barding","sets of Sleipnir barding","Sleipnir Barding",0,0,0,1,0,0,65550,65550,65550,49037,49038,49039,0
17,"set of behemoth barding","sets of behemoth barding","Behemoth Barding",0,0,0,1,0,0,65551,65551,65551,49040,49041,49042,0
18,"flyer shaffron","flyer shaffrons","Flyer Shaffron",0,0,0,1,0,0,65555,0,0,49043,0,0,0
19,"set of black mage barding","sets of black mage barding","Black Mage Barding",0,0,0,1,0,0,65548,65548,65548,49046,49047,49048,0
20,"set of sovereign barding","sets of sovereign barding","Sovereign Barding",0,0,0,1,0,0,65553,0,0,49061,0,0,0
21,"set of Starlight barding","sets of Starlight barding","Starlight Barding",0,0,0,1,0,0,65540,65540,65540,49064,49065,49066,0
22,"set of tidal barding","sets of tidal barding","Tidal Barding",0,0,0,1,0,0,65556,65556,65556,49067,49068,49069,0
23,"set of Barding of Light","sets of Barding of Light","Barding of Light",0,0,0,1,0,0,65557,65557,65557,49070,49071,49072,0
24,"set of egg barding","sets of egg barding","Egg Barding",0,0,0,1,0,0,65558,0,0,49073,0,0,0
25,"set of levin barding","sets of levin barding","Levin Barding",0,0,0,1,0,0,65560,65560,65560,49076,49077,49078,0
26,"set of plumed barding","sets of plumed barding","Plumed Barding",0,0,0,1,0,0,65559,0,0,49079,0,0,0
27,"set of eerie barding","sets of eerie barding","Eerie Barding",0,0,0,1,0,0,65561,65561,65561,49082,49083,49084,0
28,"set of ice barding","sets of ice barding","Ice Barding",0,0,0,1,0,0,65562,65562,65562,49085,49086,49087,0
29,"set of gambler barding","sets of gambler barding","Gambler Barding",0,0,0,1,0,0,65565,65565,65565,49091,49092,49093,0
30,"set of paramour barding","sets of paramour barding","Paramour Barding",0,0,0,1,0,0,65566,65566,65566,49088,49089,49090,0
31,"set of Ishgardian half barding","sets of Ishgardian half barding","Ishgardian Half Barding",0,0,0,1,0,0,65567,65567,65567,49094,49095,49096,0
32,"set of Ishgardian barding","sets of Ishgardian barding","Ishgardian Barding",0,0,0,1,0,0,131103,131103,131103,49097,49098,49099,0
33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"set of Expanse barding","sets of Expanse barding","Expanse Barding",0,0,0,1,0,0,65568,65568,65568,49103,49104,49105,0
35,"set of Hive barding","sets of Hive barding","Hive Barding",0,0,0,1,0,0,65569,65569,65569,49106,49107,49108,0
36,"set of noble barding","sets of noble barding","Noble Barding",0,0,0,1,0,0,65570,65570,65570,49109,49110,49111,0
37,"set of Orthodox barding","sets of Orthodox barding","Orthodox Barding",0,0,0,1,0,0,131106,131106,131106,49112,49113,49114,0
38,"set of highland barding","sets of highland barding","Highland Barding",0,0,0,1,0,0,65571,65571,65571,49115,49116,49117,0
39,"set of wild rose barding","sets of wild rose barding","Wild Rose Barding",0,0,0,1,0,0,65573,65573,65573,49118,49119,49120,0
