1,"\xe3\x81\x9d\xe3\x81\xae","\xe3\x81\x9d\xe3\x82\x8c\xe3\x82\x89\xe3\x81\xae",,,,,,,,,,,,,,,,,,,,,,,,"un ","des ","du ",,"un ","des ","de l'",,"une ","des ","de la ",,"une ","des ","de l'",
2,,"\xe3\x81\x82\xe3\x82\x8c\xe3\x82\x89\xe3\x81\xae",,,,,,,,,,,,,,,,,,,,,,,,"le ","les ","le ",,"l'","les ","l'",,"la ","les ","la ",,"l'","les ","l'",
3,,"\xe3\x81\x93\xe3\x82\x8c\xe3\x82\x89\xe3\x81\xae",,,,,,,,,,,,,,,,,,,,,,,"mon ","mon ","mes ","mon ","mon ","mon ","mes ","mon ","ma ","ma ","mes ","ma ","mon ","mon ","mes ","mon ",
4,,,,,,,,,,,,,,,,,,,,,,,,,"ton ","ton ","tes ","ton ","ton ","ton ","tes ","ton ","ta ","ta ","tes ","ta ","ton ","ton ","tes ","ton ",
5,,,,,,,,,,,,,,,,,,,,,,,,,"son ","son ","ses ","son ","son ","son ","ses ","son ","sa ","sa ","ses ","sa ","son ","son ","ses ","son ",
6,,,,,,,,,,,,,,,,,,,,,,,,,"ce ","ce ","ces ","ce ","cet ","cet ","ces ","cet ","cette ","cette ","ces ","cette ","cette ","cette ","ces ","cette ",
7,,,,,,,,,,,,,,,,,,,,,,,,,"\xc3\xa0 ","au ","aux ","au ","\xc3\xa0 ",bxc3\xa0 l'","aux ",bxc3\xa0 l'","\xc3\xa0 ","\xc3\xa0 la ","aux ","\xc3\xa0 la ","\xc3\xa0 ",bxc3\xa0 l'","aux ",bxc3\xa0 l'",
8,,,,,,,,,,,,,,,,,,,,,,,,,"de ","de ","de ","de ","d'","d'","d'","d'","de ","de ","de ","de ","d'","d'","d'","d'",
9,,,,,,,,,,,,,,,,,,,,,,,,,"de ","du ","des ","du ","d'","de l'","des ","de l'","de ","de la ","des ","de la ","d'","de l'","des ","de l'",
10,,,,,,,,,,,,,,,,,,,,,,,,,"que ","que ","que ","que ","qu'","qu'","que ","qu'","que ","que ","que ","que ","qu'","qu'","que ","qu'",
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
