0,"Ledersattel","Leders\xc3\xa4ttel","Ledersattel",4,2,0,1,0,0,0,0,0,0,0,0,0
1,"limsisch[a] Sattelzeug","limsisch[a] Sattelzeuge","Limsisches Sattelzeug",4,2,0,1,2,0,65538,65541,65538,49049,49053,49051,1
2,"leicht[a] limsisch[a] Rossharnisch","leicht[a] limsisch[a] Rossharnische","Leichter limsischer Rossharnisch",4,2,0,1,0,0,65542,65542,65542,49001,49002,49003,1
3,"limsisch[a] Rossharnisch","limsisch[a] Rossharnische","Limsischer Rossharnisch",4,2,0,1,0,0,131078,131078,131078,49004,49005,49006,1
4,"schwer[a] limsisch[a] Rossharnisch","schwer[a] limsisch[a] Rossharnische","Schwerer limsischer Rossharnisch",4,2,0,1,0,0,196614,196614,196614,49007,49008,49009,1
5,"gridanisch[a] Sattelzeug","gridanisch[a] Sattelzeuge","Gridanisches Sattelzeug",4,2,0,1,2,0,65538,131077,65538,49049,49056,49051,2
6,"leicht[a] gridanisch[a] Rossharnisch","leicht[a] gridanisch[a] Rossharnische","Leichter gridanischer Rossharnisch",4,2,0,1,0,0,65543,65543,65543,49010,49011,49012,2
7,"gridanisch[a] Rossharnisch","gridanisch[a] Rossharnische","Gridanischer Rossharnisch",4,2,0,1,0,0,131079,131079,131079,49013,49014,49015,2
8,"schwer[a] gridanisch[a] Rossharnisch","schwer[a] gridanisch[a] Rossharnische","Schwerer gridanischer Rossharnisch",4,2,0,1,0,0,196615,196615,196615,49016,49017,49018,2
9,"ul'dhisch[a] Sattelzeug","ul'dhisch[a] Sattelzeug","Ul'dhisches Sattelzeug",4,2,0,1,2,0,65538,196613,65538,49049,49059,49051,3
10,"leicht[a] ul'dhisch[a] Rossharnisch","leicht[a] ul'dhisch[a] Rossharnische","Leichter ul'dhischer Rossharnisch",4,2,0,1,0,0,65544,65544,65544,49019,49020,49021,3
11,"ul'dhisch[a] Rossharnisch","ul'dhisch[a] Rossharnische","Ul'dhischer Rossharnisch",4,2,0,1,0,0,131080,131080,131080,49022,49023,49024,3
12,"schwer[a] ul'dhisch[a] Rossharnisch","schwer[a] ul'dhisch[a] Rossharnische","Schwerer ul'dhischer Rossharnisch",4,2,0,1,0,0,196616,196616,196616,49025,49026,49027,3
13,"Paladin-Rossharnisch","Paladin-Rossharnische","Paladin-Rossharnisch",4,2,0,1,0,0,65546,65546,65546,49028,49029,49030,0
