0,,,405,0,0,False
1,"Renvoyer","Vous renvoyez le familier.",530,0,0,False
2,"Suivre","Vous ordonnez au familier de vous suivre.",529,0,0,False
3,"Se placer","Vous ordonnez au familier de se placer \xc3\xa0 l'endroit d\xc3\xa9sign\xc3\xa9.",527,0,0,False
4,"Attendre","Vous ordonnez au familier de rester o\xc3\xb9 il est.",528,0,0,False
5,"D\xc3\xa9fendre","Vous ordonnez au familier de n'attaquer que lorsque vous attaquez ou lorsque vous \xc3\xaates attaqu\xc3\xa9\x02\x08\x08\xe9\x05\xff\x02e\xff\x01\x03.",531,0,0,False
6,"Passif","Vous ordonnez au familier de n'attaquer que lorsque vous en donnez l'ordre.",532,0,0,False
7,"Libre arbitre","Vous ordonnez au familier d'attaquer librement.",525,0,0,False
8,"Ob\xc3\xa9ir","Vous ordonnez au familier d'attaquer, mais il n'accomplit pas certaines actions sans votre ordre.",526,0,0,False
9,"Coup de vent","Le familier inflige des d\xc3\xa9g\xc3\xa2ts magiques de vent \xc3\xa0 la cible.\x02\x10\x01\x03\x02\x13\x06\xfe\xff\xff\xfff\x03Puissance\x02\x1d\x01\x03:\x02\x13\x02\xec\x03 90",561,637,1,False
10,"\xc3\x89jection","Le familier inflige des d\xc3\xa9g\xc3\xa2ts magiques de vent \xc3\xa0 la cible.\x02\x10\x01\x03\x02\x13\x06\xfe\xff\xff\xfff\x03Puissance\x02\x1d\x01\x03:\x02\x13\x02\xec\x03 80\x02\x10\x01\x03Projette la cible 15 yalms en arri\xc3\xa8re.\x02\x10\x01\x03\x02\x10\x01\x03N'utilise pas cette action automatiquement en mode \xe2\x80\x9cOb\xc3\xa9ir\xe2\x80\x9d.",563,638,1,True
11,"Rafale descendante","Le familier inflige des d\xc3\xa9g\xc3\xa2ts magiques de vent \xc3\xa0 la cible et aux ennemis proches d'elle.\x02\x10\x01\x03\x02\x13\x06\xfe\xff\xff\xfff\x03Puissance\x02\x1d\x01\x03:\x02\x13\x02\xec\x03 80\x02\x10\x01\x03\x02\x10\x01\x03N'utilise pas cette action automatiquement en mode \xe2\x80\x9cOb\xc3\xa9ir\xe2\x80\x9d.",562,639,1,True
