131072,,,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,2,2,0,0,False
131074,,"Ins Kommandozimmer von Nophicas Schar eintreten?",3884000,590352,590353,0,3,1,0,0,False
131075,,"Das Kommandozimmer verlassen?",3884182,0,0,0,1,1,0,0,False
131076,,"Den Wasserrosentisch verlassen?",3878860,0,0,0,1,1,0,0,False
131077,"Zum Honigblumen-Steg.","An Bord gehen?",1381039,590354,590355,0,4,1,0,0,False
131078,,"An Bord gehen?",1381038,590356,590259,0,4,1,0,0,False
131079,,,4124796,0,0,0,5,3,0,0,False
131080,,,1359058,0,0,0,5,4,0,0,False
131081,,,4124801,0,0,0,5,5,0,0,False
131082,,"Das Zimmer verlassen?",4125264,0,0,0,1,1,0,0,False
131083,,"Das Zimmer verlassen?",2232680,0,0,0,1,1,0,0,False
131084,,"Das Zimmer verlassen?",4125288,0,0,0,1,1,0,0,False
131085,,"Die Silberhalle verlassen?",4107979,0,0,0,1,1,0,0,False
131086,,"F\xc3\xbcr 40 Gil zur Mondsichel-Bucht \xc3\xbcbersetzen?",4143657,590441,590620,590448,6,1,0,0,False
131087,,"F\xc3\xbcr 40 Gil zum Silberbasar \xc3\xbcbersetzen?",4143677,590442,590621,590449,6,1,0,0,False
131088,,"Den Sonnenwind betreten?",4107477,0,590450,0,7,1,0,0,False
131089,,"Den Sonnenwind verlassen?",4132388,0,0,0,1,1,0,0,False
131090,,"Den Saal der Morgenr\xc3\xb6te betreten?",4148347,0,590564,0,21,1,0,0,False
131091,,"Den Saal der Morgenr\xc3\xb6te verlassen?",4148350,0,0,0,1,1,0,0,False
131092,"Zum Luftschiff-Landeplatz (3. OG).","Zum Luftschiff-Landeplatz (3. OG) fahren?",4158063,0,0,0,1,1,0,0,False
