0,,0,0,0
1,"Hauptwaffe der Faustk\xc3\xa4mpfer",60101,1,1
2,"Hauptwaffe der Gladiatoren",60102,0,1
3,"Hauptwaffe der Marodeure",60103,2,1
4,"Hauptwaffe der Waldl\xc3\xa4ufer",60105,4,1
5,"Hauptwaffe der Pikeniere",60104,3,1
6,"Thaumaturgen-Waffe",60108,10,1
7,"Thaumaturgen-Zweihandwaffe",60108,11,1
8,"Druiden-Waffe",60107,8,1
9,"Druiden-Zweihandwaffe",60107,9,1
10,"Grimoire",60109,12,1
11,"Schild",60110,0,3
12,"Zimmermannszeug",60112,0,2
13,"Zimmermannszeug (sekund\xc3\xa4r)",60112,1,2
14,"Schmiedezeug",60113,2,2
15,"Schmiedezeug (sekund\xc3\xa4r)",60113,3,2
16,"Plattnerzeug",60114,4,2
17,"Plattnerzeug (sekund\xc3\xa4r)",60114,5,2
18,"Goldschmiedezeug",60115,6,2
19,"Goldschmiedezeug (sekund\xc3\xa4r)",60115,7,2
20,"Gerberzeug",60116,8,2
21,"Gerberzeug (sekund\xc3\xa4r)",60116,9,2
22,"Weberzeug",60117,10,2
23,"Weberzeug (sekund\xc3\xa4r)",60117,11,2
24,"Alchemistenzeug",60118,12,2
25,"Alchemistenzeug (sekund\xc3\xa4r)",60118,13,2
26,"Gourmetzeug",60119,14,2
27,"Gourmetzeug (sekund\xc3\xa4r)",60119,15,2
28,"Minenarbeiterzeug",60120,16,2
29,"Minenarbeiterzeug (sekund\xc3\xa4r)",60120,17,2
30,"G\xc3\xa4rtnerzeug",60121,18,2
31,"G\xc3\xa4rtnerzeug (sekund\xc3\xa4r)",60121,19,2
32,"Fischerzeug",60122,20,2
33,"Angelk\xc3\xb6der",60123,28,7
34,"Kopf",60124,1,3
35,"Rumpf",60126,2,3
36,"Beine",60128,5,3
37,"H\xc3\xa4nde",60129,3,3
38,"F\xc3\xbc\xc3\x9fe",60130,6,3
39,"Taille",60131,4,3
40,"Halskette",60132,0,4
41,"Ohrring",60133,1,4
42,"Armreif",60134,2,4
43,"Ring",60135,3,4
44,"Arznei",60136,0,5
45,"Zutat",60137,0,6
46,"Gericht",60146,1,5
47,"Meeresfr\xc3\xbcchte",60138,1,6
48,"Baustein",60139,2,6
49,"Metall",60140,3,6
50,"Nutzholz",60141,4,6
51,"Stoff",60142,5,6
52,"Leder",60143,6,6
53,"Knochen & Horn",60144,7,6
54,"Reagenz",60145,8,6
55,"Farbstoff",60147,10,6
56,"Einzelteil",60148,9,6
57,"Mobiliar",60164,20,7
58,"Materia",60150,0,7
59,"Kristall",60151,1,7
60,"Katalysator",60152,2,7
61,"Verschiedenes",60153,3,7
62,"Jobkristall",60157,4,4
63,"Anderes",60159,6,7
64,"Baugenehmigung",60160,7,7
65,"Dach",60160,8,7
66,"Mauer",60160,9,7
67,"Fenster",60160,10,7
68,"T\xc3\xbcr",60160,11,7
69,"Dachdekoration",60160,12,7
70,"Fassadendekoration",60160,13,7
71,"Tafel",60160,14,7
72,"Zaun",60160,15,7
73,"Innenwand",60161,16,7
74,"Boden",60161,17,7
75,"Deckenleuchte",60161,18,7
76,"Gartenausstattung",60168,19,7
77,"Tisch/Sockel",60162,21,7
78,"Tischdekoration",60163,22,7
79,"Wandm\xc3\xb6bel",60166,23,7
80,"Teppich",60167,24,7
81,"Begleiter",60155,5,7
82,"Gartenbau",60153,25,7
83,"Demi-Materia",60150,26,7
84,"Hauptwaffe der Schurken",60106,5,1
85,"Saisonaler Gegenstand",60154,4,7
86,"Triple Triad-Karte",60156,27,7
87,"Hauptwaffe der Dunkelritter",60170,6,1
88,"Hauptwaffe der Maschinisten",60172,7,1
89,"Hauptwaffe der Astrologen",60171,13,1
90,"Schiffbauteil (Rumpf)",60169,11,6
91,"Schiffbauteil (Takelage)",60169,12,6
92,"Schiffbauteil (Heck)",60169,14,6
93,"Schiffbauteil (Bug)",60169,13,6
94,,0,0,0
95,,0,0,0
96,,0,0,0
97,,0,0,0
98,,0,0,0
99,,0,0,0
100,,0,0,0
