0,,,0,0,0
1,"Chocobo-Sprint I","Erh\xc3\xb6ht vor\xc3\xbcbergehend die Geschwindigkeit, ohne Puste zu verbrauchen.  Dauer: 1 Sekunde",70001,1,1
2,"Chocobo-Sprint II","Erh\xc3\xb6ht vor\xc3\xbcbergehend die Geschwindigkeit, ohne Puste zu verbrauchen.  Dauer: 2 Sekunden",70002,2,1
3,"Chocobo-Sprint III","Erh\xc3\xb6ht vor\xc3\xbcbergehend die Geschwindigkeit, ohne Puste zu verbrauchen.  Dauer: 3 Sekunden",70003,3,1
4,"Chocobo-Vita I","Stellt 6 % der maximalen Puste wieder her.",70004,6,2
5,"Chocobo-Vita II","Stellt 9 % der maximalen Puste wieder her.",70005,9,2
6,"Chocobo-Vita III","Stellt 12 % der maximalen Puste wieder her.",70006,12,2
7,"Chocobo-Medica I","Entfernt alle negativen Statuseffekte mit einer Erfolgschance von 75 %.",70007,75,3
8,"Chocobo-Medica II","Entfernt alle negativen Statuseffekte mit einer Erfolgschance von 90 %.",70008,90,3
9,"Chocobo-Medica III","Entfernt alle negativen Statuseffekte mit einer Erfolgschance von 100 %.",70009,100,3
10,"Chocobo-Erl\xc3\xb6sung I","Entfernt den Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c und stellt 80 Punkte der Puste wieder her.",70010,80,4
11,"Chocobo-Erl\xc3\xb6sung II","Entfernt den Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c und stellt 130 Punkte der Puste wieder her.",70011,130,4
12,"Chocobo-Erl\xc3\xb6sung III","Entfernt den Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c und stellt 180 Punkte der Puste wieder her.",70012,180,4
13,"Chocobo-Fl\xc3\xbcstern I","Entfernt den Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c und stellt 100 Punkte der Puste wieder her.",70013,100,5
14,"Chocobo-Fl\xc3\xbcstern II","Entfernt den Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c und stellt 150 Punkte der Puste wieder her.",70014,150,5
15,"Chocobo-Fl\xc3\xbcstern III","Entfernt den Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c und stellt 200 Punkte der Puste wieder her.",70015,200,5
16,"Chocobo-Reflektion I","Wirft alle negativen Statuseffekte ohne Fl\xc3\xa4chenwirkung zur\xc3\xbcck auf den Angreifer. Dauer: 10 Sekunden",70016,10,6
17,"Chocobo-Reflektion II","Wirft alle negativen Statuseffekte ohne Fl\xc3\xa4chenwirkung zur\xc3\xbcck auf den Angreifer. Dauer: 15 Sekunden",70017,15,6
18,"Chocobo-Reflektion III","Wirft alle negativen Statuseffekte ohne Fl\xc3\xa4chenwirkung zur\xc3\xbcck auf den Angreifer. Dauer: 20 Sekunden",70018,20,6
19,"Chocobo-Klau I","Nimmt mit einer Erfolgschance von 50 % dem Chocobo vor dir ein Extra weg.",70019,50,7
20,"Chocobo-Klau II","Nimmt mit einer Erfolgschance von 70 % dem Chocobo vor dir ein Extra weg.",70020,70,7
21,"Chocobo-Klau III","Nimmt mit einer Erfolgschance von 90 % dem Chocobo vor dir ein Extra weg.",70021,90,7
22,"Chocobo-Schweigen I","Erzeugt einen Bereich der Stille, in dem andere Chocobos keine F\xc3\xa4higkeiten einsetzen k\xc3\xb6nnen. Dauer: 35 Sekunden",70022,35,8
23,"Chocobo-Schweigen II","Erzeugt einen Bereich der Stille, in dem andere Chocobos keine F\xc3\xa4higkeiten einsetzen k\xc3\xb6nnen. Dauer: 40 Sekunden",70023,40,8
24,"Chocobo-Schweigen III","Erzeugt einen Bereich der Stille, in dem andere Chocobos keine F\xc3\xa4higkeiten einsetzen k\xc3\xb6nnen. Dauer: 45 Sekunden",70024,45,8
25,"Chocobo-Schock I","Erzeugt eine verwirrende Aura, in der andere Chocobos keine Extras einsetzen k\xc3\xb6nnen. Dauer: 25 Sekunden",70025,25,9
26,"Chocobo-Schock II","Erzeugt eine verwirrende Aura, in der andere Chocobos keine Extras einsetzen k\xc3\xb6nnen. Dauer: 30 Sekunden",70026,30,9
27,"Chocobo-Schock III","Erzeugt eine verwirrende Aura, in der andere Chocobos keine Extras einsetzen k\xc3\xb6nnen. Dauer: 35 Sekunden",70027,35,9
28,"Langer Atem I","Verringert den Verbrauch von Puste w\xc3\xa4hrend des Beschleunigens um 9 %.",70028,9,10
29,"Langer Atem II","Verringert den Verbrauch von Puste w\xc3\xa4hrend des Beschleunigens um 12 %.",70029,12,10
30,"Langer Atem III","Verringert den Verbrauch von Puste w\xc3\xa4hrend des Beschleunigens um 15 %.",70030,15,10
31,"Federleicht I","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c zu widerstehen, um 60 %.",70031,60,11
32,"Federleicht II","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c zu widerstehen, um 70 %.",70032,70,11
33,"Federleicht III","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c zu widerstehen, um 80 %.",70033,80,11
34,"Federleicht IV","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c zu widerstehen, um 90 %.",70034,90,11
35,"Federleicht V","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eGewicht\xe2\x80\x9c zu widerstehen, um 100 %.",70035,100,11
36,"K\xc3\xbchler Kopf I","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c zu widerstehen, um 60 %.",70036,60,12
37,"K\xc3\xbchler Kopf II","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c zu widerstehen, um 70 %.",70037,70,12
38,"K\xc3\xbchler Kopf III","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c zu widerstehen, um 80 %.",70038,80,12
39,"K\xc3\xbchler Kopf IV","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c zu widerstehen, um 90 %.",70039,90,12
40,"K\xc3\xbchler Kopf V","Erh\xc3\xb6ht die Chance, dem Statuseffekt \xe2\x80\x9eRaserei\xe2\x80\x9c zu widerstehen, um 100 %.",70040,100,12
41,"Herz aus Stahl I","Erh\xc3\xb6ht die Regeneration von Puste um 50 %.",70041,50,13
42,"Herz aus Stahl II","Erh\xc3\xb6ht die Regeneration von Puste um 65 %.",70042,65,13
43,"Herz aus Stahl III","Erh\xc3\xb6ht die Regeneration von Puste um 80 %.",70043,80,13
44,"Schneller Lerner I","Erh\xc3\xb6ht die in Rennen erworbene Routine um 10 %.",70044,10,14
45,"Schneller Lerner II","Erh\xc3\xb6ht die in Rennen erworbene Routine um 20 %.",70045,20,14
46,"Schneller Lerner III","Erh\xc3\xb6ht die in Rennen erworbene Routine um 30 %.",70046,30,14
47,"Schnellstart","Der Chocobo beginnt das Rennen mit maximaler Geschwindigkeit.",70047,1,15
48,,,0,0,0
49,,,0,0,0
50,,,0,0,0
