0,,,0,0,0,0,0,0,0,False
1,"Enhanced Vitality","Increases vitality by 2.",0,5130,2,1,8,0,38,False
2,"Enhanced Rampart","Increases damage reduction granted by Rampart to 20%.",0,5201,0,1,14,0,38,False
3,"Enhanced Vitality II","Increases vitality by 4.",0,5131,4,1,16,0,38,False
4,"Enhanced Awareness","Extends Awareness duration to 25 seconds.",0,5208,0,1,44,0,38,False
5,"Enhanced Vitality III","Increases vitality by 6.",0,5132,6,1,24,0,38,False
6,"Enhanced Flash","Adds Blind effect to Flash.  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 12s",0,5203,0,1,20,0,38,False
7,"Enhanced Convalescence","Improves the HP recovery increase granted by Convalescence to 30%.",0,5206,0,1,32,0,38,False
8,"Enhanced Sentinel","Increases damage reduction granted by Sentinel to 40%.",0,5202,0,1,48,0,38,False
9,"Enhanced Rage of Halone","Increases strength reduction inflicted by Rage of Halone to 10%.",0,5207,0,1,40,0,38,False
10,"Enhanced Shield Bash","Extends Stun duration inflicted by Shield Bash to 6 seconds.",0,5204,0,1,36,0,38,False
11,"Enhanced Fight or Flight","Extends Fight or Flight duration to 30 seconds.",0,5205,0,1,28,0,38,False
12,"Enhanced Vitality","Increases vitality by 2.",0,5130,2,3,8,0,44,False
13,"Enhanced Vitality II","Increases vitality by 4.",0,5131,4,3,16,0,44,False
14,"Bloodshower","Extends Bloodbath duration to 30 seconds.",0,5252,0,3,20,0,44,False
15,"Enhanced Foresight","Shortens Foresight recast time to 90 seconds.",0,5251,0,3,14,0,44,False
16,"Enhanced Vitality III","Increases vitality by 6.",0,5132,6,3,24,0,44,False
17,"Enhanced Maim","Extends Maim duration to 24 seconds.",0,5254,0,3,48,0,44,False
18,"Enhanced Berserk","Extends Berserk duration to 20 seconds.",0,5253,0,3,36,0,44,False
19,"Enhanced Brutal Swing","Extends Brutal Swing duration to 5 seconds.",0,5255,0,3,32,0,44,False
20,"Enhanced Mercy Stroke","Shortens Mercy Stroke recast time to 40 seconds.",0,5257,0,3,40,0,44,False
21,"Enhanced Fracture","Extends Fracture duration to 30 seconds.",0,5256,0,3,28,0,44,False
22,"Enhanced Thrill of Battle","Improves the HP increase granted by Thrill of Battle to 20%.",0,5258,0,3,44,0,44,False
23,"Enhanced Strength","Increases strength by 2.",0,5110,2,2,8,0,41,False
24,"Enhanced Strength II","Increases strength by 4.",0,5111,4,2,16,0,41,False
25,"Enhanced Strength III","Increases strength by 6.",0,5112,6,2,24,0,41,False
26,"Enhanced Greased Lightning","Allows the stacking of a second Greased Lightning.",0,5230,0,2,20,0,41,False
27,"Enhanced Internal Release","Improves the critical hit rate increase granted by Internal Release to 30%.",0,5229,0,2,36,0,41,False
28,"Enhanced Featherfoot","Improves evasion increase granted by Featherfoot to 20%.",0,5227,0,2,14,0,41,False
29,"Third Wind","Increases cure potency of Second Wind to 650.",0,5226,0,2,32,0,41,False
30,"Mythril Peak","Shortens Steel Peak recast time to 40 seconds.",0,5232,0,2,44,0,41,False
31,"Enhanced Greased Lightning II","Allows the stacking of a third Greased Lightning.",0,5231,0,2,40,0,41,False
32,"Enhanced Twin Snakes","Improves the damage increase granted by Twin Snakes to 10%.",0,5228,0,2,28,0,41,False
33,"Enhanced Mantra","Improves the HP recovery increase granted by Mantra to 20%.",0,5233,0,2,48,0,41,False
34,"Enhanced Strength","Increases strength by 2.",0,5110,2,4,8,0,47,False
35,"Keener Flurry","Improves Keen Flurry parry rate increase to 80%.",0,5280,0,4,20,0,47,False
36,"Enhanced Feint","Extends Slow duration inflicted by Feint to 20 seconds.",0,5279,0,4,14,0,47,False
37,"Enhanced Strength II","Increases strength by 4.",0,5111,4,4,16,0,47,False
38,"Enhanced Strength III","Increases strength by 6.",0,5112,6,4,24,0,47,False
39,"Exhilarate","Increases the TP restored by Invigorate to 500.",0,5276,0,4,36,0,47,False
40,"Enhanced Leg Sweep","Shortens Leg Sweep recast time to 20 seconds.",0,5282,0,4,28,0,47,False
41,"Enhanced Life Surge","Shortens Life Surge recast time to 50 seconds.",0,5277,0,4,32,0,47,False
42,"Enhanced Blood for Blood","Improves Blood for Blood damage increase to 30%. Lowers damage taken to 15%.",0,5278,0,4,44,0,47,False
43,"Heavier Thrust","Extends Heavy Thrust duration to 24 seconds.",0,5281,0,4,40,0,47,False
44,"Exenterate","Extends Disembowel duration to 30 seconds.",0,5283,0,4,48,0,47,False
45,"Enhanced Dexterity","Increases dexterity by 2.",0,5120,2,5,14,0,50,False
46,"Enhanced Dexterity II","Increases dexterity by 4.",0,5121,4,5,16,0,50,False
47,"Heavier Shot","Adds to Heavy Shot a 20% chance that your next Straight Shot will deal critical damage.\x02\x08\x93\xe0\xe9I5\xff\x87\x02\x08\x83\xe4\xe9E\x18\xffw\x02\x10\x01\x03If under the effect of the \x02\x13\x06\xfe\xff\xff{\x1a\x03Wanderer\'s Minuet\x02\x13\x02\xec\x03, your next Straight Shot will require no cast time.\x02\x10\x01\x03\xff\x05\x02\x10\x01\x03\x03\xff\x05\x02\x10\x01\x03\x03\x02\x13\x05\xfa\xff\xccx03Duration: \x02\x13\x02\xec\x0310s",0,5306,0,5,8,0,50,False
48,"Increased Action Damage","Increases base action damage by 10%.",0,5302,10,5,20,0,50,False
49,"Enhanced Venomous Bite","Extends Venomous Bite duration to 18 seconds.",0,5305,0,5,24,0,50,False
50,"Enhanced Raging Strike","Shortens Raging Strike recast time to 120 seconds.",0,5307,0,5,28,0,50,False
51,"Enhanced Dexterity III","Increases dexterity by 6.",0,5122,6,5,32,0,50,False
52,"Enhanced Quick Nock","Extends Quick Nock range to 12 yalms.",0,5304,12,5,36,0,50,False
53,"Increased Action Damage II","Increases base action damage by 20%.",0,5303,20,5,40,0,50,False
54,"Enhanced Barrage","Increases number of weaponskill strikes to three.",0,5301,0,5,44,0,50,False
55,"River of Blood","Grants a 50% chance that critical damage over time inflicted by Venomous Bite or Windbite will reset the Bloodletter recast timer.",0,5308,0,5,48,0,50,False
56,"Enhanced Mind","Increases mind by 2.",0,5150,2,6,8,0,53,False
57,"Enhanced Mind II","Increases mind by 4.",0,5151,4,6,14,0,53,False
58,"Enhanced Medica","Grants a 20% chance that Medica will cost half MP.",0,5332,20,6,16,0,53,False
59,"Maim and Mend","Increases base action damage and HP restoration by 10%.",0,5185,10,6,20,0,53,False
60,"Enhanced Mind III","Increases mind by 6.",0,5152,6,6,24,0,53,False
61,"Enhanced Raise","Allows the casting of Raise while engaged in battle.",0,5327,0,6,28,0,53,False
62,"Freecure","Grants a 15% chance that after casting Cure, the MP cost for your next Cure II will be 0.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 15s",0,5330,0,6,32,0,53,False
63,"Overcure","Grants a 15% chance that after casting Cure II, your next Cure III will cost half MP.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 15s",0,5331,0,6,44,0,53,False
64,"Maim and Mend II","Increases base action damage and HP restoration by 30%.",0,5186,30,6,40,0,53,False
65,"Quick Stoneskin","Reduces Stoneskin cast time to 2.5 seconds.",0,5328,5,6,36,0,53,False
66,"Enhanced Shroud of Saints","Increases Shroud of Saints refresh potency to 80.",0,5326,0,6,48,0,53,False
67,"Enhanced Intelligence","Increases intelligence by 2.",0,5140,2,7,8,0,55,False
68,"Enhanced Intelligence II","Increases intelligence by 4.",0,5141,4,7,14,0,55,False
69,"Enhanced Surecast","Grants a 15% chance that upon use, Surecast will have no recast time.",0,5353,0,7,16,0,55,False
70,"Magick and Mend","Increases base action damage and HP restoration by 10% and allows for the stacking of a second Astral Fire or Umbral Ice.",0,5185,10,7,20,0,55,False
71,"Enhanced Scathe","Grants a 20% chance that Scathe will deal double damage.",0,5354,0,7,24,0,55,False
72,"Deep Sleep","Extends the area of effect for Sleep from a single target to a five-yalm radius.",0,5351,5,7,36,0,55,False
73,"Enhanced Intelligence III","Increases intelligence by 6.",0,5142,6,7,32,0,55,False
74,"Enhanced Manaward","Increases damage nullified by Manaward to 30% of your maximum HP.",0,5356,0,7,48,0,55,False
75,"Magick and Mend II","Increases base action damage and HP restoration by 30% and allows for the stacking of a third Astral Fire or Umbral Ice.",0,5186,30,7,40,0,55,False
76,"Firestarter","Grants a 40% chance that after casting Fire, your next Fire III will require no MP and have no casting time.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 12s",0,5352,0,7,44,0,55,False
77,"Thundercloud","Grants a 10% chance that after each damage over time tick inflicted by any Thunder spell, the next Thunder, Thunder II, or Thunder III will add its full damage over time amount to its initial damage, have no cast time, and cost no MP.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 12s",0,5355,0,7,28,0,55,False
78,"Auto Triangulate","Automatically activates Triangulate upon changing your class to botanist.",0,5451,0,17,2,0,18,False
79,,,0,0,2,0,0,0,0,False
80,"Enhanced Stealth","Increases the range of enemies avoidable when using Stealth to level 30.",0,5452,30,17,18,0,18,False
