0,,,0,0,0,0,True
1,"The Heat of Battle","Increases EXP earned through battle by 5%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",3500,64213,5,1,True
2,"Earth and Water","Increases EXP earned through gathering by 5%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",3500,64215,5,2,True
3,"Helping Hand","Increases EXP earned through crafting by 5%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",3500,64216,5,3,True
4,"A Man's Best Friend","Increases EXP earned by companions by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64214,5,4,True
5,"Mark Up","Increases Wolf Marks earned by 5%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64217,5,5,True
6,"Seal Sweetener","Increases company seals earned by 5%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64218,5,6,True
7,"Brave New World","Increases the attributes of all Disciple of War or Magic members under level 25 by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",1750,64201,5,8,True
8,"Live off the Land","Increases Gathering by 5.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64202,5,9,True
9,"What You See","Increases Perception by 5.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64203,5,10,True
10,"Eat from the Hand","Increases Craftsmanship by 5.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64204,5,11,True
11,"In Control","Increases Control by 5.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64205,5,12,True
12,"That Which Binds Us","Increases spiritbonding speed.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",3500,64209,5,13,True
13,"Meat and Mead","Increases duration of food effects by five minutes.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64208,5,14,True
14,"Proper Care","Slows gear wear by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",3500,64210,5,15,True
15,"Back on Your Feet","Reduces duration of Weakness after being revived by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64211,5,16,True
16,"Reduced Rates","Reduces teleportation fees by 20%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",3500,64212,5,17,True
17,"Jackpot","Increases MGP payout by 5%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",2800,64219,5,7,True
18,,,0,0,0,0,True
19,,,0,0,0,0,True
20,,,0,0,0,0,True
21,,,0,0,0,0,True
22,,,0,0,0,0,True
23,,,0,0,0,0,True
24,,,0,0,0,0,True
25,,,0,0,0,0,True
26,,,0,0,0,0,True
27,,,0,0,0,0,True
28,,,0,0,0,0,True
29,,,0,0,0,0,True
30,,,0,0,0,0,True
31,"The Heat of Battle II","Increases EXP earned through battle by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64238,8,18,True
32,"Earth and Water II","Increases EXP earned through gathering by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64240,8,19,True
33,"Helping Hand II","Increases EXP earned through crafting by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64241,8,20,True
34,"A Man's Best Friend II","Increases EXP earned by companions by 15%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64239,8,21,True
35,"Mark Up II","Increases Wolf Marks earned by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64242,8,22,True
36,"Seal Sweetener II","Increases company seals earned by 10%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64243,8,23,True
37,"Brave New World II","Increases the attributes of all Disciple of War or Magic members under level 49 by 5%.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",3500,64226,8,25,True
38,"Live off the Land II","Increases Gathering by 10.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64227,8,26,True
39,"What You See II","Increases Perception by 10.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 24h",7000,64228,8,27,True
