0,,,False
1,"The Insatiable","The Insatiable",False
2,"The True","The True",False
3,"Coeurlfist","Coeurlfist",True
4,"Ironeater","Ironeater",True
5,"Of the Vengeful Lance","Of the Vengeful Lance",False
6,"The Godsbow","The Godsbow",False
7,"The White","The White",False
8,"Starcaller","Starcaller",True
9,"The Exterminator","The Exterminator",False
10,"Notorious Monster Hunter","Notorious Monster Hunter",True
11,"Honest Gillionaire","Honest Gillionaire",True
12,"Ruthless Gillionaire","Ruthless Gillionaire",True
13,"Warmonger","Warmonger",True
14,"Archmage","Archmage",True
15,"Builder of the Realm","Builder of the Realm",False
16,"Provider of the Realm","Provider of the Realm",False
17,"Of the Golden Saw","Of the Golden Saw",False
18,"Of the Golden Anvil","Of the Golden Anvil",False
19,"Of the Golden Hammer","Of the Golden Hammer",False
20,"Of the Golden Leaf","Of the Golden Leaf",False
21,"Of the Golden Hide","Of the Golden Hide",False
22,"Of the Golden Needle","Of the Golden Needle",False
23,"Of the Golden Lead","Of the Golden Lead",False
24,"Of the Golden Ladle","Of the Golden Ladle",False
25,"Meadowbreaker","Meadowbreaker",True
26,"Forestbreaker","Forestbreaker",True
27,"Desertbreaker","Desertbreaker",True
28,"Of the Meadow Mines","Of the Meadow Mines",False
29,"Of the Forest Mines","Of the Forest Mines",False
30,"Of the Desert Mines","Of the Desert Mines",False
31,"Meadowreaper","Meadowreaper",True
32,"Forestreaper","Forestreaper",True
33,"Desertreaper","Desertreaper",True
34,"Of the Meadow Grasses","Of the Meadow Grasses",False
35,"Of the Forest Grasses","Of the Forest Grasses",False
36,"Of the Desert Grasses","Of the Desert Grasses",False
37,"Meadowcaster","Meadowcaster",True
38,"Forestcaster","Forestcaster",True
39,"Desertcaster","Desertcaster",True
40,"Of the Meadow Pools","Of the Meadow Pools",False
41,"Of the Forest Pools","Of the Forest Pools",False
42,"Of the Desert Pools","Of the Desert Pools",False
43,"Carrier of the Cauldron","Carrier of the Cauldron",False
44,"The Assimilator","The Assimilator",False
45,"Seeker of Blood","Seeker of Blood",False
46,"Seeker of Truth","Seeker of Truth",False
47,"Seeker of Skill","Seeker of Skill",False
48,"Seeker of Bounty","Seeker of Bounty",False
49,"Sidestepper","Sidestepper",True
50,"Lord Protector","Lady Protector",True
51,"Lord Creator","Lady Creator",True
52,"Peacemaker","Peacemaker",True
53,"The Last Resort","The Last Resort",False
54,"The Sword of La Noscea","The Sword of La Noscea",False
55,"The Sword of the Shroud","The Sword of the Shroud",False
56,"The Sword of Thanalan","The Sword of Thanalan",False
57,"The Sword of Eorzea","The Sword of Eorzea",False
58,"The Shield of La Noscea","The Shield of La Noscea",False
59,"The Shield of the Shroud","The Shield of the Shroud",False
60,"The Shield of Thanalan","The Shield of Thanalan",False
61,"The Shield of Eorzea","The Shield of Eorzea",False
62,"Brother of the Broken Blade","Sister of the Broken Blade",True
63,"The Warden's Wall","The Warden's Wall",False
64,"Bearer of the Horn","Bearer of the Horn",True
65,"The Uncommitted","The Uncommitted",False
66,"The Professional","The Professional",False
67,"Inquisitor","Inquisitor",True
68,"Divine Crusher","Divine Crusher",True
69,"Stonesplitter","Stonesplitter",True
70,"A Kobold's Worst Nightmare","A Kobold's Worst Nightmare",False
71,"An Ixal's Worst Nightmare","An Ixal's Worst Nightmare",False
72,"An Amalj'aa's Worst Nightmare","An Amalj'aa's Worst Nightmare",False
73,"The Guardian of Aleport","The Guardian of Aleport",False
74,"The Guardian of Hyrstmill","The Guardian of Hyrstmill",False
75,"The Guardian of the Golden Bazaar","The Guardian of the Golden Bazaar",False
76,"The Wind of Aleport","The Wind of Aleport",False
77,"The Wind of Hyrstmill","The Wind of Hyrstmill",False
78,"The Wind of the Golden Bazaar","The Wind of the Golden Bazaar",False
79,"The Hand of Aleport","The Hand of Aleport",False
80,"The Hand of Hyrstmill","The Hand of Hyrstmill",False
81,"The Hand of the Golden Bazaar","The Hand of the Golden Bazaar",False
82,"Wild Thing","Wild Thing",True
83,"The Winter Wyrm","The Winter Wyrm",False
84,"Messenger of Love","Messenger of Love",True
85,"Royal Seneschal","Princess for a Day",True
86,"Dreamseeker","Dreamseeker",True
87,"Cascadier","Cascadier",True
88,"Crystal Bearer","Crystal Bearer",True
89,"Stormlord","Stormlady",True
90,"Serpentlord","Serpentlady",True
91,"Flamelord","Flamelady",True
92,"The Stormsworn","The Stormsworn",False
93,"The Serpentsworn","The Serpentsworn",False
94,"The Flamesworn","The Flamesworn",False
95,"Stormcarrier","Stormcarrier",True
96,"Serpentcarrier","Serpentcarrier",True
97,"Flamecarrier","Flamecarrier",True
98,"Stormbringer","Stormbringer",True
99,"Serpentbringer","Serpentbringer",True
100,"Flamebringer","Flamebringer",True
101,"Featherfoot","Featherfoot",True
102,"A Bo's Best Friend","A Bo's Best Friend",True
103,"Lightning","Lightning",True
104,"Cavalier","Cavalier",True
105,"The Wanderer's Shadow","The Wanderer's Shadow",False
106,"Green Eyes","Green Eyes",False
107,"The Strategist","The Strategist",False
108,"The Reaper","The Reaper",False
109,"Dungeon Master","Dungeon Master",True
110,"Tempter of Fate","Temptress of Fate",False
111,"Elite Cascadier","Elite Cascadier",True
112,"Storm Puppy","Storm Puppy",True
113,"Storm Howler","Storm Howler",True
114,"Storm Growler","Storm Growler",True
115,"Storm Hound","Storm Hound",True
116,"Storm Stalker","Storm Stalker",True
117,"Storm Chaser","Storm Chaser",True
118,,,False
119,,,False
120,,,False
121,,,False
122,"Serpent Puppy","Serpent Puppy",True
123,"Serpent Howler","Serpent Howler",True
124,"Serpent Growler","Serpent Growler",True
125,"Serpent Hound","Serpent Hound",True
126,"Serpent Stalker","Serpent Stalker",True
127,"Serpent Chaser","Serpent Chaser",True
128,,,False
129,,,False
130,,,False
131,,,False
132,"Flame Puppy","Flame Puppy",True
133,"Flame Howler","Flame Howler",True
134,"Flame Growler","Flame Growler",True
135,"Flame Hound","Flame Hound",True
136,"Flame Stalker","Flame Stalker",True
137,"Flame Chaser","Flame Chaser",True
138,,,False
139,,,False
140,,,False
141,,,False
142,"The Ravenous Wolf","The Ravenous Wolf",False
143,"The Alpha Wolf","The Alpha Wolf",False
144,"The Heart of the Party","The Heart of the Party",False
145,"Brother of Ash","Sister of Ash",True
146,"Sylph-Friend","Sylph-Friend",True
147,"Treasure Hunter","Treasure Hunter",True
148,"789th Order Champion","789th Order Champion",True
149,"Novv Clutchmate","Novv Clutchmate",True
150,"The Ambitious Angler","The Ambitious Angler",False
151,"The Meat Shield","The Meat Shield",False
152,"The Meat Axe","The Meat Axe",False
153,"Of the Stalwart Shield","Of the Stalwart Shield",False
154,"Of the Stalwart Axe","Of the Stalwart Axe",False
155,"Frontline Forerunner","Frontline Forerunner",True
156,"Storm Forerunner","Storm Forerunner",True
157,"Flame Forerunner","Flame Forerunner",True
158,"Serpent Forerunner","Serpent Forerunner",True
159,"Drone Sniper","Drone Sniper",True
160,"Heliodrome Hero","Heliodrome Hero",True
161,"Hunter for Hire","Hunter for Hire",True
162,"Seeker of Fortune","Seeker of Fortune",True
163,"Seasoned Tracker","Seasoned Tracker",True
164,"Bounty Hunter","Bounty Hunter",True
165,"Soldier of Fortune","Soldier of Fortune",True
166,"Captain of the Hunt","Captain of the Hunt",False
167,"Rafflesia Reaper","Rafflesia Reaper",True
168,"Melusine Mauler","Melusine Mauler",True
169,"The Avatar","The Avatar",False
170,"Domitor","Domitrix",False
171,"The Disassembler","The Disassembler",True
172,,,False
173,"Bearer of the Coffer","Bearer of the Coffer",True
174,"Defender of Eorzea","Defender of Eorzea",False
175,"The Postman","The Postwoman",False
176,"Ehcatl Blackguard","Ehcatl Blackguard",True
177,"The Negotiator","The Negotiator",False
178,"The Final Witness","The Final Witness",False
179,"Of Dragons Deep","Of Dragons Deep",False
180,"Master Caster","Master Caster",True
181,,,False
