2500,"L\xc3\xa9gendes ichtyologiques du Coerthas",0,0,3,18
2501,"L\xc3\xa9gendes ichtyologiques de Dravania",1,0,3,18
2502,"L\xc3\xa9gendes ichtyologiques d'Abalathia",2,0,3,18
2503,,0,0,0,0
2504,,0,0,0,0
2505,,0,0,0,0
2506,,0,0,0,0
2507,,0,0,0,0
2000,"L\xc3\xa9gendes g\xc3\xa9ologiques du Coerthas",0,2000,1,16
2001,"L\xc3\xa9gendes g\xc3\xa9ologiques du Coerthas",0,2000,1,16
2002,"L\xc3\xa9gendes botaniques du Coerthas",0,2000,2,17
2003,"L\xc3\xa9gendes botaniques du Coerthas",0,2000,2,17
2004,"L\xc3\xa9gendes g\xc3\xa9ologiques de Dravania",1,2000,1,16
2005,"L\xc3\xa9gendes g\xc3\xa9ologiques de Dravania",1,2000,1,16
2006,"L\xc3\xa9gendes botaniques de Dravania",1,2000,2,17
2007,"L\xc3\xa9gendes botaniques de Dravania",1,2000,2,17
2008,"L\xc3\xa9gendes g\xc3\xa9ologiques d'Abalathia",2,2000,1,16
2009,"L\xc3\xa9gendes g\xc3\xa9ologiques d'Abalathia",2,2000,1,16
2010,"L\xc3\xa9gendes botaniques d'Abalathia",2,2000,2,17
2011,"L\xc3\xa9gendes botaniques d'Abalathia",2,2000,2,17
2012,,0,0,0,0
2013,,0,0,0,0
2014,,0,0,0,0
2015,,0,0,0,0
