0,,,,,0,0,0,0,0,0
1,"Flame Private Third Class","Flame Privates Third Class","private",,0,0,0,0,0,0
2,"Flame Private Second Class","Flame Privates Second Class","private",,0,0,0,0,0,0
3,"Flame Private First Class","Flame Privates First Class","private",,0,0,0,0,0,0
4,"Flame Corporal","Flame Corporals","corporal",,0,0,0,0,0,0
5,"Flame Sergeant Third Class","Flame Sergeants Third Class","sergeant",,0,0,0,0,0,0
6,"Flame Sergeant Second Class","Flame Sergeants Second Class","sergeant",,0,0,0,0,0,0
7,"Flame Sergeant First Class","Flame Sergeants First Class","sergeant",,0,0,0,0,0,0
8,"Chief Flame Sergeant","Chief Flame Sergeants","sergeant",,0,0,0,0,0,0
9,"Second Flame Lieutenant","Second Flame Lieutenants","lieutenant",,0,0,0,0,0,0
10,"First Flame Lieutenant","First Flame Lieutenants","lieutenant",,0,0,0,0,0,0
11,"Flame Captain","Flame Captains","captain",,0,0,0,0,0,0
12,"Second Flame Commander","Second Flame Commanders","commander",,0,0,0,0,0,0
13,"First Flame Commander","First Flame Commanders","commander",,0,0,0,0,0,0
14,"High Flame Commander","High Flame Commanders","commander",,0,0,0,0,0,0
15,"Rear Flame Marshal","Rear Flame Marshals","rear marshal",,0,0,0,0,0,0
16,"Vice Flame Marshal","Vice Flame Marshals","vice marshal",,0,0,0,0,0,0
17,"Flame Marshal","Flame Marshals","marshal",,0,0,0,0,0,0
18,"Grand Flame Marshal","Grand Flame Marshals","grand marshal",,0,0,0,0,0,0
19,"Flame Champion","Flame Champions","champion",,0,0,0,0,0,0
