0,,,0
1,"D\xc3\xa9gag\xc3\xa9",,60201
2,"Clair",,60202
3,"Couvert",,60203
4,"Brouillard",,60204
5,"Vent",,60205
6,"Vents violents",,60206
7,"Pluie",,60207
8,"Pluie torrentielle",,60208
9,"Orages",,60209
10,"Orages violents",,60210
11,"Temp\xc3\xaates de poussi\xc3\xa8re",,60211
12,"Temp\xc3\xaates de sable",,60212
13,"Chaud",,60213
14,"Torride",,60214
15,"Neige",,60215
16,"Blizzard",,60216
17,"N\xc3\xa9buleux",,60218
18,"Aurore",,60217
19,"T\xc3\xa9n\xc3\xa8bres",,60251
20,"D\xc3\xa9sesp\xc3\xa9rance",,60255
21,"Couvert",,60203
22,"Orageux",,60259
23,"Houle",,60258
24,"Houle",,60258
25,"Nuageux",,60257
26,"Torride",,60252
27,"N\xc3\xa9buleux",,60256
28,"Vents violents",,60253
29,"\xc3\x89ruptions",,60254
30,"Clair",,60202
31,"Clair",,60202
32,"Clair",,60202
33,"Clair",,60202
34,"Clair",,60202
35,"Rayonnement",,60260
36,"Radiations du C\xc5\x93ur",,60261
37,"Radiations du C\xc5\x93ur",,60261
38,"Radiations du C\xc5\x93ur",,60261
39,"Radiations du C\xc5\x93ur",,60261
40,"Amas nuageux",,60262
41,"Amas nuageux",,60262
42,"Amas nuageux",,60262
43,"Amas nuageux",,60262
44,"Oppression",,60264
45,"Oppression",,60264
46,"Oppression",,60264
47,"Oppression",,60264
48,"Oppression",,60264
49,"Vent ombral",,60219
50,"Charges ombrales",,60220
51,"Fum\xc3\xa9es",,60263
52,"Clair",,60202
53,"\xc3\x89clairs royaux",,60226
54,"Hyper\xc3\xa9lectricit\xc3\xa9",,60227
55,"\xc3\x89clairs royaux",,60226
