2162688,"Barrakuda-Pier","Zu F\xc3\xbc\xc3\x9fen dieses H\xc3\xa4ndlers liegen drei Kriegsschiffe. Mit ihren leuchtend roten Segeln verk\xc3\xb6rpern sie die geballte Kampfkraft der Meeresmetropole.","So stolze Schiffe wie die Triumph, Flaggschiff der Kriegsflotte des Mahlstroms und Stolz von Limsa Lominsa, liegen hier vor Anker. Nicht f\xc3\xbcr jedermann zug\xc3\xa4nglich, aber umso malerischer.",4876856,27,81501,81001,81451,800,1159,22,True
2162689,"Die Astalicia","Frei wie ein Freibeuter! Mit einem kr\xc3\xa4ftigen Schluck gest\xc3\xa4rkt ist auch der ungeb\xc3\xa4rdigste Kontrahent auf See nur ein kleines Bl\xc3\xa4ttchen im Ozean - doch Hochmut kommt vor dem Fall. Vielleicht schon am n\xc3\xa4chsten Morgen.","Die Galeone der ber\xc3\xbcchtigten \xe2\x80\x9eHenkershorde\xe2\x80\x9c. Obgleich als Handelsschiff von \xc3\x9cbersee getarnt, ist es ein offenes Geheimnis, dass dies Hyllfyrs Hauptquartier und Treffpunkt von Piraten aller Lager ist. ",4876859,27,81502,81002,81451,1800,459,22,True
2162690,"Monument in der Klagegrotte","Das t\xc3\xa4gliche Ritual des Fischers vor der ersten Ausfahrt im k\xc3\xbchlen D\xc3\xa4mmerlicht der H\xc3\xb6hle - ein stilles Gedenken an die verungl\xc3\xbcckten Kameraden, die begleitet vom Widerhall der Wassertropfen in das Requiem der Seeleute einzustimmen scheinen.","Ich bin die Welle, die mich auf dem R\xc3\xbccken tr\xc3\xa4gt, ich bin der Wind, der Gischt auf alle Wellen schl\xc3\xa4gt. Ich bin die tausend Sterne hoch am Firmament, das Morgenrot, dem Meer geboren, bis es mich im Tod umf\xc3\xa4ngt.",4876905,30,81503,81003,81451,500,759,58,True
2162691,"Himmelszug","Das Verladen der Waren ist Knochenarbeit. In einer kleinen Pause l\xc3\xa4sst der Arbeiter gerne die Gedanken schweifen - in die Ferne, vorbei an den Lastenballons im blauen Himmel, bis an den Horizont und weiter, immer weiter.","Der durch die Siebte Katastrophe aufgebrochene \xe2\x80\x9eAbstieg\xe2\x80\x9c teilt La Noscea quer von Norden nach S\xc3\xbcden. Ohne den Lastenheber des Himmelszugs w\xc3\xa4re die gigantische Felswand f\xc3\xbcr schwere Lasten kaum zu \xc3\xbcberwinden.",4876907,30,81504,81004,81451,1200,1659,22,True
2162692,"La Thagran-Landstra\xc3\x9fe","Ein Wachsoldat in einem kurzen Moment der Mu\xc3\x9fe. Gerade wenn der graue Himmel aufs Gem\xc3\xbct dr\xc3\xbcckt, soll man sich hohe Ziele f\xc3\xbcr den Tag stecken. Der Blick auf die alte Stra\xc3\x9fe ruft die enorme Leistung der Pioniere in Erinnerung, die diese Route einst erschlossen.","Diese Fernstra\xc3\x9fe vom zentralen ins \xc3\xb6stliche La Noscea ist nach dem fr\xc3\xbcheren Seefahrer Guy La Thagran benannt, der in der Siedlerzeit gemeinsam mit seinem Kameraden Jean De Nevelle Vylbrand erforschte und verma\xc3\x9f.",4876912,30,81505,81005,81451,800,1159,22,True
2162693,"Salzstrand","Ein Fischer hat unter dem Schutz Oschons, des Wanderers, noch immer seine Leine ausgeworfen. Zu seinen F\xc3\xbc\xc3\x9fen erstreckt sich die bizarre Salzw\xc3\xbcste, die an die gro\xc3\x9fe Trag\xc3\xb6die vor f\xc3\xbcnf Jahren gemahnt.","Dalamud-Fragmente durchtrennten hier beim Einschlag gro\xc3\x9fe \xc3\x84ther-Adern, wodurch denaturierte Kristalle entstanden, die mit dem Meerwasser reagierten und mannigfaltige Salzformationen entstehen lie\xc3\x9fen.",4876920,31,81508,81008,81451,1800,459,22,True
2162694,"Felder der Gockelburg","Der fr\xc3\xbche Morgen ist des Feldarbeiters Mittag. Von oberhalb des Tores die geheimnisvoll verschleierten Felder zu \xc3\xbcberblicken, erfrischt den Geist und die Glieder wie nichts anderes.","Die Gockelburg ist ein Versuchsbauernhof, der sich der Veredelung von Feldfr\xc3\xbcchten und der Dodo- und Schafzucht verschrieben hat. Der Name stammt von den Hahnenk\xc3\xa4mpfen, die wie Ritterturniere aufgezogen wurden.",4876921,31,81509,81009,81451,500,759,22,True
2162695,"Leuchtturm Braubake","Azurblauer Himmel, tiefblaues Meer: Das ist die majest\xc3\xa4tische Kulisse, die sich dem W\xc3\xa4rter darbietet, sobald die Arbeit getan und das Leuchtfeuer gel\xc3\xb6scht ist. Sind die Schiffe sicher vor\xc3\xbcber, gibt es nichts Sch\xc3\xb6neres als ein Bier vor diesem atemberaubenden Ausblick.","Braubake - der Name deutet die Zugeh\xc3\xb6rigkeit zu Bierhafen an - wurde nach dem Einsturz des T\xc3\xb6lpelturms errichtet. Von hoch oben blickt man auf die Wellenbrecher, die die K\xc3\xbcste vor Flutwellen sch\xc3\xbctzen.",4876926,33,81513,81013,81451,500,759,22,True
2162696,"Gerbergilde","Von diesem hohen Beobachtungsposten aus hatte der Gerber als Kind das Tun in der Werkstatt bestens im Blick. Besonders stimmungsvoll fand er es hier, wenn sich drau\xc3\x9fen der Himmel mit Wolken zuzog.","Die gridanischen Gerber verarbeiten mit hoher Kunstfertigkeit die Materialien, die der Wald ihnen bietet, und verkaufen ihre Waren im Atelier Fen-Yll. F\xc3\xbcr die beliebtesten St\xc3\xbccke gibt es Wartelisten, so gro\xc3\x9f ist der Andrang.",4868036,51,81552,81052,81452,1200,1659,22,True
2162697,"Apkallu-F\xc3\xa4lle","Manchmal, wenn er eigentlich im Bett sein m\xc3\xbcsste, stiehlt sich der Dreik\xc3\xa4sehoch aus dem Haus, rennt den geheimen Weg entlang und betrachtet den Wasserfall von oben, wo kein Erwachsener sich je hinaufbegeben w\xc3\xbcrde.","Der beschauliche Wasserfall hat seinen Namen von den ersten Siedlern, die hier Apkallu-V\xc3\xb6gel z\xc3\xbcchteten. Der Ort ist daf\xc3\xbcr bekannt, dass der Weise Louisoix sich gerne zum Nachdenken hierher zur\xc3\xbcckzog.",4876928,51,81553,81053,81452,1800,459,22,True
2162698,"Gut Zwieselgrund","Die Z\xc3\xbcchterin, mit der ich mich unterhielt, macht es richtig: Wenn die Sonne auf den Mogry-Ballon scheint, setzt sie sich an diesen einladenden Ort und genie\xc3\x9ft ihre Mittagspause.","In dem \xc3\xbcberregional bekannten Gest\xc3\xbct \xe2\x80\x9eMogry-Stolz\xe2\x80\x9c zieht ein aus Ishgard stammender Z\xc3\xbcchter zuverl\xc3\xa4ssige Arbeits-Chocobos gro\xc3\x9f. Markenzeichen des Guts ist der auff\xc3\xa4llige Mogry-Ballon.",4877070,54,81555,81055,81452,1200,1659,52,True
2162699,"Dom der Einkehr","Wenn sich das strahlende Sonnenlicht im Wasser spiegelt, wei\xc3\x9f die G\xc3\xa4rtnerin, warum sie diesen Beruf gew\xc3\xa4hlt hat: Nirgends f\xc3\xbchlt sie sich wohler als in ihrem Blumengarten. Daf\xc3\xbcr dankt sie den G\xc3\xb6ttern.","Nach dem Zeitalter des langen Eises baute die von Hunger geplagte Bev\xc3\xb6lkerung diesen Dom, um die Zw\xc3\xb6lf um Beistand zu bitten. Auch nach der Siebten Katastrophe beten die Gl\xc3\xa4ubigen hier zu ihren G\xc3\xb6ttern.",4877071,55,81560,81060,81452,800,1159,58,True
2162700,"Sylphen-Zuflucht","Hoch oben auf der Wipfelplattform f\xc3\xbchlt sich der Forscher fast wie eine fliegende Sylphe. Besonders h\xc3\xbcbsch ist es hier am Abend, wenn die Lichter der H\xc3\xbctten den Wald erhellen.","Hier lie\xc3\x9fen sich die Sylphen nieder, die sich der Beschw\xc3\xb6rung des Primae Ramuh widersetzen. Mit ihrer Magie verwandeln sie die Pflanzen des Waldes zu sehenswerten h\xc3\xa4ngenden Behausungen.",4877072,55,81561,81061,81452,1800,459,22,True
2162701,"Herrscherpromenade","Nach ihrer anstrengenden Nachtschicht stellen die Palastwachen sich auf eine der drei silbernen Platten, gr\xc3\xbc\xc3\x9fen ihre Abl\xc3\xb6sung mit einem Salut, erhaschen \xc3\xbcber sich noch einen Blick auf den morgenroten Himmel und eilen dann zu ihren Zimmern in der Herberge.","Der Zugang zu Ul'dahs Regierungsviertel wird von der Palastwache streng bewacht. Einst warteten die treuen Anh\xc3\xa4nger des Sultanats hier geduldig auf Audienz, heute flaniert der Geldadel \xc3\xbcber die Promenade.",4877073,39,81601,81101,81453,500,759,31,True
2162702,"Platz der Sultana","Wer den geizigen Ul'dahnern als Stra\xc3\x9fenk\xc3\xbcnstler ein paar Gil entlocken m\xc3\xb6chte, muss auffallen. Auf dem Podest vor der \xc3\xb6stlichen Laterne an diesem k\xc3\xbchlen Platz haben Publikum und K\xc3\xbcnstler sich immer gut im Blick.","Die k\xc3\xbchlen Mauern und der Springbrunnen dieses Treppenaufgangs im Herzen Ul'dahs laden besonders in der Mittagshitze zum Verweilen ein. Zur Bl\xc3\xbctezeit des Sultanats wurden hier h\xc3\xb6fische T\xc3\xa4nze aufgef\xc3\xbchrt.",4877074,39,81602,81102,81453,1200,1659,22,True
