1179648,"Reginald Eventman I",1,0,0,0,0,0,0,0
1179649,"Reginald Eventman II",0,0,0,0,0,0,0,0
1179650,"Gridania",16,2,4,18,8,12,0,0
1179651,"Hutte des Hawthorne",6,0,0,0,0,0,0,0
1179652,"Au Choix de Buscarron",21,24,0,0,0,0,0,0
1179653,"Moulin de la carri\xc3\xa8re",10,25,23,0,0,0,0,0
1179654,"Camp des Sentes tranquilles",14,20,22,108,0,0,0,0
1179655,"Moulin des bois",17,27,0,0,0,0,0,0
1179656,"Radeau de la Calebasse",19,26,94,0,0,0,0,0
1179657,"Ranch de Brancharqu\xc3\xa9e",3,0,0,0,0,0,0,0
1179658,"Ul'dah",42,32,44,30,48,52,38,28
1179659,"Horizon",33,36,34,0,0,0,0,0
1179660,"Baie des V\xc3\xaapres",31,37,0,0,0,0,0,0
1179661,"Le Bazar argent\xc3\xa9",29,35,0,0,0,0,0,0
1179662,"Gare de Roncenoire",43,0,0,0,0,0,0,0
1179663,"Camp des Os dess\xc3\xa9ch\xc3\xa9s",46,56,110,0,0,0,0,0
1179664,"Petite Ala Mhigo",50,58,0,0,0,0,0,0
1179665,"Oasis oubli\xc3\xa9e",54,59,0,0,0,0,0,0
1179666,"Camp de Brumebleue",40,60,0,0,0,0,0,0
1179667,"Le Bazar dor\xc3\xa9",57,0,0,0,0,0,0,0
1179668,"Usine de c\xc3\xa9ruleum",61,0,0,0,0,0,0,0
1179669,"Limsa Lominsa",62,88,64,86,68,72,76,0
1179670,"Vergers d'Estival",63,0,0,0,0,0,0,0
1179671,"Tour du Martinet",66,93,0,0,0,0,0,0
1179672,"Port-aux-Ales",70,0,0,0,0,0,0,0
1179673,"Port-aux-Vins",74,0,0,0,0,0,0,0
1179674,"Camp du Lac d'airain",79,0,0,0,0,0,0,0
1179675,"Chantier naval de Moraby",87,90,0,0,0,0,0,0
1179676,"M\xc3\xa9tairie du Coq rouge",89,91,0,0,0,0,0,0
1179677,"Costa del Sol",84,0,0,0,0,0,0,0
1179678,"\xef\xbc\x88\xe7\xa9\xba\xe3\x81\x8d\xef\xbc\x89",0,0,0,0,0,0,0,0
1179679,"Observatoire",98,0,0,0,0,0,0,0
1179680,"Camp de la T\xc3\xaate du dragon",99,101,102,96,0,0,0,0
1179681,"L'Ar\xc3\xaate blanche",100,0,0,0,0,0,0,0
1179682,"Glas des revenants",104,106,0,0,0,0,0,0
1179683,"Trouvaille de Saint-Coinach",107,0,0,0,0,0,0,0
1179684,"L'Assise",140,0,0,0,0,0,0,0
1179685,"Nid du faucon",141,112,114,0,0,0,0,0
1179686,"Le Convictoire",113,118,0,0,0,0,0,0
1179687,"La Penne",116,120,122,124,0,0,0,0
1179688,"Annexe Trine",123,128,0,0,0,0,0,0
1179689,"Bivouac de Grand-ouest",126,130,0,0,0,0,0,0
1179690,"Nid-Mog",132,134,0,0,0,0,0,0
1179691,"Passe-nuage d'Asah",135,136,0,0,0,0,0,0
1179692,"Z\xc3\xa9nith",137,133,0,0,0,0,0,0
1179693,"Ok' Zundu",138,0,0,0,0,0,0,0
1179694,"Camp de Cime-des-nuages",139,0,0,0,0,0,0,0
