0,,0,0,False
1,"Producer",61531,0,False
2,"Game Master",61524,0,False
3,"Game Master",61532,0,False
4,"Game Master",61533,0,False
5,"Disconnected",61503,0,False
6,"Waiting for Friend List Approval",61501,1,True
7,"Waiting for Linkshell Approval",61501,2,True
8,"Waiting for Free Company Approval",61501,3,True
9,"Not Found",61502,4,True
10,"Offline",61504,5,True
11,"Busy",61509,6,True
12,"PvP",61510,7,True
13,"Playing Triple Triad",61539,8,True
14,"Viewing Cutscene",61508,9,True
15,"Using a Chocobo Porter",61534,11,True
16,"Away from Keyboard",61511,12,True
17,"Looking for Repairs",61512,13,True
18,"Looking to Repair",61513,14,True
19,"Looking to Meld Materia",61514,15,True
20,"Looking for Party",61515,16,True
21,,61516,17,True
22,"Waiting for Duty Finder",61517,18,True
23,"Recruiting Party Members",61536,19,True
24,"New Adventurer",61523,26,True
25,"Alliance Leader",61518,20,True
26,"Alliance Party Leader",61519,21,True
27,"Alliance Party Member",61520,22,True
28,"Party Leader",61521,23,True
29,"Party Member",61522,24,True
30,"Another World",61535,25,True
31,"Sharing Duty",61506,0,False
32,"Similar Duty",61507,0,False
33,"In Duty",61510,10,True
34,"Trial Adventurer",61525,28,True
35,"Free Company",0,0,False
36,"Grand Company",0,0,False
37,"Online",61505,27,True
