0,,,0
1,"Halone - Die Furie","Sie ist die G\xc3\xb6ttin der Gletscher und des Krieges und die Schutzg\xc3\xb6ttin Ishgards. Ihr Element ist das Eis und der erste Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie die Tochter Rhalgrs und Nophicas Erzfeindin. In der Kunst wird sie als unbeugsame Kriegerin mit bronzenem Schild dargestellt. R\xc3\xbcstungen und Waffen sind ihre Symbole.",61601
2,"Menphina - Die Liebende","Sie ist die G\xc3\xb6ttin des Mondes und der Liebe. Ihr Element ist das Eis und der zweite Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie Azeymas Stiefschwester und \nOschons Geliebte. Sie wird in der Kunst oft als t\xc3\xbcchtiges Hausm\xc3\xa4dchen mit einer runden Pfanne dargestellt. Ihr Symbol ist der Vollmond.",61602
3,"Thaliak - Der Forscher","Er ist der Gott der Fl\xc3\xbcsse und der Weisheit und der Schutzgott Sharlayans. Sein Element ist das Wasser. Der dritte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er der Vater Llymlaens und Byregots Lehrmeister. In der Kunst wird er als sch\xc3\xbcchterner Gelehrter mit Eschenstab dargestellt. Sein Symbol ist die Schriftrolle.",61603
4,"Nymeia - Die Norne","Sie ist die G\xc3\xb6ttin der Planeten und des Schicksals. Ihr Element ist das Wasser und der vierte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie Althyks j\xc3\xbcngere Schwester und Rhalgrs Herrin. In der Kunst wird sie oft von einem Schleier aus wei\xc3\x9fer Seide verborgen und mit einem Spinnrad dargestellt, welches auch ihr Symbol ist.",61604
5,"Llymlaen - Die Lotsin","Sie ist die G\xc3\xb6ttin der Weltmeere und der Seefahrer und die Schutzg\xc3\xb6ttin Limsa Lominsas. Ihr Element ist der Wind und der f\xc3\xbcnfte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie Thaliaks Tochter und Nophicas \xc3\xa4ltere Schwester. Sie wird von K\xc3\xbcnstlern als kr\xc3\xa4ftige Fischerin mit langer Harpune dargestellt. Ihre Symbole sind Wellen und Schiffe.",61605
6,"Oschon - Der Wanderer","Er ist der Gott der Berge und der Vagabunden. Sein Element ist der Wind und der sechste Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Nald'thals Blutsbruder und eng mit Halone befreundet. Er wird von K\xc3\xbcnstlern gerne als sorgloser J\xc3\xa4ger mit einem Eichenbogen dargestellt. Seine Symbole sind Wander- und Hirtenstab.",61606
7,"Byregot - Der Erbauer","Er ist der Gott der Bauwerke und der Handwerker. Sein Element ist der Blitz. Der siebte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Thaliaks Sch\xc3\xbcler und Halones \xc3\xa4lterer Bruder. K\xc3\xbcnstler stellen ihn als aufrichtigen Schmied mit gro\xc3\x9fem, doppelk\xc3\xb6pfigem Eisenhammer dar. Sein Symbol ist die Hand. ",61607
8,"Rhalgr - Der Zerst\xc3\xb6rer","Er ist der Gott der Kometen und der Zerst\xc3\xb6rung und der Schutzgott Ala Mhigos. Sein Element ist der Blitz. Der achte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Nymeias Diener und gleichzeitig Byregots und Halones Vater. K\xc3\xbcnstler stellen ihn als Magier mit einem Messingstab dar. Seine Symbole sind der Blitz und der Komet.",61608
9,"Azeyma - Die Aufseherin","Sie ist die G\xc3\xb6ttin der Sonne und des Rechts und ihr Element ist das Feuer. Der neunte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie die gro\xc3\x9fe Schwester Menphinas und ebenfalls eine Tochter Althyks. Die K\xc3\xbcnstler Eorzeas zeichnen sie oft als erhabene Dame mit einem gelben F\xc3\xa4cher. Ihr Symbol ist die Sonne.",61609
10,"Nald'thal - Die Kaufleute","Sie sind der zweigesichtige Gott des Handels und der Unterwelt und der Schutzgott Ul'dahs. Ihr Element ist das Feuer und der zehnte Mond im Jahr steht unter ihrem Stern. Nach allgemeiner Auffassung sind Nald und Thal Zwillinge. K\xc3\xbcnstler stellen sie oft in Gestalt eines scharfsinnigen Kaufmanns mit einer Waage dar. Ihr Symbol ist uraltes Muschelgeld.",61610
11,"Nophica - Die Mutter","Sie ist die G\xc3\xb6ttin des Bodens und der Fruchtbarkeit und die Schutzg\xc3\xb6ttin Gridanias. Ihr Element ist die Erde. Der elfte Mond des Jahres steht unter ihrem Stern. Nach allgemeiner Auffassung ist sie die Tochter Azeymas und die j\xc3\xbcngere Schwester Llymlaens. In der Kunst wird sie oft als muntere B\xc3\xa4uerin mit st\xc3\xa4hlerner Sense dargestellt. Ihr Symbol ist der \xc3\x84hrenbund.",61611
12,"Althyk - Der H\xc3\xbcter","Er ist der Gott der Gravitation und der Zeit. Sein Element ist die Erde und der zw\xc3\xb6lfte Mond des Jahres steht unter seinem Stern. Nach allgemeiner Auffassung ist er Nymeias \xc3\xa4lterer Bruder und der Vater Azeymas und Menphinas. K\xc3\xbcnstler stellen ihn ehrf\xc3\xbcrchtig als strengen Kaiser mit einer Kriegsaxt aus Mithril dar. Seine Symbole sind die Sand- und die Sonnenuhr.",61612
