0,,,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,False,True,True
1,"Key Item",,0,405,83,1875,0,0,0,0,0,0,85,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,True,True,True
2,"Interaction",,0,405,92,1875,0,0,0,50,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,False,True,True
3,"Sprint",,0,405,0,1875,0,0,0,0,300,0,368,0,0,0,0,1,0,0,6,0,56,0,0,1,0,0,0,0,0,0,0,True,True,True
4,"Mount",,0,405,83,1875,0,0,0,10,0,0,165,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,True,True
5,"Teleport",,4,111,92,1875,0,0,0,50,0,0,164,10,106,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,True,True
6,"Return",,1,112,92,1875,0,0,0,50,9000,0,163,10,107,0,0,1,0,0,0,0,57,0,0,1,0,0,0,0,0,0,0,True,True,True
7,"Attack",,0,405,0,1875,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,-1,0,-1,True,True,True
8,"Shot","Delivers a ranged attack. Recast time varies with delay value of main hand weapon.",0,405,0,1876,0,0,0,0,0,0,-2,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,-1,0,-1,True,True,True
9,"Fast Blade","Delivers an attack with a potency of 150.",0,158,0,1875,70,0,0,0,25,0,310,3,0,0,1,1,0,0,5,0,58,7,0,38,2,0,0,1,-1,0,-1,True,True,True
10,"Rampart","Reduces damage taken by \x02\x08\x1d\xe0\xe9I\x0f\xff\x16\x02\x08\x12\xe4\xe9E\x02\x15\xff\x0b\x02\x08\x07\xe4\xe9E\x14\x15\x0b\x03\x03\x0b\x03%.  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 20s",0,152,0,1875,0,0,0,0,900,0,369,4,0,0,2,1,0,0,0,0,5,0,0,38,1,0,0,1,0,0,0,True,True,True
11,"Savage Blade","Delivers an attack with a potency of 100.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Increased enmity\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Combo Action:\x02\x13\x02\xec\x03 Fast Blade  \x02\x13\x05\xfa\xff\xccx03Combo Potency:\x02\x13\x02\xec\x03 200",0,157,0,1875,60,0,9,0,25,0,311,3,0,206,4,1,0,0,5,0,58,7,0,39,2,0,0,1,-1,0,-1,True,True,True
12,"Convalescence","Increases HP recovery via healing magic by \x02\x08\x1d\xe0\xe9I!\xff\x16\x02\x08\x12\xe4\xe9E\x02\x1f\xff\x0b\x02\x08\x07\xe4\xe9E\x14\x1f\x15\x03\x03\x15\x03% for self.  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 20s",0,162,0,1875,0,0,0,0,1200,0,370,4,0,0,10,1,0,0,0,0,7,0,0,37,1,0,0,1,0,0,0,True,True,True
13,"Awareness","Nullifies chance of suffering critical damage.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 \x02\x08\x1d\xe0\xe9I-\xff\x16\x02\x08\x12\xe4\xe9E\x02\x1a\xff\x0b\x02\x08\x07\xe4\xe9E\x14\x1a\x10\x03\x03\x10\x03s",0,163,0,1875,0,0,0,0,1200,0,371,4,0,0,34,1,0,0,0,0,8,0,0,37,1,0,0,1,0,0,0,True,True,True
14,"Flash","Increases enmity in all nearby enemies.\x02\x08\xab\xe0\xe9I\x15\xff\xa3\x02\x08\x9f\xe4\xe9E\x02\xffF\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Blind  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 12s\xffR\x02\x08N\xe4\xe9E\x14\xffF\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Additional Effect:\x02\x13\x02\xec\x03 Blind  \x02\x13\x05\xfa\xff\xccx03Duration:\x02\x13\x02\xec\x03 12s\xff\x01\x03\x03\xff\x01\x03",0,159,102,1875,8,0,0,0,25,0,441,2,85,0,8,2,5,0,3,0,58,7,0,37,1,0,0,1,0,0,5,True,True,True
15,"Riot Blade","Delivers an attack with a potency of 100.\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Combo Action:\x02\x13\x02\xec\x03 Fast Blade  \x02\x13\x05\xfa\xff\xccx03Combo Potency:\x02\x13\x02\xec\x03 230\x02\x10\x01\x03\x02\x13\x05\xfa\xff\xccx03Combo Bonus:\x02\x13\x02\xec\x03 Restores MP",0,156,0,1875,60,0,9,0,25,0,317,3,0,0,12,1,0,0,5,0,58,7,0,38,2,0,0,1,-1,0,-1,True,True,True
